rank	username	minecraft:used/minecraft:green_dye
1	Mattesco	63
2	pintsizedrogue	32
3	Kakolbus	20
4	MustardSquid	10
5	EveryonesUncle	7
5	PlasticOtari	7
7	TheSecondLord	5
7	Hyp3rion_	5
7	sp00ky_ghost977	5
7	pixelviolin	5
7	Kowcio_	5
12	crashomon	4
13	skroobiez	3
13	Jackattack53	3
13	emreknugrlu	3
16	beeperbeeper5	2
16	EdGalbraith	2
16	Jimb0nat0r	2
19	Killercatty78	1
19	_Nat666	1
19	Fullut	1
19	Werbe	1
19	Luminad3	1
19	Lord_Jord	1
19	StarCookiees_	1
19	SvenskaHugo	1
19	Segotep999	1
19	Ezekson	1
19	00000000-0000-0000-0009-01f3e0064b49	1
