rank	username	minecraft:used/minecraft:magenta_glazed_terracotta
1	EMC_	945
2	joethahobo	386
3	beeperbeeper5	227
4	Merv__	81
5	Yamdalorian	75
6	_Virify_	65
7	lordpipe	49
8	thewindmillman	31
9	YungMaki	26
10	Boipl	23
11	fluddd	20
12	SingedBread	19
13	Blaiku	14
14	pintsizedrogue	13
14	eitanzaki	13
16	Hyp3rion_	12
17	Fuad_R	10
17	NameGenerat0r	10
19	Ezekson	8
20	ImpavidArcher	7
20	Krowuss	7
20	Enderxz3	7
23	Di_infiri	6
23	Onennon	6
25	Spenduh	5
25	mobunni	5
27	titanlax	4
27	noam464	4
27	StinkyDiplomat	4
27	pixelviolin	4
31	Inbefour	3
31	Spacewardharpy7	3
31	ConnorDanky_	3
34	ItsDeltaMC	2
35	Bandito_Roamer	1
35	TheSecondLord	1
35	Fullut	1
35	thescout7	1
35	Bumpy419	1
35	Buuck_	1
35	idyllical	1
