rank	username	minecraft:used/minecraft:brown_shulker_box
1	m_be9	441
2	kekhon	420
3	Mahoose	369
4	Skippeh	310
5	Groundler	307
6	Smoke____	285
7	El_Jalapeno	282
8	Frozil12	253
9	MattieHD	252
10	Dedalus36	210
11	Historical_Sand	176
12	Akoot_	167
13	YungMaki	161
14	pixelviolin	158
15	pintsizedrogue	157
16	EveryonesUncle	152
17	500am	149
18	beeperbeeper5	128
19	Fullut	126
20	HellsSponge	111
21	Xclax101	109
22	Awyrlas	108
23	Myszoaz	100
24	mwrty	97
25	6king6colt6	95
26	lordpipe	87
27	TheSecondLord	81
27	Enderslayerxz3	81
29	Sral7	80
30	oxfordschool	78
31	Kubeusz2010	77
32	yulgur1	76
33	Bumpy419	73
34	Euclidoris	70
35	thewindmillman	68
36	bloodbiter	67
36	Hisiste	67
38	Hyp3rion_	64
39	ApophisNova	60
39	MyNamaSheff	60
41	NameGenerat0r	57
42	Xalithia	55
42	TheShyPig	55
44	_Virify_	52
45	EcksD	48
46	jnp_gaming	46
47	Quaintster	44
48	Skylord_Luke	43
49	MakeHistory157	41
50	cedric72	38
50	Karbl	38
52	Queen_Jalapeno	33
52	Shogunite	33
54	Russiancat1	32
55	ImpavidArcher	31
55	Nach0Bear	31
57	gabriels543	29
57	Eczbek	29
59	SellyZ	28
60	noam464	26
60	sp00ky_ghost977	26
62	PhantomsGhost_	25
63	Deathkob	23
64	Werbe	22
64	stahouo	22
66	Blackberry1310	21
66	Jackattack53	21
66	Snowflowe	21
69	LexMakesHistory	20
69	Kyrum2169	20
71	Hpdinosaur	19
72	Ecplosive	18
72	_Karmaa	18
74	Rumpletaezer	17
74	Blaiku	17
76	r123moore	16
76	Nicserso	16
78	TechnoNinja64	14
79	Miko_Fullbuster	13
80	SteveCraftBlocks	12
80	pappaberg	12
80	Lutres_Torane	12
83	joethahobo	11
83	Jimi7hits	11
83	Soplight	11
83	Ezekson	11
87	MangoTheFish	10
87	SammiWolfGirl	10
87	Dogcorn69420	10
90	eitanzaki	9
90	Cryptacity	9
90	claivin	9
90	Cocoamallows	9
94	TAKrules	8
94	Marbz_	8
94	k1ngGilgamesh	8
94	fred870d	8
98	Groovy_MoonBird	7
98	Jiminie	7
98	lillips	7
98	KSI	7
102	teslawolf38	6
102	rarrq	6
102	Di_infiri	6
102	DarlaMeow	6
102	MightyWertu	6
102	Steelynan	6
108	thescout7	5
108	PigDab	5
108	wezzzi	5
108	Razzgriz	5
108	MissCeleste7	5
113	AuroraValkyrie	4
113	TooManyDuck	4
113	nocturne78	4
113	_Nuf	4
113	Maenara	4
113	Blu3beast	4
113	Steven1282598	4
120	Merv__	3
120	Kkanot	3
120	loveseeker	3
120	The_slideV3	3
120	ItsDeltaMC	3
120	OG_Songsee	3
120	vandmanden	3
127	Houstonion	2
127	YungJakobo	2
127	ROY4LE	2
127	NomadicRobin_	2
127	audiocracked	2
127	Racengan	2
127	Xovalt_	2
127	jcool7	2
127	FelixPSY375	2
127	AltnumberF4	2
127	h2p_emrld	2
138	I_Am_Mushkin	1
138	diamondgolem35	1
138	SpaceGrenadier	1
138	Ssor69	1
138	jushykins	1
138	Masssonnn	1
138	WET_WET_WET	1
138	Zythose	1
138	RobotMinion101	1
138	fw3xywashere	1
138	Bl1tzFX	1
138	Inbefour	1
138	Eraxa	1
138	EtherealEspresso	1
138	TheOuterCore	1
138	Kateesaur	1
