rank	username	minecraft:used/minecraft:potion
1	Ezekson	2172
2	Jiminie	1098
3	kekhon	589
4	Mahoose	561
5	Smoke____	467
6	StinkyDiplomat	466
7	Hyp3rion_	448
8	Racengan	439
9	beeperbeeper5	381
10	noam464	349
11	Soplight	333
12	Arceus1975	329
13	YungMaki	322
14	EcksD	312
15	kinas45y5	308
16	wezzzi	304
17	SlayerCrypto	290
18	RodSerlingCringe	276
19	eitanzaki	268
20	LeauVox4921	267
21	pintsizedrogue	253
22	djancak	242
23	T045RTY	240
23	NomadicRobin_	240
25	Akoot_	238
26	PlasticOtari	236
27	bloodbiter	230
28	EveryonesUncle	218
29	TheSecondLord	215
30	rarrq	213
31	thewindmillman	208
32	TechnoNinja64	199
33	Eraxa	193
34	xxPipperDipperxx	192
35	Inchef	189
36	MyNameIsJobo	188
37	Fullut	179
38	Jackattack53	177
39	Blackberry1310	169
40	Frozil12	168
41	Enderslayerxz3	167
42	Freak_Genius	164
42	monky_irl	164
44	_Bguette_	155
45	Di_infiri	152
45	DarlaMeow	152
47	Blaiku	149
48	Werbe	147
49	SammiWolfGirl	145
50	Historical_Sand	136
51	Groovy_MoonBird	130
52	jnp_gaming	128
53	Snowflowe	125
54	claivin	121
55	jushykins	110
56	_Dean_123	109
57	6king6colt6	108
57	Skippeh	108
59	PhantomsGhost_	107
60	CruncyIsTaken	106
61	Spacewardharpy7	105
62	Merv__	104
63	Legendosh	102
64	12Magner05	98
65	himak1	95
66	lcvezra	94
67	fade_emerge78823	93
68	lillips	89
69	Covalents	87
70	_TCARREIRA_	82
71	SteveCraftBlocks	81
71	Lord_Jord	81
73	KG1999	80
73	Spenduh	80
75	MineMaster0012	79
76	q_wq	77
76	m_be9	77
76	Zythose	77
79	HolyVenom	74
80	HellsSponge	73
81	500am	67
82	joethahobo	65
82	Zoeyfortnite	65
84	teslawolf38	64
84	Auseawesome	64
84	Kakolbus	64
87	Incinere	63
87	masskedman	63
87	SvenskaHugo	63
87	Dreamdbr14	63
91	Paintz	62
91	PigDab	62
93	KarlKaek	61
93	the_russell1611	61
93	stahouo	61
93	oxfordschool	61
93	Sral7	61
98	Onennon	59
98	CalebDHawk	59
98	LeeMcGee30	59
101	ImpavidArcher	57
101	Hermanni__	57
103	_Boipl_	56
103	Xclax101	56
103	MakeHistory157	56
106	laron58	54
107	Chromary	53
107	lizardfightclub	53
109	paranoid_plant	51
110	SexcMf	50
111	SvenskaAlvar	48
112	Lez_	47
112	sp00ky_ghost977	47
114	jacxhadow	46
115	alderban107	45
116	Marbz_	44
116	TheShyPig	44
116	fluddd	44
119	Smashic	43
119	Nicky19	43
121	NameGenerat0r	42
121	Segotep999	42
123	Ryker	41
123	Franco093	41
123	heckface	41
123	Blu3beast	41
127	Ailmast	40
128	KingEgg1	39
129	chipklip	38
129	SingedBread	38
129	Nagasaki_Riku	38
129	Dogcorn69420	38
129	Miko_Fullbuster	38
129	EcksDofficial	38
129	h2p_emrld	38
136	Myszoaz	37
136	Kamflame10	37
136	XboxPanda	37
136	SuperPooch06	37
136	FishyBoy3811	37
141	ShedJr_	36
141	GravitySaint	36
141	Ze_BaronKrigler	36
141	__tomato	36
145	diamondgolem35	35
145	ProfessorBee	35
147	Mr_Byzantine	34
147	EMC_	34
147	fred870d	34
150	Awyrlas	33
150	sammidk	33
150	Steelynan	33
153	egglapras	32
153	fw3xywashere	32
153	Kubeusz2010	32
156	Sky_light_KING	31
156	MAns_44	31
158	I_Am_Mushkin	30
158	gcaisawesome	30
160	Jovaphobic	29
160	Sleek_Storm_721	29
160	lordpipe	29
160	PortlyPete69	29
160	jcool7	29
160	AltnumberF4	29
166	Z3braYTIL	28
166	Wowful	28
166	CheifJumbo	28
169	r123moore	26
169	Fuad_R	26
169	Sheldor097	26
172	Da_Boss_Rani	25
172	Rumpletaezer	25
172	LAVA129	25
172	NATE_the_HALO	25
172	FishisTTV	25
177	livingdaydreams	24
177	_AceOfSpace_	24
177	MinttyFressh	24
177	Kkanot	24
177	Hisiste	24
182	Euclidoris	23
182	Groundler	23
182	ItsJunoIGuess	23
185	awesomeoneme	22
185	MrAdamant209	22
185	ROY4LE	22
185	M_Patata	22
185	Parcc	22
185	Inbefour	22
185	MasterNueve	22
192	_Virify_	21
192	ratglock	21
192	set67	21
192	surfinggiraffejp	21
192	fr_ser	21
192	censorsheep	21
192	Vorlice	21
192	MovingFish7	21
192	Optiprimus	21
192	Poppy235	21
202	BilboBaggins23	20
202	emrekn	20
202	Zaridey	20
205	Lil_Breadboy	19
205	TheSeismicDuck	19
207	MrExplorer	18
207	thescout7	18
207	NotTrixi	18
207	loveseeker	18
207	ColourfulAfrican	18
207	Syropatathe	18
207	2blox	18
207	WYFYoyo	18
215	Huwulling	17
215	Mobstr	17
215	gabriels543	17
215	Leyna3	17
219	SyK7	16
219	dudcreeper	16
219	YungJakobo	16
219	crying_wolf_13	16
219	Touched_Bread	16
219	Skylord_Luke	16
219	MilleGrug	16
219	_AAZAR	16
219	vandmanden	16
228	Drlzyy	15
228	lewieinnit	15
228	FirsTimeGamingTV	15
228	Cambo5000	15
228	UncreativeArtist	15
228	mimbo1211	15
228	prizm_	15
228	mariominejedi	15
228	DScatgirls	15
228	Lowjinx	15
238	Bandito_Roamer	14
238	majlin16	14
238	Barlycorn	14
238	SkateboardR6	14
242	Cowison	13
242	error10101	13
242	_Razar	13
242	Ardennes	13
242	eclipseboi	13
242	Mewar	13
242	drompje	13
242	dartwaffle	13
242	PartyPhoenix	13
242	jambvds	13
242	Quaintster	13
242	JayToe	13
254	hm947	12
254	Hpdinosaur	12
254	Kalwag	12
254	Nach0Bear	12
254	Noah_Bez	12
254	NotoriousNina	12
254	SokaOtaku	12
254	Fuhrer_Teemo	12
254	LexMakesHistory	12
254	Lutres_Torane	12
254	_Yonk_	12
265	CoffeeNoir	11
265	NinjaKnifeKill	11
265	SpaceGrenadier	11
265	H72l9w	11
265	Flapjacker687	11
265	Scathra	11
265	King_Pancake1	11
265	seramalen	11
265	gloryoftherain	11
265	Kokeech	11
265	Dusk_95	11
265	stavgod	11
265	HesDemonPants	11
265	MeetTheWollo	11
279	MrKrabOnCoke	10
279	Swexti	10
279	Kynigito	10
279	CarryLine	10
279	Deathkob	10
279	LetsDoItLive	10
279	WyngGoy	10
279	Nicserso	10
287	nataliecool	9
287	soundad	9
287	ColeSnyder	9
287	BlancoFlaco	9
287	RebelAndroid	9
287	beeleg	9
287	Avermu	9
287	ThatOneDoood	9
287	Maenara	9
287	SpouHn	9
287	YungWali	9
287	_Karmaa	9
287	EtherealEspresso	9
287	TheALV	9
