rank	username	minecraft:used/minecraft:nether_brick_fence
1	joethahobo	7975
2	Frozil20	3682
3	BobDeBouwer1337	2449
4	El_Jalapeno	1893
5	Cowison	1860
6	thewindmillman	1069
7	Skippeh	727
8	TheShyPig	540
9	beeperbeeper5	382
10	burbankbuilder28	365
11	RoboTramp7865	295
12	Soplight	294
13	Eraxa	203
14	HellsSponge	139
15	Incinere	138
16	Mahoose	135
17	m_be9	134
18	Bandito_Roamer	109
19	DAD_1996	108
20	PigDab	73
20	underscore_2	73
22	T045RTY	70
23	YungMaki	69
24	Paint	66
25	rarrq	65
26	yulgur1	55
27	Northernrabbit	52
28	kekhon	44
29	Jiminie	38
30	Onennon	36
31	Reamdin	34
32	Di_infiri	33
33	TheEnderman548	31
33	anbbang	31
35	EcksD	30
36	Merv__	29
37	ShedJr_	28
37	Hyp3rion_	28
37	Vorlice	28
40	wobn	27
41	OfficerAnvil	25
41	PlasticOtari	25
43	pintsizedrogue	22
44	SvenskaHugo	20
45	Jovaphobic	19
45	MAns_44	19
45	Xclax101	19
48	Freeman666	16
48	MakeHistory157	16
50	fr_ser	15
50	Kynigito	15
50	Rasmanden	15
53	Ssor69	14
53	Bumpy419	14
53	EngagedGrub41	14
53	Smoke____	14
57	Zythose	13
57	Blu3beast	13
57	lcvezra	13
60	Arceus1975	12
61	dimondking777	11
61	eitanzaki	11
61	eiC_	11
64	Prismyst	9
64	MattieHD	9
64	mimbo1211	9
64	fallingemma	9
64	MovingFish7	9
69	6king6colt6	8
69	CoffeeNoir	8
69	12Magner05	8
69	500am	8
69	ADEXTV	8
74	dudcreeper	7
74	livingdaydreams	7
74	MyNameIsJobo	7
74	Akoot_	7
74	RadarHz	7
79	Inchef	6
79	M_Patata	6
79	JitteryJared2	6
79	Groundler	6
79	MasterNueve	6
79	Ezekson	6
85	Alteriity	5
85	noam464	5
85	Snowflowe	5
85	Moofyman	5
85	claivin	5
85	Sral7	5
91	DepressedCubic	4
91	diamondgolem35	4
91	SquadMonster	4
91	XboxPanda	4
91	SuperPooch06	4
91	epiksk8erduck	4
91	Leyna3	4
91	Maenara	4
91	SingedBread	4
91	__tomato	4
91	SammiWolfGirl	4
91	vandmanden	4
103	Gundam_Steven	3
103	Fullut	3
103	egglapras	3
103	lizardfightclub	3
103	Freak_Genius	3
108	Killercatty78	2
108	FirsTimeGamingTV	2
108	Vizzoid	2
108	Ardennes	2
108	CharlieButt	2
108	Donutt	2
108	Rebytre	2
108	Kouridragon	2
108	Drewen24	2
108	LetsDoItLive	2
108	KingMatthew506	2
108	Enderslayerxz3	2
108	adiccting01	2
108	JayToe	2
122	TheBiggestFeller	1
122	Hpdinosaur	1
122	KomputerDude	1
122	TheSecondLord	1
122	Guillemet	1
122	mwrty	1
122	thescout7	1
122	Queen_Jalapeno	1
122	The11thDoctor	1
122	sxc_	1
122	Sky_light_KING	1
122	EveryonesUncle	1
122	DarlaMeow	1
122	Shogunite	1
122	Blaiku	1
122	Racengan	1
122	Spacewardharpy7	1
122	pixelviolin	1
122	Sheldor097	1
122	mawileite	1
122	2blox	1
122	TechnoNinja64	1
