rank	username	minecraft:used/minecraft:wind_charge
1	00000000-0000-0000-0009-01fe065167f0	2696
2	oscminus	904
3	thewindmillman	591
4	MyMawgDonaldsGon	375
5	pixelviolin	306
6	Enderxz3	183
7	net_flex	160
8	k_ce	97
9	Yamdalorian	89
10	cutelilreno	88
11	beeperbeeper5	60
12	CLG_Kata	18
12	TheSecondLord	18
12	Pumpkin_P_Patch	18
15	Mr_Byzantine	14
15	Spaghettatron	14
17	Merv__	12
18	00000000-0000-0000-0009-01f536ca417f	9
19	Gus2005	8
20	MAns_44	5
21	Lez_	4
22	DisgruntledKoala	3
23	Buuck_	2
23	Soplight	2
25	TheKingK_	1
