rank	username	minecraft:used/minecraft:blackstone_stairs
1	Hyp3rion_	2162
2	skitzxo	1396
3	Mattesco	1216
4	ogoa	1117
5	Snowflowe	942
6	Manaateee	502
7	Lord_Jord	477
8	k_ce	460
9	Druid95	380
10	fragrantmonke444	367
11	Yamdalorian	349
12	beeperbeeper5	344
13	Enderxz3	339
14	TheSecondLord	333
15	CalebDHawk	303
16	YungMaki	263
17	Werbe	253
18	Blackberry1310	247
19	theonlymagikarp	228
20	iSammael	216
21	U_Mos_	207
22	soundad	173
23	pintsizedrogue	169
24	drunkeeez	165
25	BobDeBouwer1337	156
26	rarrq	153
27	HUNTERmaun	123
28	Fullut	122
29	myaccountwasgone	115
30	KartivGal	112
31	jacxhadow	109
32	Biites	105
33	shineh10	85
33	Huwulling	85
35	MustardSquid	80
36	Mahoose	76
37	bl1ss0	71
38	thewindmillman	69
38	SvenskaHugo	69
38	fffMike	69
41	benediktine1	64
42	titanlax	57
43	ImpavidArcher	54
43	Alteriity	54
45	luseis	53
46	gustarlep	51
46	Soplight	51
48	BadenStayFly	49
49	PazinGaming	43
50	_witch_craft_	40
51	KarlKaek	39
52	SquadMonster	38
53	Lez_	36
54	ApophisNova	33
54	MyNamaSheff	33
56	Paint	32
57	Steelynan	31
58	Apollo_993	26
58	ItsDeltaMC	26
60	lorpus	23
61	Kowcio_	20
62	cichy096	19
63	Xalithia	16
63	Legendosh	16
65	eitanzaki	14
65	4774	14
67	Akoot_	12
68	noam464	11
68	ZoomieZoomie	11
70	ECstardust	9
71	crashomon	8
72	ShedJr_	6
72	EtherealEspresso	6
74	pretty_pink_reno	5
75	T045RTY	4
75	joethahobo	4
75	Arceus1975	4
75	PigDab	4
75	FreakGenius	4
75	Ze_BaronKrigler	4
75	djancak	4
82	RebelAndroid	3
82	SirBreadward	3
84	livingdaydreams	2
84	Smashic	2
84	ooga47	2
84	That_tech_head	2
84	NameGenerat0r	2
84	Jimb0nat0r	2
90	Merv__	1
90	Miroryk	1
90	xxPipperDipperxx	1
90	Touched_Bread	1
90	Di_infiri	1
90	NomadicRobin_	1
90	Gryglu583	1
90	Cordicus	1
90	blackeemperor	1
90	Spacewardharpy7	1
90	lordpipe	1
90	_Mythic____	1
90	_Yonk_	1
90	Kubeusz2010	1
90	CattSoup	1
90	PlasticOtari	1
90	satuern	1
