rank	username	minecraft:used/minecraft:packed_mud
1	Yamdalorian	1140
2	pixelviolin	1000
3	Kowcio_	741
4	LuvLuvLove	341
5	Aakvaa	277
6	Hoid_the_Roamer	243
7	Mr_Byzantine	241
8	EMC_	229
9	Enderxz3	224
10	SpacesickPrism	214
11	Buuck_	167
12	PazinGaming	165
13	rarrq	155
14	Lez_	140
15	GooseWithin	132
16	Pumpkin_P_Patch	128
17	XxCookiequeenxX	127
18	Steelynan	93
19	luseis	83
20	mymayowasgone	73
21	Manaateee	61
22	PlasticOtari	48
23	Juansinmiedo18	39
24	Jimb0nat0r	34
25	12Magner05	33
26	mihimihimihi	31
27	Mattesco	27
28	MattieHD	25
29	skroobiez	20
30	thewindmillman	15
31	FormulaNewt3627	7
32	Mahoose	6
33	TheSecondLord	5
33	Soplight	5
35	pintsizedrogue	3
36	craaaash	2
36	Iamthejo	2
38	catandmoose	1
38	FiguraDei	1
38	Colmer94	1
38	ConnorDanky_	1
