rank	username	minecraft:used/minecraft:waxed_cut_copper_slab
1	Mattesco	1476
2	Mr_Byzantine	551
3	EMC_	526
4	12Magner05	419
5	thewindmillman	359
6	TheSecondLord	300
7	Merv__	159
8	Lez_	128
9	Solar_Power	122
10	TheKingK_	116
11	beeperbeeper5	103
12	Spaghettatron	96
13	Soplight	83
14	Manaateee	82
15	MattieHD	81
16	Enderxz3	49
17	hanaryheatwave	43
18	Touched_Bread	41
19	bl1ss0	36
20	Jimb0nat0r	35
21	TheWickedBird	29
22	pintsizedrogue	19
23	SteveCraftBlocks	12
23	Kowcio_	12
23	Nicserso	12
26	milltesco	9
27	craaaash	8
28	KamFurnace	6
29	pixelviolin	5
30	cutelilreno	4
31	MAns_44	3
32	pizzarel_	2
33	00000000-0000-0000-0009-01fe065167f0	1
