rank	username	minecraft:used/minecraft:smooth_sandstone_stairs
1	joethahobo	8666
2	Frozil12	7336
3	sebastiensaborio	4360
4	500am	2611
5	Soplight	1403
6	__tomato	1391
7	2Stout	1220
8	Merv__	1089
9	Sral7	1065
10	WyngGoy	882
11	Hyugo	797
12	ImpavidArcher	743
13	TheShyPig	628
14	_stets	605
15	kekhon	601
16	SteveCraftBlocks	590
16	Enderslayerxz3	590
18	Shogunite	513
19	Blackberry1310	485
20	Groovy_MoonBird	467
21	Mahoose	451
22	Wowful	374
23	himak1	322
24	Legendosh	300
25	Onennon	276
26	Kim_Jong_eel	228
27	Sky_light_KING	209
28	Di_infiri	200
29	KarlKaek	195
30	Babushka0430	192
31	eitanzaki	171
32	John6970	170
33	CoffeeNoir	168
33	RodSerlingCringe	168
35	The_slideV3	130
36	Akoot_	120
37	RebelAndroid	119
38	XxCookiequeenxX	102
39	Inchef	96
40	Eraxa	95
41	YungJakobo	94
42	_Bguette_	87
43	YungMaki	84
44	AltnumberF4	82
45	Wooptey	79
46	peach0s	77
46	Winklepicker279	77
48	Fullut	76
49	Studyhallsaver	75
50	Ssor69	72
51	Freak_Genius	69
52	TechnoNinja64	68
53	andy_rex	67
54	ApophisNova	64
54	MyNamaSheff	64
56	PlasticOtari	57
57	Cryptacity	56
58	NameGenerat0r	52
59	ElectricDragon81	46
60	MeowMeowMcmuffin	45
61	Hpdinosaur	42
62	Werbe	41
62	SexcMf	41
64	Inbefour	35
65	Karetoko	33
66	FreddyFart	31
67	Meatlaugh	29
67	jnp_gaming	29
69	Lord_Jord	26
69	duqboy	26
71	MattieHD	25
72	AuroraValkyrie	24
73	TheSecondLord	23
73	oxfordschool	23
75	thescout7	21
76	EcksDofficial	16
77	RobotMinion101	15
78	Septemb3r	13
79	oreee	11
79	SuperPooch06	11
79	ooga47	11
79	chipklip	11
79	DarlaMeow	11
79	SwooshBoi	11
85	MyNameIsJobo	10
86	pintsizedrogue	9
86	mwrty	9
86	MyNameIsDakar	9
86	Kyrum2169	9
86	YoshikageBites	9
91	Deathkob	8
92	rarrq	7
92	_3Stump_	7
94	NotMeanttoChange	6
95	I_Am_Mushkin	4
95	Vizzoid	4
95	El_Jalapeno	4
95	ReyTheLegend	4
95	Hermanni__	4
95	Nicserso	4
101	burbankbuilder28	3
101	Hiryu27	3
101	jcool7	3
104	bigstankyy	2
104	Jackattack53	2
104	victorLIE	2
104	silverpopcorn	2
108	PhantomsGhost_	1
108	KingFaenor	1
108	Sleek_Storm_721	1
108	Nesquiczek	1
108	jacxhadow	1
108	Lor1113	1
108	noam464	1
108	Doom_melon	1
108	fluddd	1
108	Warlord324	1
108	stahouo	1
108	kinas45y5	1
