rank	username	minecraft:used/minecraft:black_banner
1	beeperbeeper5	814
2	Mahoose	377
3	Lez_	347
4	luseis	190
5	kekhon	186
6	burbankbuilder28	142
7	TheShyPig	130
8	Mattesco	123
9	fluddd	117
10	rarrq	110
11	Eczbek	102
12	Maenara	100
13	lordpipe	98
14	Manaateee	92
15	PigDab	88
16	Kakolbus	81
17	Jimb0nat0r	80
18	Historical_Sand	75
18	Eraxa	75
20	Hyp3rion_	72
21	LeonelSalamanca	66
22	FreakGenius	60
23	joethahobo	56
24	TheSecondLord	53
25	MattieHD	52
26	pintsizedrogue	50
26	ShedJr_	50
28	500am	49
29	titanlax	47
29	Legendosh	47
31	Kowcio_	46
32	ConnorDanky_	41
33	xolstoi	40
34	Onennon	36
35	jessewegottacook	34
35	Werbe	34
35	Segotep999	34
38	AdmiralSmoke	32
39	EMC_	31
39	Blackberry1310	31
39	EcksD	31
42	Fildyr	30
42	Hermanni__	30
44	MakeHistory157	29
44	Soplight	29
46	Krowuss	28
47	HellsSponge	27
47	Blu3beast	27
49	eitanzaki	26
49	Kynigito	26
49	Sral7	26
52	BobDeBouwer1337	24
52	ProfessorBee	24
52	_Dean_123	24
52	Di_infiri	24
52	SingedBread	24
52	Winston_Ingram	24
52	Steelynan	24
59	Cryptacity	22
59	Blaiku	22
61	AlexxO_o	21
62	PazinGaming	20
62	Akoot_	20
64	6king6colt6	19
64	YungMaki	19
64	Enderxz3	19
67	teslawolf38	18
67	lorpus	18
69	Optiprimus	17
70	ImpavidArcher	16
70	KingMatthew506	16
72	Merv__	15
72	Huwulling	15
72	LexMakesHistory	15
75	Touched_Bread	14
75	SuperPooch06	14
75	TheTommyGun63	14
75	tsitrawhy	14
79	Apollo_993	13
79	LAVA129	13
79	_Karmaa	13
82	MrExplorer	12
82	xxPipperDipperxx	12
82	Stiar	12
82	noam464	12
82	yheece	12
82	Inbefour	12
82	jnp_gaming	12
89	FelixPSY375	11
90	k_ce	9
90	2Stout	9
90	SaintJosie	9
90	Dakar_	9
90	BlankityMcBlank	9
95	ApophisNova	8
95	DarlaMeow	8
95	sp00ky_ghost977	8
95	MyNamaSheff	8
99	SquadMonster	7
99	thescout7	7
99	RobotMinion101	7
99	StinkyDiplomat	7
99	__tomato	7
99	xzvu	7
99	cichy096	7
106	Frozil20	6
106	Alteriity	6
106	Arceus1975	6
106	Snowflowe	6
106	KeruNatsema	6
106	Xclax101	6
112	Mr_Byzantine	5
112	ECstardust	5
112	T045RTY	5
112	Smashic	5
112	Winklepicker279	5
112	hanaryheatwave	5
112	Deathkob	5
112	Spacewardharpy7	5
112	layabout100	5
112	SammiWolfGirl	5
122	MuffinManzz	4
122	hm947	4
122	Fullut	4
122	CarltheCuck	4
122	Skylord_Luke	4
122	Racengan	4
122	Kyrum2169	4
122	SpacesickPrism	4
122	skrongus	4
131	SaucyDark	3
131	Incinere	3
131	Reamdin	3
131	Crowman1	3
131	12Magner05	3
131	catandmoose	3
131	TheDiamondCG	3
131	Kamflame10	3
131	NotKaden_	3
131	TheDankPlatypus	3
131	thewindmillman	3
131	Rocco_Lane	3
131	Rebytre	3
131	epiksk8erduck	3
131	wirelesstree	3
131	WyngGoy	3
131	SSytex_X	3
131	Pundehoo	3
131	Njensen7	3
131	PlasticOtari	3
151	Krasnal1337	2
151	Groovy_MoonBird	2
151	I_Am_Mushkin	2
151	TooManyDuck	2
151	Natty	2
151	TheFlfthHorseman	2
151	CliffEmAll	2
151	m_be9	2
151	SteveCraftBlocks	2
151	set67	2
151	groggregg42	2
151	Mookle96	2
151	LeauVox4921	2
151	shadowthemonkey	2
151	Jackattack53	2
151	pappaberg	2
151	bearlystraight	2
151	Drewen24	2
151	NomadicRobin_	2
151	audiocracked	2
151	Leithz6	2
151	MineMaster0012	2
151	UCP_TheKingK	2
151	thedhub	2
151	lcvezra	2
151	Luigipunch989	2
151	jcool7	2
151	Kubeusz2010	2
151	Ezekson	2
151	Quotary	2
151	BreadBacon	2
151	remmisrat	2
183	heysushii	1
183	JohnnyFyes	1
183	CloroxBleach385	1
183	soundad	1
183	KarlKaek	1
183	gren_ben	1
183	_Razaria	1
183	tsohomie	1
183	Bowba123	1
183	Ganjier	1
183	Euclidoris	1
183	Mercadies	1
183	NieToksikpl	1
183	jushykins	1
183	Tiberonus	1
183	AdvertisingMerc	1
183	rebichuu	1
183	r123moore	1
183	arcanemagic	1
183	AMOTOS_LASODEMIA	1
183	Lil_Breadboy	1
183	Jonafrog99	1
183	Chromary	1
183	andy_rex	1
183	_Boipl_	1
183	CrateOfBoxes	1
183	Hoid_the_Roamer	1
183	oscminus	1
183	Lord_Jord	1
183	Fuhrer_Teemo	1
183	rotten_mango	1
183	KlausVonStiglitz	1
183	lillips	1
183	jacobsoy	1
183	Lekol	1
183	claivin	1
183	Quaintster	1
183	MAns_44	1
183	Nycteus_	1
183	censorsheep	1
183	Steve897	1
183	Groundler	1
183	SkateboardR6	1
183	MovingFish7	1
183	Seashimi	1
183	teakings	1
183	Conrad139	1
183	_JrTurtle_	1
183	CalebDHawk	1
183	TheBananaKat	1
183	Nicserso	1
183	UrbanPlanningEx	1
183	vandmanden	1
183	TechnoNinja64	1
183	calamariclam_I	1
183	DkansK	1
