rank	username	minecraft:used/minecraft:dark_oak_pressure_plate
1	Russiancat1	154
2	MyNameIsJobo	142
3	jnp_gaming	91
4	Mr_Byzantine	67
5	beeperbeeper5	60
6	Lez_	54
7	Prismyst	50
8	Esme_1	47
9	kekhon	38
10	Mahoose	33
11	titanlax	31
12	Soplight	30
13	thescout7	29
14	Merv__	25
14	joethahobo	25
16	Fizznut909	24
17	Legendosh	23
18	Karetoko	22
19	Moofyman	20
20	pintsizedrogue	19
20	TheShyPig	19
20	tsitrawhy	19
23	rarrq	18
23	Warlord324	18
25	Smashic	16
26	avalan64	15
27	jacxhadow	14
27	Blu3beast	14
27	Dusk_95	14
27	Eraxa	14
27	KingMatthew506	14
32	RatatJuice	12
32	intropass	12
32	stuy9	12
35	dezxalo	11
35	lillips	11
37	SaucyDark	10
37	2Stout	10
37	Onennon	10
37	RoofTyler	10
37	brofrickcheaters	10
42	500am	9
42	Fullut	9
42	Nekomin0	9
42	Ezekson	9
46	dudcreeper	8
46	ImpavidArcher	8
46	Khelvoryk	8
46	Awyrlas	8
46	Touched_Bread	8
46	M_Patata	8
46	AlphaWolfPlaysMC	8
53	m_be9	7
53	AnnieBathory	7
53	EveryonesUncle	7
53	censorsheep	7
53	Optiprimus	7
53	PortlyPete69	7
53	xolstoi	7
60	Foof13	6
60	Cryptacity	6
60	ThePoliteG	6
60	Jackattack53	6
60	bpmm	6
60	Shogunite	6
60	MasterNueve	6
60	MineMaster0012	6
60	BlankityMcBlank	6
60	ThisUserIsStump	6
60	Hermanni__	6
60	Skippeh	6
72	Paintz	5
73	SmashingPump	4
73	teslawolf38	4
73	Ozixar	4
73	Ardennes	4
73	RohnJosin	4
73	seramalen	4
73	theofiel	4
73	Meatlaugh	4
73	fluddd	4
73	Deguns123	4
73	annoyingenderman	4
73	ConnorDanky_	4
85	eitanzaki	3
85	Ssor69	3
85	selectrix	3
85	RobotMinion101	3
85	PigDab	3
85	KeruNatsema	3
85	Karbl	3
85	YungMaki	3
85	UCP_TheKingK	3
85	djancak	3
85	xzvu	3
85	lcvezra	3
85	Sheldor097	3
85	Dreamdbr14	3
85	CattSoup	3
85	WYFYoyo	3
101	diamondgolem35	2
101	DinoDoctor_	2
101	BlancoFlaco	2
101	hm947	2
101	ShedJr_	2
101	dopplexd	2
101	BobDeBouwer1337	2
101	eviltunix	2
101	xxPipperDipperxx	2
101	Winklepicker279	2
101	Smussa	2
101	Invisie	2
101	SaintJosie	2
101	Elastiq	2
101	IamCL4SSY	2
101	wirelesstree	2
101	TheTrueClipse	2
101	luseis	2
101	madderfall	2
101	Xclax101	2
101	Barlycorn	2
101	Toriankel	2
101	CalebDHawk	2
124	Lotheburgh	1
124	dabloons	1
124	ItsColin11	1
124	Ailmast	1
124	chimpmunker	1
124	Historical_Sand	1
124	Blackberry1310	1
124	Cortexia	1
124	emrekn	1
124	Inchef	1
124	LeauVox4921	1
124	purpolepickle	1
124	ImDisconnected_	1
124	CollinMH06	1
124	thewindmillman	1
124	The_Fulgurator	1
124	ApophisNova	1
124	Akoot_	1
124	audiocracked	1
124	fkGrim	1
124	NameGenerat0r	1
124	Quaintster	1
124	MightyWertu	1
124	Blaiku	1
124	Spacewardharpy7	1
124	lordpipe	1
124	iSammael	1
124	Pickel_Lord	1
124	SvenskaHugo	1
124	RealGroot	1
124	Steelynan	1
124	alderban107	1
124	MyNamaSheff	1
124	JayToe	1
