rank	username	minecraft:used/minecraft:red_terracotta
1	Spacewardharpy7	7187
2	YungMaki	4738
3	Weepingbiel	3768
4	Swexti	3574
5	joethahobo	3173
6	TheSecondLord	2569
7	rarrq	2375
8	Steelynan	2048
9	Merv__	1996
10	TheShyPig	1858
11	Rumpletaezer	1668
12	Lord_Jord	1507
13	Frozil12	1479
14	MovingFish7	1202
15	Onennon	1191
16	Deodorante	1168
17	ImpavidArcher	1013
18	MightyWertu	965
19	thewindmillman	944
20	pintsizedrogue	874
21	beeleg	713
22	Shogunite	633
23	Zythose	631
24	stahouo	612
25	PlasticOtari	611
26	set67	601
27	MAns_44	591
28	Ezekson	580
29	Blackberry1310	578
30	Soplight	545
31	Hermanni__	542
32	EMC_	530
33	Blaiku	475
34	_Karmaa	458
35	kekhon	456
35	lordpipe	456
37	TooManyDuck	455
38	Smoke____	453
39	RatatJuice	429
40	XxCookiequeenxX	406
41	SSytex_X	403
42	Quincannon	379
43	Sral7	357
44	cog	325
45	NameGenerat0r	323
46	NNikitas	311
47	Snowflowe	282
48	Freak_Genius	281
49	SpaceTurtleOX	279
50	Inchef	274
51	m_be9	270
52	Skylord_Luke	247
53	himak1	223
54	EveryonesUncle	220
55	Fullut	219
56	oxfordschool	209
57	epiksk8erduck	208
58	Kouridragon	207
59	theonlymagikarp	203
60	Awyrlas	200
61	ProfessorBee	174
62	gabriels543	166
63	jcool7	146
64	XboxPanda	141
65	Werbe	140
66	xXTheWolfmanXx	138
67	Parcc	136
68	Deathkob	135
69	Blu3beast	134
70	Omar_Alone	130
71	ProbablyNick	128
72	kinas45y5	124
73	nocturne78	121
73	Zaridey	121
73	Nicserso	121
76	500am	118
77	Kamflame10	112
78	_Bguette_	104
79	ImDisconnected_	96
80	mwrty	91
80	ApophisNova	91
80	MyNamaSheff	91
80	Legendosh	91
84	Di_infiri	73
85	Deerfoot	71
86	The_SlideV5	69
87	KingMatthew506	64
88	Dooinfe	63
89	mariominejedi	62
89	yatsuta	62
91	xxPipperDipperxx	59
92	the_russell1611	56
93	Myszoaz	52
94	Hyp3rion_	50
95	NomadicRobin_	48
96	Blamphe	43
97	beeperbeeper5	42
98	eitanzaki	41
99	_naturell	40
99	SvenskaHugo	40
101	Kowcio_	38
102	Jackattack53	37
103	Akoot_	36
103	fkGrim	36
103	fluddd	36
103	Barlycorn	36
103	EcksDofficial	36
108	TTNG	34
109	MyNameIsDakar	33
110	fxiryglitch	32
111	Groovy_MoonBird	31
111	MilleGrug	31
113	AuroraValkyrie	30
113	SexcMf	30
115	wobn	29
116	Smashic	28
116	Nyxiom_	28
118	ooga47	25
119	RodSerlingCringe	22
119	claivin	22
119	MakeHistory157	22
122	Eraxa	19
123	Notta	17
123	ROY4LE	17
125	Hpdinosaur	14
125	Incinere	14
127	noam464	13
128	Malorn_Aetherius	12
129	Mahoose	11
129	diggydog67	11
131	ratglock	10
131	Segotep999	10
133	jnp_gaming	9
134	TechnoNinja64	8
135	Huwulling	7
135	duqboy	7
135	Jiminie	7
138	DepressedCubic	6
138	SuperPooch06	6
138	EcksD	6
141	Bandito_Roamer	5
142	emrekn	4
142	yulgur1	4
142	Inbefour	4
142	lillips	4
142	Dusk_95	4
142	__tomato	4
142	Enderslayerxz3	4
149	PhantomsGhost_	3
149	MeowMeowMcmuffin	3
149	AlphaWolfPlaysMC	3
149	pixelviolin	3
153	KarlKaek	2
153	heckface	2
153	Scathra	2
153	StylesK	2
153	RobotMinion101	2
153	Sky_light_KING	2
153	chipklip	2
153	Steven1282598	2
153	TheEnderman548	2
153	lcvezra	2
153	SammiWolfGirl	2
164	_Virify_	1
164	error10101	1
164	Sabby65	1
164	Isaac70096	1
164	livingdaydreams	1
164	NinjaKnifeKill	1
164	ShedJr_	1
164	SquadMonster	1
164	Euclidoris	1
164	_Dean_123	1
164	_Minnty_	1
164	thescout7	1
164	Stiar	1
164	gcaisawesome	1
164	fr_ser	1
164	MyNameIsJobo	1
164	Arceus1975	1
164	drompje	1
164	natajimi	1
164	GravitySaint	1
164	ItsDeltaMC	1
164	toos1esl1de	1
164	Razzgriz	1
164	ediballbearings	1
164	ZeroKraken	1
164	deenobeeno	1
