rank	username	minecraft:used/minecraft:crimson_stem
1	Smoke____	1440
2	Lord_Jord	1301
3	Lutres_Torane	1045
4	soundad	733
5	Steelynan	683
6	12Magner05	659
7	Legendosh	585
8	beeperbeeper5	576
9	Marbz_	560
10	Snowflowe	307
11	Optiprimus	285
12	lillips	258
13	BlancoFlaco	246
14	Freak_Genius	243
15	PlasticOtari	240
16	Blackberry1310	231
17	brofrickcheaters	200
18	EveryonesUncle	193
19	himak1	179
20	RebelAndroid	177
21	Hermanni__	175
22	kekhon	157
23	eitanzaki	147
24	set67	135
25	EcksD	129
26	noam464	127
27	LazySupport00	119
28	Cowison	108
29	djancak	101
30	Blaiku	100
31	Jiminie	95
32	Mahoose	75
33	YungMaki	72
34	Yatitay	70
34	Segotep999	70
36	Kowcio_	69
37	CoffeeNoir	67
38	Eon_57	66
39	Rebytre	64
40	M_Patata	63
41	thewindmillman	62
42	_Razar	56
43	CliffEmAll	54
44	TheWildMateo	50
44	iHuntWeeaboos	50
46	KG1999	48
47	anbbang	47
48	Luigipunch989	46
49	cwartzo	43
50	joethahobo	42
51	pintsizedrogue	41
52	BobDeBouwer1337	37
53	whoaluv	33
54	oxfordschool	28
55	MSK__	24
56	SuperPooch06	23
57	r123moore	22
57	JitteryJared2	22
57	Deathkob	22
60	RoskobiOne	21
61	Spacewardharpy7	19
62	Akoot_	18
62	MyNameIsDakar	18
64	ShedJr_	17
64	Jackattack53	17
66	Fullut	16
66	RadarHz	16
68	Vegvisir	15
69	livingdaydreams	14
69	Kubeusz2010	14
71	SvenskaHugo	13
71	Quotary	13
71	Enderslayerxz3	13
74	KartivGal	12
75	Historical_Sand	11
75	Kubelz	11
75	HellsSponge	11
75	SammiWolfGirl	11
75	KingMatthew506	11
80	Mr_Byzantine	9
80	mwrty	9
82	Eraxa	8
83	ExtraDumb	7
83	CarltheCuck	7
83	Di_infiri	7
83	GravitySaint	7
87	AuroraValkyrie	6
87	Kakolbus	6
87	_Ruzeeq_	6
87	CalebDHawk	6
91	Winklepicker279	5
91	RoBe__	5
91	lordpipe	5
91	kyouma777	5
95	rarrq	4
95	thescout7	4
95	Inchef	4
95	StarPlanetMoon	4
95	ogoa	4
95	jnp_gaming	4
101	teslawolf38	3
101	bloodbiter	3
101	500am	3
101	Awyrlas	3
101	trixterrx	3
101	NomadicRobin_	3
101	Skippeh	3
108	Merv__	2
108	RatatJuice	2
108	TheSecondLord	2
108	jacxhadow	2
108	Skylord_Luke	2
108	Frozil12	2
108	MightyWertu	2
115	Lez_	1
115	xxPipperDipperxx	1
115	breadbowlgamer	1
115	ToastedGamingYT	1
115	binman420	1
115	MAns_44	1
115	MasterNueve	1
115	ItsDeltaMC	1
115	Soplight	1
115	00000000-0000-0000-0009-01ff0c3e5e4f	1
115	00000000-0000-0000-0009-01f898304150	1
