rank	username	minecraft:used/minecraft:oak_chest_boat
1	Mahoose	6
2	Jackattack53	5
3	j5ylim	4
3	Marbz_	4
3	Ezekson	4
6	shineh10	3
6	iSammael	3
6	FiguraDei	3
6	Enderxz3	3
10	PaperCanvas	2
10	luseis	2
10	Fuad_R	2
10	Vetomo8000	2
14	pintsizedrogue	1
14	Huwulling	1
14	Morgf	1
14	knarian	1
14	Jekyll	1
14	00000000-0000-0000-0009-01f9013b764e	1
