rank	username	minecraft:used/minecraft:light_gray_stained_glass_pane
1	Legendosh	3175
2	Winklepicker279	2462
3	Lord_Jord	1398
4	joethahobo	934
5	ImpavidArcher	860
6	TheShyPig	826
7	beeperbeeper5	757
8	Groundler	667
9	Mahoose	487
10	EcksDofficial	455
11	M_Patata	429
12	500am	348
13	MasterNueve	322
14	Merv__	312
15	PlasticOtari	303
16	The_Quack_Dealer	246
17	Optiprimus	236
18	Jackattack53	228
19	Eraxa	220
20	jacxhadow	203
21	titanlax	152
22	Soplight	144
23	Werbe	141
24	MattieHD	140
25	Skippeh	137
26	rarrq	92
26	Malorn_Aetherius	92
26	Frozil12	92
29	Hermanni__	84
30	MangoSalad316	80
31	Cowison	78
32	ImDisconnected_	76
33	El_Jalapeno	75
34	EMC_	73
35	Hpdinosaur	69
36	lcvezra	66
37	TheSecondLord	65
38	oxfordschool	61
39	Eerini	57
40	Shogunite	55
41	epiksk8erduck	53
41	Zoeyfortnite	53
43	lillips	51
44	Quotary	42
45	MakeHistory157	41
46	Donutt	40
47	Fullut	28
48	ProbablyNick	24
48	Historical_Sand	24
50	Snowflowe	22
50	Jiminie	22
52	T045RTY	21
53	Groovy_MoonBird	20
53	Onennon	20
55	MonitorLizards	16
56	Sky_light_KING	14
56	SammiWolfGirl	14
58	Bandito_Roamer	11
58	Arceus1975	11
60	eitanzaki	10
60	pappaberg	10
62	Blackberry1310	9
62	noam464	9
62	Rumpletaezer	9
62	Freedrik	9
66	m_be9	8
66	kekhon	8
66	cedric72	8
66	LexMakesHistory	8
66	jnp_gaming	8
71	thescout7	7
71	claivin	7
73	SteveCraftBlocks	6
73	Chromary	6
75	IWorkAtIkea	5
75	lordpipe	5
77	gabriels543	4
77	XxCookiequeenxX	4
77	Spacewardharpy7	4
80	livingdaydreams	3
80	Inchef	3
80	Akoot_	3
80	Hisiste	3
80	jcool7	3
85	pintsizedrogue	2
85	Di_infiri	2
85	MAns_44	2
85	tartanboy	2
85	trexgb	2
90	Racengan	1
90	Ezekson	1
90	Enderslayerxz3	1
