rank	username	minecraft:used/minecraft:mushroom_stew
1	ediballbearings	123
2	Smoke____	103
3	m_be9	43
4	WET_WET_WET	41
4	LeeMcGee30	41
6	_Dean_123	38
6	claivin	38
8	Decaying_Lotus	30
9	Frozil12	28
10	Ardennes	26
11	carpet4_69	24
12	_Nuf	20
12	GravitySaint	20
14	dopplexd	19
14	Blackberry1310	19
16	xxPipperDipperxx	18
16	marumochis	18
18	Ananas55	17
19	PhantomBionic	16
19	Notta	16
21	Sna_Ke	15
22	soundad	14
22	Werbe	14
22	Dusk_95	14
22	Freedrik	14
26	djancak	13
27	Tenns	12
27	ItzYaBoiPicard	12
27	wfk7	12
27	Akoot_	12
27	Optiprimus	12
32	LunarRedPanda	11
33	ebanana	10
34	seanitoo	9
34	kekhon	9
34	lilsay	9
37	Jovaphobic	8
37	dudcreeper	8
37	joethahobo	8
37	boysnort	8
37	SharpDev	8
37	loveseeker	8
37	Arceus1975	8
37	JESS_THE_RERE	8
45	T045RTY	7
45	Mahoose	7
45	Cryptacity	7
45	stahouo	7
49	PhantomsGhost_	6
49	gaming4Naming	6
49	TechnoNinja64	6
49	WYFYoyo	6
53	Fullut	5
53	FetteMutter	5
53	mariominejedi	5
53	Fast_Turtle	5
53	Chuvacevedo	5
53	Big_Nate_36	5
53	HellsSponge	5
53	babyjimmyneutron	5
61	Groovy_MoonBird	4
61	openatheclose	4
61	KomputerDude	4
61	ciemacigans	4
61	ouija_	4
61	AJplaysMC_	4
61	tobinwilliams	4
61	skelctal	4
61	Pootis11	4
61	NomadicRobin_	4
61	XxCookiequeenxX	4
61	critNoxx	4
61	Western_1	4
61	FedirSpectator	4
61	smogfrog	4
76	rats_life	3
76	Batoser	3
76	_Razar	3
76	livingdaydreams	3
76	nocturne78	3
76	samtrid	3
76	GingerNeutron	3
76	SpicyMeatballs	3
76	burbankbuilder28	3
76	Drewen24	3
76	Freak_Genius	3
76	ComplexSquirrel	3
76	jnp_gaming	3
76	kinas45y5	3
90	Ninzyyy	2
90	ImpavidArcher	2
90	tramizu	2
90	rarrq	2
90	Mimiir345	2
90	MinttyFressh	2
90	500am	2
90	thescout7	2
90	ROY4LE	2
90	ImDisconnected_	2
90	Windo_licker	2
90	SuperPooch06	2
90	_Boipl_	2
90	RustyBr0	2
90	bee_gorl	2
90	fred870d	2
90	Project_MKBRD	2
90	TheShyPig	2
90	SingedBread	2
90	Eraxa	2
90	Faithhfully	2
90	CLUBN2	2
90	PlasticOtari	2
113	pintsizedrogue	1
113	6king6colt6	1
113	I_Am_Mushkin	1
113	Hpdinosaur	1
113	eitanzaki	1
113	beeperbeeper5	1
113	TheFlfthHorseman	1
113	FirsTimeGamingTV	1
113	Malorn_Aetherius	1
113	bloodbiter	1
113	SteveCraftBlocks	1
113	mwrty	1
113	noam464	1
113	Kubelz	1
113	mimbo1211	1
113	F_22_	1
113	thewindmillman	1
113	CrateOfBoxes	1
113	MinerDec	1
113	0jona0	1
113	lizardfightclub	1
113	Joestra	1
113	m9_meltdown_	1
113	Blu3beast	1
113	censorsheep	1
113	Toriankel	1
113	monky_irl	1
113	pixelviolin	1
113	YungMaki	1
113	MineMaster0012	1
113	Lightfulwolf	1
113	starbits140	1
113	Soplight	1
113	lcvezra	1
113	RaxXEe	1
113	Luigipunch989	1
113	APS_Dan	1
113	Coolblubird	1
113	alderban107	1
113	Apicomplexa	1
113	AstroLightz_	1
113	FelixPSY375	1
113	Legendosh	1
113	Sral7	1
