rank	username	minecraft:used/minecraft:salmon_bucket
1	Mahoose	74
2	Enderxz3	49
3	500am	35
4	kekhon	26
5	Steelynan	22
6	FreakGenius	17
7	rarrq	15
7	pumpfonzo	15
9	PhantomsGhost_	13
9	trexgb	13
11	poopybh	12
12	ECstardust	11
12	Blackberry1310	11
14	xxPipperDipperxx	10
14	DSYisDizzy	10
14	Akoot_	10
14	TechnoNinja64	10
18	Alteriity	9
19	SaucyDark	7
19	fluddd	7
19	Racengan	7
22	JoeSaysBingBong	6
22	xzvu	6
22	lcvezra	6
22	AdmiralSmoke	6
26	_Huge_Male_	5
26	T045RTY	5
26	Prismyst	5
26	shadowthemonkey	5
26	NomadicRobin_	5
26	Druid95	5
26	SammiWolfGirl	5
33	squigglybones	4
33	Batman922	4
33	Huwulling	4
33	Tiberonus	4
33	_Dean_123	4
33	purpolepickle	4
33	M_Patata	4
33	oscminus	4
33	J4k__	4
33	MasterNueve	4
33	EtherealEspresso	4
33	jnp_gaming	4
33	Jimb0nat0r	4
46	pintsizedrogue	3
46	abramgray	3
46	Inchef	3
46	Hyp3rion_	3
46	SirPiccardo	3
46	RyuNeko932000	3
46	XxCookiequeenxX	3
46	luseis	3
46	QueenShuvi	3
46	bloomkieren	3
46	Soplight	3
46	EcksD	3
46	Quotary	3
46	PlasticOtari	3
46	xolstoi	3
46	diggydog67	3
62	SyK7	2
62	Merv__	2
62	KarlKaek	2
62	Paleshield	2
62	Wooptey	2
62	BodaciousCake	2
62	jessewegottacook	2
62	beeperbeeper5	2
62	SnowyAvi	2
62	lunathelemon	2
62	m_be9	2
62	himak1	2
62	DaviusMaximoose	2
62	_Boipl_	2
62	pappaberg	2
62	zToasty69z	2
62	natajimi	2
62	Gryglu583	2
62	Sorry_Arey	2
62	Renchi19	2
62	claivin	2
62	Blu3beast	2
62	IAmTheWalrus910	2
62	UCP_TheKingK	2
62	Segotep999	2
62	Fizznut909	2
62	Powowowow	2
89	Zee_zey	1
89	Bandito_Roamer	1
89	ImNotYuqii	1
89	ZaneABrain	1
89	Jackster03	1
89	joethahobo	1
89	Koffeeinz	1
89	NieToksikpl	1
89	TheSecondLord	1
89	MattieHD	1
89	ProfessorBee	1
89	zorin123	1
89	Secret_Canary	1
89	groggregg42	1
89	ROY4LE	1
89	legal_tax_evader	1
89	CarltheCuck	1
89	Armattillo	1
89	CaptainDeadBread	1
89	Kouridragon	1
89	Maenara	1
89	Bl1tzFX	1
89	HellsSponge	1
89	Shogunite	1
89	CatchmyGrenade28	1
89	censorsheep	1
89	marumochis	1
89	Optiprimus	1
89	MineMaster0012	1
89	KingMatthew506	1
89	MadmanRaven	1
