rank	username	minecraft:used/minecraft:prismarine_wall
1	noam464	4624
2	Ezekson	2757
3	eitanzaki	1288
4	beeperbeeper5	950
5	Lord_Jord	432
6	Legendosh	395
7	joethahobo	309
8	FreakGenius	285
9	Blaiku	276
10	Mr_Byzantine	240
11	Maenara	232
12	Marbz_	208
13	Merv__	195
14	Hyp3rion_	178
15	MightyWertu	143
16	Akoot_	122
17	Yamdalorian	102
18	Jimb0nat0r	101
19	Jackattack53	93
20	Hiryu27	89
21	Fullut	84
22	xDraggin	83
23	TheShyPig	80
24	Arceus1975	76
25	AltnumberF4	61
26	Druid95	60
27	Vellu21	55
28	Alteriity	42
29	Spacewardharpy7	38
30	Tersea_	35
31	CliffEmAll	31
32	Manaateee	30
33	The_slideV3	26
33	2blox_	26
35	Mahoose	25
35	Enderxz3	25
37	thewindmillman	23
38	fragrantmonke444	22
39	Niklas20114552	21
39	lizardfightclub	21
41	myaccountwasgone	19
41	Notta	19
43	Powowowow	16
44	PlasticOtari	15
45	m_be9	13
46	EMC_	12
46	TheSecondLord	12
48	ImpavidArcher	11
48	StarCookiees_	11
50	AuroraValkyrie	7
50	Di_infiri	7
52	ooga47	6
52	djancak	6
52	skitzxo	6
55	ShedJr_	4
55	12Magner05	4
55	fluddd	4
55	MakeHistory157	4
59	Mattesco	3
59	pretty_pink_reno	3
61	Apollo_993	2
61	noodlepack	2
61	Hoid_the_Roamer	2
61	Bumpy419	2
61	Pumpkin_P_Patch	2
61	Steelynan	2
61	annebolyn	2
68	gcaisawesome	1
68	Paintz	1
68	hanaryheatwave	1
68	RebytreGT	1
68	Soplight	1
68	EcksD	1
68	TechnoNinja64	1
