rank	username	minecraft:used/minecraft:red_sandstone_slab
1	Groovy_MoonBird	768
2	Frozil20	142
3	Caribouse	131
4	Spaghettatron	109
5	ImpavidArcher	97
6	Steelynan	62
7	00000000-0000-0000-0009-01ffc2d8cf2a	60
8	The_Quack_Dealer	42
9	TheShyPig	33
10	Legendosh	20
11	Parcc	18
12	craaaash	13
13	Yamdalorian	9
14	beeperbeeper5	8
15	Merv__	6
15	RatatJuice	6
15	Mahoose	6
15	Studio4x32	6
19	Onennon	3
19	FreakGenius	3
21	eitanzaki	2
21	kekhon	2
21	PlasticOtari	2
24	pintsizedrogue	1
24	TheSecondLord	1
24	noam464	1
24	Spacewardharpy7	1
