rank	username	minecraft:used/minecraft:repeater
1	noam464	21632
2	Jackattack53	10245
3	Di_infiri	9344
4	beeperbeeper5	6754
5	thewindmillman	4602
6	Spacewardharpy7	3718
7	eitanzaki	3601
8	thescout7	3379
9	Manaateee	2884
10	Hyp3rion_	2849
11	Blaiku	2729
12	HellsSponge	2519
13	Yamdalorian	2428
14	PigDab	2322
15	Akoot_	1389
16	Krowuss	1180
17	catandmoose	1093
18	EcksD	1065
19	Jimb0nat0r	837
20	skroobiez	826
21	Niklas20114552	822
22	m_be9	782
23	12Magner05	723
24	Spenduh	716
25	Soplight	704
26	WyngGoy	703
27	Alteriity	669
28	Kowcio_	664
29	mihimihimihi	645
30	SteveCraftBlocks	636
31	Kakolbus	630
32	lpinfinity	601
33	EMC_	590
34	Studio4x32	585
35	joethahobo	580
36	fffMike	525
37	StinkyDiplomat	514
38	Galactic_Badger	513
39	Werbe	472
40	FreakGenius	463
41	Fuad_R	462
42	Blu3beast	459
43	MightyWertu	458
44	_Mythic____	441
45	Arceus1975	425
46	TechnoNinja64	411
47	Inbefour	409
48	Zythose	406
49	El_Jalapeno	393
50	Marbz_	389
51	Fullut	379
52	Hiryu27	360
53	PhantomsGhost_	350
54	pixelviolin	344
55	ConnorDanky_	337
56	MyNameIsJobo	334
57	Frozil20	326
57	MattieHD	326
59	Snowflowe	323
59	Elastiq	323
59	Ezekson	323
59	Enderxz3	323
63	lordpipe	319
64	Lez_	313
65	Groundler	291
66	AstreaTSS	288
67	Onennon	279
68	Awyrlas	272
69	sp00ky_ghost977	269
70	hanaryheatwave	266
71	ssleepless	264
72	Xclax101	261
73	obzii	260
74	non089	255
75	craaaash	254
76	FishisTTV	253
77	Historical_Sand	245
78	oscminus	240
79	_Nuf	231
80	Eczbek	229
81	TheKingK_	226
82	Cocoamallows	224
83	eiC_	221
84	Warlord324	217
85	Bumpy419	212
86	cutelilreno	207
87	T045RTY	199
88	07shiny	198
89	Rumpletaezer	189
90	Swexti	187
91	jnp_gaming	177
92	McCakeAh	174
93	doublemaki	171
94	RebelAndroid	169
94	Mattesco	169
96	r123moore	168
97	Vorlice	167
98	xxPipperDipperxx	166
99	diamondgolem35	164
100	Racengan	160
101	knarian	154
102	Spaghettatron	153
103	Covalents	149
104	groofles	148
104	Hisiste	148
106	11Brewer	147
107	Deathkob	144
108	wx4z	143
109	Merv__	142
109	EngagedGrub41	142
111	starbits140	138
112	MilleGrug	137
113	TheSecondLord	136
114	Skylord_Luke	135
114	PlasticOtari	135
114	Sral7	135
117	NameGenerat0r	134
118	MAns_44	133
119	Jimi7hits	125
120	Maenara	124
121	slkiey	123
122	lorpus	122
122	Solar_Power	122
122	ApophisNova	122
122	MyNamaSheff	122
126	pintsizedrogue	120
126	_witch_craft_	120
128	BlueZabu	119
129	kekhon	118
130	Rani_R	117
130	domagawha	117
132	Pumpkin_P_Patch	113
133	Apollo_993	112
133	Mahoose	112
133	Vanni9	112
136	hermmm_	109
137	_Virify_	108
137	Gus2005	108
139	ECstardust	107
139	Archsam	107
139	fw3xy	107
142	Legendosh	104
143	MuffinManzz	103
144	masskedman	102
145	CrateOfBoxes	101
145	Segotep999	101
147	Blackberry1310	96
148	Lord_Jord	95
149	ImpavidArcher	93
149	eviltunix	93
151	Barlycorn	92
152	TheShyPig	91
152	_flud	91
152	Quotary	91
155	TwinTowerV2	90
156	tuckerdoodle	87
156	milltesco	87
158	ese_wn_po	86
159	EdGalbraith	84
160	bl1ss0	83
160	IlkeCookes_	83
160	erkada	83
163	tobinwilliams	82
163	Fildyr	82
165	FishyBoy3811	81
165	ProbsNotNova	81
167	HesDemonPants	80
168	AspenLightVT	79
169	Huwulling	78
169	DanTheBuilderino	78
169	__tomato	78
172	q_wq	76
172	SvenskaHugo	76
172	miramyu	76
175	es0th	74
176	Jekyll	73
176	Darkgon	73
178	GravitySaint	72
178	Skippeh	72
180	PortlyPete69	71
181	BartekB19	70
181	ConnorTG5	70
183	Syropatathe	69
184	Crowman1	68
185	Paintz	67
185	Steelynan	67
187	Kouridragon	66
187	BlankityMcBlank	66
189	jcool7	65
190	mwrty	63
191	Trever101	61
192	j5ylim	60
192	ActualPatbaf	60
192	MinttyFressh	60
192	Scathra	60
192	TheSeismicDuck	60
192	MC_Skribble	60
192	Nicserso	60
199	gcaisawesome	59
199	BronkerBrum	59
199	The_slideV3	59
199	Buuck_	59
199	SSytex_X	59
204	Tobinator_007	58
204	vandmanden	58
206	picardred	56
206	ReSynced	56
208	shadowthemonkey	55
209	RoskobiOne	54
210	Jovaphobic	53
210	audiocracked	53
212	RobotMinion101	52
212	Conrad139	52
214	Hoid_the_Roamer	51
215	Ryan_GEMS	50
215	Xalithia	50
215	mariominejedi	50
215	IamCL4SSY	50
215	wwwwinnebagoooo	50
220	benediktine1	49
220	CattSoup	49
222	Literally_Rat	48
222	Touched_Bread	48
222	elliebelle107	48
225	Minimize501	47
225	SlayerCrypto	47
225	yyatsuta	47
228	_8man	46
229	Prismyst	45
229	philandr	45
229	LexMakesHistory	45
229	Shogunite	45
229	Factoroni	45
229	_TCARREIRA_	45
235	M_Patata	44
235	MasterNueve	44
237	TheThomas69	43
237	silverpopcorn	43
237	Sheldor097	43
240	Ssor69	42
240	andy_rex	42
240	BumbleBeever	42
240	Jij0	42
244	PazinGaming	41
244	Druid95	41
246	Inchef	40
247	soundad	39
247	ScootOfBoot	39
247	Lutres_	39
250	LordSpeed37	37
250	Dreamdbr14	37
252	DAD_1996	36
252	NoChumpChange	36
254	bigstankyy	35
254	Masssonnn	35
254	prizm_	35
254	Rebytre	35
254	HolyVenom	35
254	parodypatient	35
254	Karbl	35
