rank	username	minecraft:used/minecraft:acacia_pressure_plate
1	xXTheWolfmanXx	32
2	kekhon	21
3	2Stout	15
4	KarlKaek	13
4	Meatlaugh	13
6	thgrocks	10
7	TheSeismicDuck	9
8	set67	8
8	Smoke____	8
10	500am	7
10	loveseeker	7
12	chipklip	6
12	tartanboy	6
14	eitanzaki	4
14	Jiminie	4
14	HellsSponge	4
14	Freak_Genius	4
14	Toriankel	4
19	Snowflowe	3
19	xX_Stalin69_Xx	3
19	Lowjinx	3
19	Powowowow	3
23	TheSecondLord	2
23	Jackattack53	2
23	Chuvacevedo	2
23	Spacewardharpy7	2
23	oxfordschool	2
23	Legendosh	2
29	Mahoose	1
29	noam464	1
29	mariominejedi	1
29	Doom_melon	1
29	RobotMinion101	1
29	_Bguette_	1
29	RedcatVII	1
29	SvenskaHugo	1
29	sebastiensaborio	1
29	PlasticOtari	1
