rank	username	minecraft:used/minecraft:wet_sponge
1	Ezekson	14042
2	joethahobo	8647
3	non089	2944
4	EcksD	2874
5	thewindmillman	2797
6	MilleGrug	2517
7	AstreaTSS	2114
8	EngagedGrub41	2029
9	NomadicRobin_	2008
10	YungMaki	1647
11	PigDab	1638
12	noam464	1349
13	Segotep999	1336
14	Spacewardharpy7	1313
15	Lord_Jord	1280
16	beeperbeeper5	1218
17	Di_infiri	1202
18	Blu3beast	1168
19	pintsizedrogue	1156
20	AdmiralSmoke	1141
21	Jackattack53	1046
22	SpacesickPrism	1002
23	H0UNDFRMH3LL	956
24	diamondgolem35	837
25	lordpipe	834
26	Fuad_R	801
27	SuperPooch06	752
28	Awyrlas	529
29	FishisTTV	514
30	EMC_	487
31	Dogcorn69420	419
32	Manaateee	327
33	k_ce	319
33	eitanzaki	319
35	M_Patata	312
35	MasterNueve	312
37	Enderxz3	310
38	Frozil20	273
39	Zoeyfortnite	266
40	Arceus1975	240
41	Alexanderjac	238
42	calamariclam_I	234
43	ImpavidArcher	225
44	12Magner05	221
45	luseis	194
46	catandmoose	186
47	LeonelSalamanca	165
48	Snowflowe	164
49	Mahoose	155
50	Apollo_993	146
51	ApophisNova	131
51	MyNamaSheff	131
53	fffMike	128
54	Da_Boss_Rani	122
55	FreakGenius	117
56	Alteriity	115
57	Hyp3rion_	108
58	Jimb0nat0r	96
59	Spenduh	94
60	TheDankPlatypus	90
60	oscminus	90
60	obzii	90
63	BumbleBeever	83
64	Werbe	80
65	tsitrawhy	78
66	paranoid_plant	65
67	Creativebuilder2	64
68	500am	63
68	excelsionprime	63
70	iSammael	58
71	Iamthejo	55
72	Chromary	44
73	stavgod	41
74	Maenara	40
75	Sral7	39
76	ConnorDanky_	38
77	gcaisawesome	37
78	MattieHD	36
78	Touched_Bread	36
80	ECstardust	34
80	Paintz	34
82	xxPipperDipperxx	33
83	jcool7	32
84	Groovy_MoonBird	31
84	vandmanden	31
86	Bumpy419	30
86	Hermanni__	30
86	FelixPSY375	30
89	SvenskaHugo	29
90	Bandito_Roamer	28
91	QueenShuvi	26
92	PhantomsGhost_	23
93	T045RTY	19
94	eviltunix	17
95	Fullut	15
96	Blaiku	14
97	TheShyPig	13
97	PortlyPete69	13
99	_Boipl_	12
100	EveryonesUncle	11
100	claivin	11
102	mwrty	10
102	Zaridey	10
102	__tomato	10
105	lizardfightclub	9
106	Merv__	8
106	Inbefour	8
106	1442	8
106	Groundler	8
110	himak1	7
110	IamCL4SSY	7
112	Lez_	5
112	Kakolbus	5
112	xDraggin	5
112	MightyWertu	5
112	pixelviolin	5
112	Legendosh	5
118	Winklepicker279	4
118	HellsSponge	4
118	lcvezra	4
118	TechnoNinja64	4
122	bigstankyy	3
122	DarkDescent2392	3
122	Inchef	3
122	Rumpletaezer	3
122	The11thDoctor	3
122	DarlaMeow	3
122	NameGenerat0r	3
122	Kyrum2169	3
122	SammiWolfGirl	3
131	_Virify_	2
131	ssleepless	2
131	SaucyDark	2
131	Huwulling	2
131	TheSecondLord	2
131	Guillemet	2
131	Smashic	2
131	Flapjacker687	2
131	Hiryu27	2
131	Onennon	2
131	fkGrim	2
131	Racengan	2
131	mihimihimihi	2
131	voiding_	2
131	Skippeh	2
131	JayToe	2
147	Jovaphobic	1
147	SmashingPump	1
147	Iagoku	1
147	Paradoxion	1
147	rarrq	1
147	Blackberry1310	1
147	Comma__	1
147	redikul	1
147	sandmire	1
147	thescout7	1
147	lorpus	1
147	ARandomHedge	1
147	Zythose	1
147	Skylord_Luke	1
147	ClemenPine	1
147	Nicky19	1
147	Tyrannosplart	1
147	Soap_Bender	1
147	The_slideV3	1
147	_Karmaa	1
147	MAns_44	1
147	ReflexCode	1
147	Barlycorn	1
147	yatsuta	1
147	Drawgirl	1
147	Steelynan	1
