rank	username	minecraft:used/minecraft:azure_bluet
1	Groovy_MoonBird	288
2	Mahoose	272
3	lordpipe	214
4	EveryonesUncle	155
5	El_Jalapeno	112
6	LordSpeed37	110
7	Blackberry1310	88
8	500am	84
9	Fullut	81
10	orxngejuice	80
11	TheShyPig	77
12	Jiminie	73
13	Lord_Jord	60
14	beeperbeeper5	59
15	Lutres_Torane	58
16	jnp_gaming	51
17	AnnieBathory	50
18	kekhon	47
19	MyNameIsDakar	44
20	Freak_Genius	40
20	Legendosh	40
22	00000000-0000-0000-0009-01ff0c3e5e4f	39
23	MangoTheFish	37
23	Eczbek	37
23	Smoke____	37
26	pintsizedrogue	34
27	diggydog67	31
28	lcvezra	27
29	Chromary	25
30	ImpavidArcher	23
30	Akoot_	23
32	TheSecondLord	22
32	Rumpletaezer	22
32	Racengan	22
35	breadbowlgamer	21
36	teslawolf38	20
36	xxPipperDipperxx	20
36	Hyp3rion_	20
39	CalebDHawk	19
40	0nly_sn1per	18
40	burbankbuilder28	18
40	Onennon	18
40	FishyBoy3811	18
44	CoffeeNoir	16
44	sufjanlover	16
44	djancak	16
47	titanlax	15
47	smogfrog	15
49	6king6colt6	14
49	Lirael42	14
49	PlasticOtari	14
52	12Magner05	13
52	Di_infiri	13
52	Blaiku	13
52	Kowcio_	13
52	TechnoNinja64	13
57	LavenderBi1ch	12
57	wezzzi	12
57	Fuhrer_Teemo	12
57	RedcatVII	12
57	Hermanni__	12
62	jspwn	11
62	SaucyDark	11
62	MattieHD	11
62	MousePlays	11
62	YungMaki	11
62	SammiWolfGirl	11
62	obtusely	11
69	BlancoFlaco	10
69	slkiey	10
69	Enderslayerxz3	10
69	00000000-0000-0000-0009-01f7965f8059	10
73	jacxhadow	9
73	Hiryu27	9
73	KnightmareD	9
73	HellsSponge	9
73	DanTheBuilderino	9
73	Eraxa	9
79	Stiar	8
79	Ecplosive	8
79	Fast_Turtle	8
79	cedric72	8
79	claivin	8
79	__tomato	8
85	KarlKaek	7
85	picardred	7
85	Malorn_Aetherius	7
85	Notta	7
85	Cryptacity	7
85	Cortexia	7
85	paranoid_plant	7
85	Awyrlas	7
85	M_Patata	7
85	phomic	7
85	__Fanda__	7
85	vampgey	7
85	Arceus1975	7
85	Rebytre	7
85	NomadicRobin_	7
85	fkGrim	7
85	master9067	7
85	privatemeekly	7
85	MasterNueve	7
85	IdeallyGrey	7
85	UCP_TheKingK	7
85	Luigipunch989	7
85	Steelynan	7
85	BreadBacon	7
109	SaltineDream	6
109	Bandito_Roamer	6
109	T045RTY	6
109	ShedJr_	6
109	chipklip	6
109	_Karmaa	6
109	Blu3beast	6
109	Dusk_95	6
109	robotemo	6
109	2blox	6
119	AuroraValkyrie	5
119	Dedalus36	5
119	Ssor69	5
119	SDMNAEK	5
119	eiC_	5
119	Kubelz	5
119	sitrollover	5
119	KeruNatsema	5
119	cringenaynaybaby	5
119	_Tilariel_	5
119	Kyrum2169	5
119	_TCARREIRA_	5
119	obzii	5
119	LeeMcGee30	5
119	kinas45y5	5
134	_NieToksikpl_	4
134	Cowison	4
134	Sleek_Storm_721	4
134	bigstankyy	4
134	EkkoTraveler	4
134	eitanzaki	4
134	rarrq	4
134	heckface	4
134	cowgirlkasia	4
134	bloodbiter	4
134	Karetoko	4
134	Marbz_	4
134	SuperPooch06	4
134	Kouridragon	4
134	Jimi7hits	4
134	AuroraSkies	4
134	Inbefour	4
134	DarlaMeow	4
134	Frozil12	4
134	MakeHistory157	4
134	07shiny	4
134	Soplight	4
134	MilleGrug	4
134	KingMatthew506	4
134	Haadrada	4
134	cichy096	4
134	RadarHz	4
161	Lepthymo	3
161	PhantomsGhost_	3
161	_stets	3
161	UltimuShadow	3
161	hm947	3
161	Scathra	3
161	emrekn	3
161	Gamergirl420628	3
161	Snowflowe	3
161	l3x07	3
161	pappaberg	3
161	epiksk8erduck	3
161	LilLizardWizard	3
161	Leyna3	3
161	Sky_light_KING	3
161	audiocracked	3
161	madderfall	3
161	PortlyPete69	3
161	GlitchyPlate810	3
161	xorompole	3
161	Powowowow	3
161	EcksDofficial	3
183	Merv__	2
183	Azorathum	2
183	Incinere	2
183	SillyMelon	2
183	Huwulling	2
183	Reamdin	2
183	Myszoaz	2
183	ccormacs	2
183	ProfessorBee	2
183	Dali1465	2
183	2Stout	2
183	gcaisawesome	2
183	noam464	2
183	toj__	2
183	Windo_licker	2
183	Donutt	2
183	Mpkkiller	2
183	Skylord_Luke	2
183	Werbe	2
183	thgrocks	2
183	XxCookiequeenxX	2
183	lillips	2
183	DarkS0L	2
183	GoofyBread	2
183	NameGenerat0r	2
183	ATurtle4936	2
183	fluddd	2
183	Groundler	2
183	Fildyr	2
183	Toriankel	2
183	monky_irl	2
183	LetsDoItLive	2
183	sp00ky_ghost977	2
183	MineMaster0012	2
183	stahouo	2
183	Poppy235	2
183	Vellu21	2
183	Skippeh	2
183	Ezekson	2
183	Lord_Lollo	2
183	Nicserso	2
183	WYFYoyo	2
225	Louiis123	1
225	Jovaphobic	1
225	seanitoo	1
225	Mr_Byzantine	1
225	dabloons	1
225	Vaarde	1
225	chielui	1
225	neurotic_a	1
225	JapansDragon	1
225	Bad_At_Names_Guy	1
225	Paleshield	1
225	Wooptey	1
225	Batman922	1
225	Natty	1
225	Dipjol	1
225	Big_Bad_Will	1
225	PawPatrol_SVU	1
225	MOSS000	1
225	joethahobo	1
225	nocturne78	1
225	Stynxy	1
225	Ozixar	1
225	Misato_0	1
225	roxycherry	1
225	ChosenBruh	1
225	cadethesloth	1
225	Nicky_H225	1
225	cwin95	1
225	pr33tu	1
225	SoftSix	1
225	_Dean_123	1
225	CarbonatedCola	1
225	G1ldor	1
225	Scattman_	1
225	set67	1
225	mrnosetackle	1
225	thescout7	1
225	himak1	1
225	Irko	1
225	Inchef	1
225	Mewar	1
225	Xalithia	1
225	SUSUGAM	1
225	ROY4LE	1
225	lia1337owo	1
225	XboxPanda	1
225	Kakolbus	1
225	swag_bro2004	1
225	TakeThis2UrGrave	1
225	loveseeker	1
225	PointlessPoteyto	1
225	toetagnyc	1
225	Armattillo	1
225	Aerqophs	1
225	ApophisNova	1
225	RobotMinion101	1
225	ooga47	1
225	Truckoss	1
225	BRRRN179	1
225	PigDab	1
225	wordboy107	1
225	lizardfightclub	1
225	Blackerstons	1
225	groofles	1
225	RodSerlingCringe	1
225	OLookItsAnxiety	1
225	natajimi	1
225	M1sterManGuy	1
225	Gryglu583	1
225	Russiancat1	1
225	Holden_17	1
225	the_russell1611	1
225	Karbl	1
225	Soap_Bender	1
225	alddd	1
225	Xclax101	1
