rank	username	minecraft:used/minecraft:brain_coral
1	Di_infiri	62
2	Hyp3rion_	32
3	12Magner05	23
4	Fullut	20
5	beeperbeeper5	18
6	_Dean_123	17
7	Huwulling	16
8	pintsizedrogue	15
8	lordpipe	15
10	Merv__	14
11	Xalithia	12
11	TheShyPig	12
13	500am	11
14	Blackberry1310	10
14	luseis	10
16	kekhon	9
17	AuroraValkyrie	8
17	SaucyDark	8
19	ImpavidArcher	7
19	Lez_	7
19	Ssor69	7
19	TheSecondLord	7
19	Bumpy419	7
19	__tomato	7
25	AspenLightVT	6
26	Bandito_Roamer	5
26	Archsam	5
26	ApophisNova	5
26	Quaintster	5
26	Kowcio_	5
26	SpacesickPrism	5
26	MyNamaSheff	5
33	skroobiez	4
33	MattieHD	4
33	Marbz_	4
33	TheWickedBird	4
37	balin55	3
37	mihimihimihi	3
37	SammiWolfGirl	3
37	Steelynan	3
37	ConnorDanky_	3
37	Quotary	3
37	Legendosh	3
44	Mahoose	2
44	excelsionprime	2
44	noam464	2
44	TheDankPlatypus	2
44	Rumpletaezer	2
44	hanaryheatwave	2
44	Arceus1975	2
44	Werbe	2
44	RobotMinion101	2
44	Onennon	2
44	aec9	2
44	KeruNatsema	2
44	GooseWithin	2
44	Manaateee	2
44	Factoroni	2
44	Druid95	2
44	pixelviolin	2
44	Soplight	2
44	EcksD	2
44	Jimb0nat0r	2
44	diggydog67	2
65	abramgray	1
65	KarlKaek	1
65	bigstankyy	1
65	Prismyst	1
65	Gregward_Smith	1
65	titanlax	1
65	Covalents	1
65	Kakolbus	1
65	crashomon	1
65	Winklepicker279	1
65	Jackattack53	1
65	thewindmillman	1
65	burbankbuilder28	1
65	Krowuss	1
65	Donutt	1
65	Akoot_	1
65	HellsSponge	1
65	NameGenerat0r	1
65	StinkyDiplomat	1
65	El_Jalapeno	1
65	Blaiku	1
65	Typadopoulos	1
65	iSammael	1
65	SexcMf	1
65	YungMaki	1
65	miramyu	1
65	HesDemonPants	1
65	Powowowow	1
65	PlasticOtari	1
65	Yamdalorian	1
