rank	username	minecraft:used/minecraft:light_blue_terracotta
1	YungMaki	9899
2	joethahobo	9232
3	Rumpletaezer	4792
4	Hyp3rion_	3259
5	kekhon	2591
6	Lord_Jord	2270
7	thewindmillman	1944
8	AlexxO_o	1559
9	Sral7	1462
10	rarrq	1328
11	lordpipe	1220
12	DarlaMeow	1131
13	Merv__	962
14	XxCookiequeenxX	941
15	EMC_	936
16	xxPipperDipperxx	909
17	Steelynan	907
18	Alteriity	835
19	ooga47	722
20	noam464	718
21	PlasticOtari	714
22	Di_infiri	650
23	EveryonesUncle	624
24	TheShyPig	601
25	__Auspicious	587
26	Skippeh	586
27	NameGenerat0r	566
28	Werbe	544
29	Natty	502
30	EcksDofficial	478
31	Frozil12	435
32	Snowflowe	406
33	MakeHistory157	348
34	Blamphe	329
35	ProbablyNick	325
36	Legendosh	306
37	500am	298
38	LexMakesHistory	251
39	Bandito_Roamer	222
40	Mahoose	220
41	RadarHz	194
42	Fullut	193
43	m_be9	122
44	theonlymagikarp	102
45	pintsizedrogue	78
46	oxfordschool	76
47	beeperbeeper5	71
48	Smoke____	68
49	2Stout	58
50	Kouridragon	56
51	Groovy_MoonBird	54
52	mobunni	53
53	Paint	50
54	John6970	48
55	The_SlideV5	46
56	Jiminbub	42
57	ColeSnyder	41
57	claivin	41
59	TheEnderman548	37
60	KarlKaek	33
61	Inbefour	28
62	mwrty	25
62	SellyZ	25
64	Hpdinosaur	19
65	Huwulling	16
66	ImpavidArcher	14
67	TheSecondLord	13
68	FelixPSY375	12
69	Blu3beast	10
70	Wooptey	8
71	Soplight	7
72	eitanzaki	6
73	SuperPooch06	5
73	Akoot_	5
75	Jackattack53	4
75	pixelviolin	4
77	dabloons	2
77	AuroraValkyrie	2
77	Myszoaz	2
77	Spacewardharpy7	2
77	TechnoNinja64	2
82	gcaisawesome	1
82	loveseeker	1
82	groofles	1
82	Deathkob	1
82	MightyWertu	1
82	ItsDeltaMC	1
82	starbits140	1
82	fffMike	1
82	Dreamdbr14	1
82	kinas45y5	1
