rank	username	minecraft:used/minecraft:cyan_stained_glass_pane
1	joethahobo	30535
2	Awyrlas	5596
3	Yamdalorian	2900
4	beeperbeeper5	2183
5	Ezekson	1528
6	NameGenerat0r	989
7	ImpavidArcher	758
8	Blackberry1310	582
9	Fullut	551
10	TheShyPig	454
11	crashomon	346
12	Lez_	293
13	Frozil20	272
14	El_Jalapeno	234
15	Shogunite	180
16	abramgray	162
17	pintsizedrogue	142
18	r123moore	131
19	Jackattack53	126
20	500am	120
21	YungMaki	113
22	mihimihimihi	112
23	Chrisdeadeye	89
24	Legendosh	80
25	heckface	70
26	Steelynan	61
27	teslawolf38	55
28	Jonafrog99	45
28	The_slideV3	45
30	Marbz_	31
31	Mahoose	30
32	TheSecondLord	29
32	Zythose	29
34	RobotMinion101	27
35	Druid95	25
36	Mattesco	23
37	Diavri	22
38	luseis	20
39	lunkuku	17
40	hanaryheatwave	15
41	noam464	14
42	ApophisNova	13
42	MyNamaSheff	13
44	TheWickedBird	12
45	Blaiku	11
46	Huwulling	10
46	SvenskaHugo	10
48	Rumpletaezer	9
48	IamCL4SSY	9
50	Jimb0nat0r	8
50	PlasticOtari	8
52	Mr_Byzantine	6
52	jnp_gaming	6
54	Spacewardharpy7	4
55	k_ce	3
56	Merv__	2
56	myaccountwasgone	2
56	2Stout	2
56	SlayerCrypto	2
56	Jjackoe	2
56	Eraxa	2
62	ShedJr_	1
62	Di_infiri	1
62	Akoot_	1
62	lordpipe	1
62	BeardBois	1
62	CalebDHawk	1
