rank	username	minecraft:used/minecraft:moss_block
1	noam464	8695
2	EcksD	7971
3	pintsizedrogue	7750
4	Marbz_	5753
5	Jiminie	5207
6	EMC_	3887
7	thewindmillman	3857
8	Smoke____	3353
9	12Magner05	1987
10	beeperbeeper5	1781
11	PlasticOtari	1740
12	Merv__	1173
13	Steelynan	1154
14	TheSecondLord	1137
15	Lez_	796
16	Inchef	690
17	Mahoose	620
18	500am	572
19	Hyp3rion_	561
20	Alteriity	538
21	NomadicRobin_	532
22	Legendosh	427
23	Sleepy_Time_	425
24	SpacesickPrism	384
25	cwartzo	319
26	ImpavidArcher	318
27	WYFYoyo	297
28	SuperPooch06	296
29	fluddd	275
30	fade_emerge78823	255
31	wwwwinnebagoooo	251
31	lordpipe	251
33	Enderslayerxz3	235
34	EtherealEspresso	218
35	Kekoo	212
36	Ryker	205
37	xxPipperDipperxx	193
38	SvenskaHugo	188
39	AlexxO_o	174
40	MineMaster0012	160
41	Rebytre	158
42	orxngejuice	152
43	Kowcio_	143
44	_stets	142
45	Kakolbus	140
46	rachcl	128
47	TJawesome09	126
48	Jimi7hits	122
49	SyntheticSurgeon	115
50	Skylord_Luke	114
51	RebelAndroid	105
51	SteveCraftBlocks	105
53	ApophisNova	104
53	MyNamaSheff	104
55	Miko_Fullbuster	99
56	Flores991	97
57	joethahobo	96
58	Gamergirl420628	92
58	Jackattack53	92
60	groofles	85
61	00000000-0000-0000-0009-01ff0c3e5e4f	83
62	non089	81
63	SlayerCrypto	80
64	eitanzaki	73
65	2blox	70
66	ItsDeltaMC	69
67	Blackberry1310	68
68	JingleLizi	66
68	Segotep999	66
70	LeGold	62
71	diamondgolem35	61
72	PigDab	59
73	CheifJumbo	58
74	CoffeeNoir	57
75	Soplight	56
76	_HoneySlime_	53
77	TheDankPlatypus	49
78	mihimihimihi	48
79	Auseawesome	46
80	gcaisawesome	42
80	_Boipl_	42
82	sammidk	41
83	Drlzyy	36
84	Lutres_Torane	35
84	kyouma777	35
86	Tommhh	32
86	Kkanot	32
88	Fuad_R	30
89	AuroraSkies	29
89	TheEnderman548	29
91	athereall	28
92	SquadMonster	27
93	MSK__	24
93	Jeteight	24
93	YungMaki	24
96	Deathkob	21
97	regulator75	19
98	StinkyDiplomat	18
98	im_very_saad	18
100	ShedJr_	17
101	neurotic_a	16
102	_Huge_Male_	15
102	EveryonesUncle	15
104	RoskobiOne	14
104	DinoDoctor_	14
104	prizm_	14
104	iHuntWeeaboos	14
108	RatatJuice	12
109	PazinGaming	11
109	ToastedGamingYT	11
109	Jimb0nat0r	11
112	Nycteus_	10
112	Quotary	10
114	SammiWolfGirl	9
114	TheALV	9
116	Huwulling	8
116	Tsuki95	8
116	microcrisp	8
119	soundad	7
119	hm947	7
119	The_Fulgurator	7
119	Ezekson	7
123	himak1	6
123	lizardfightclub	6
123	binman420	6
123	XxCookiequeenxX	6
127	Smashic	5
127	eli_tschki	5
127	Jonafrog99	5
130	itburb	4
130	tuckerdoodle	4
130	benediktine1	4
130	HoltGrim	4
130	dartwaffle	4
130	MyNameIsDakar	4
130	Human_Resource	4
130	coobert42	4
138	Prismyst	3
138	BusinesManFrecks	3
138	MAns_44	3
138	Spenduh	3
138	Hermanni__	3
138	_Dri_	3
138	00000000-0000-0000-0009-01f73aa9620f	3
145	2Stout	2
145	Winklepicker279	2
145	TheWildMateo	2
145	CruncyIsTaken	2
145	floodjon	2
145	Ghemmah	2
145	Luminad3	2
145	NameGenerat0r	2
145	Freak_Genius	2
145	Blu3beast	2
145	Spacewardharpy7	2
145	Vicemaniac	2
145	iSammael	2
145	tsitrawhy	2
145	Sheldor097	2
145	CattSoup	2
161	AgressiveEggdog	1
161	Frozil20	1
161	Killercatty78	1
161	jessewegottacook	1
161	MrKrabOnCoke	1
161	rarrq	1
161	Koffeeinz	1
161	PaigeDown	1
161	I_Moose	1
161	The_lost_his_tea	1
161	Arceus1975	1
161	Rocco_Lane	1
161	Akoot_	1
161	fw3xywashere	1
161	Quaintster	1
161	LazySupport00	1
161	Yahir091	1
161	Lord_Doob	1
161	Meeerkat	1
161	UCP_TheKingK	1
161	brofrickcheaters	1
161	GlitchyPlate810	1
161	jcool7	1
161	Eczbek	1
161	Fire_beast	1
161	00000000-0000-0000-0009-01fa3caf2694	1
161	00000000-0000-0000-0009-01f898304150	1
