rank	username	minecraft:used/minecraft:lantern
1	beeperbeeper5	17874
2	EveryonesUncle	3668
3	500am	2971
4	Freak_Genius	2753
5	Merv__	2464
6	Mahoose	2436
7	HellsSponge	2011
8	Shogunite	1997
9	Smoke____	1973
10	m_be9	1791
11	pintsizedrogue	1642
12	sebastiensaborio	1606
13	KingMatthew506	1530
14	EcksD	1495
15	r123moore	1492
16	TheShyPig	1410
17	kekhon	1374
18	_Dean_123	1342
19	TheSecondLord	1294
20	Eraxa	1245
21	Skylord_Luke	1130
22	diamondgolem35	1032
23	EcksDofficial	977
24	Ezekson	945
25	PlasticOtari	928
26	Legendosh	862
27	Onennon	839
28	Inchef	802
29	Enderslayerxz3	768
30	xxPipperDipperxx	701
31	thewindmillman	690
32	jacxhadow	685
33	rarrq	684
34	Fullut	638
35	Akoot_	636
36	PigDab	593
37	SaucyDark	585
38	CoffeeNoir	556
39	joethahobo	545
40	Soplight	522
41	Dusk_95	514
42	Dedalus36	497
43	burbankbuilder28	467
44	ImpavidArcher	466
45	Blackberry1310	461
46	YungMaki	460
47	KarlKaek	451
48	SkateboardR6	449
49	Prodiginus	447
50	_stets	443
51	Skippeh	438
52	Airem_Core	427
53	Nicserso	425
54	Kakolbus	418
55	ROY4LE	408
56	Lord_Jord	399
57	Hiryu27	392
58	2Stout	389
59	Kubelz	388
60	EMC_	386
61	Historical_Sand	380
62	titanlax	367
63	pixelviolin	360
64	oxfordschool	359
65	jnp_gaming	345
66	RatatJuice	337
67	Stiar	316
68	thescout7	315
69	SvenskaHugo	314
70	lordpipe	307
71	ApophisNova	304
71	WyngGoy	304
71	MyNamaSheff	304
74	Werbe	298
75	Rumpletaezer	297
75	Xclax101	297
77	Bumpy419	290
78	yulgur1	285
79	AlphaWolfPlaysMC	278
80	Di_infiri	272
81	eitanzaki	266
82	Racengan	261
83	Fildyr	251
84	Drlzyy	244
85	Maenara	234
86	lcvezra	230
87	Jiminie	223
88	Sky_light_KING	219
89	Ssor69	212
90	wezzzi	211
91	noam464	209
92	The_Quack_Dealer	203
93	KeruNatsema	202
93	fkGrim	202
93	DanTheBuilderino	202
96	RebelAndroid	200
97	MyNameIsJobo	199
98	Malorn_Aetherius	194
99	Frozil12	193
100	MyNameIsDakar	191
101	SammiWolfGirl	188
102	XxCookiequeenxX	187
103	Rebytre	185
104	Meatlaugh	184
105	_Bguette_	180
105	SingedBread	180
107	TechnoNinja64	174
108	Bandito_Roamer	169
109	CharlieButt	165
109	Kowcio_	165
111	djancak	162
112	Inbefour	159
113	Hermanni__	158
114	killmeiamtraitor	155
115	Chromary	152
115	RedcatVII	152
117	6king6colt6	148
118	M_Patata	147
118	MasterNueve	147
118	PortlyPete69	147
121	RodSerlingCringe	145
122	PhantomsGhost_	143
123	Mr_Byzantine	140
123	Arceus1975	140
123	YoshikageBites	140
126	selectrix	139
126	stellarjay	139
128	BlueZabu	136
129	jcool7	135
130	Ecplosive	134
131	Groovy_MoonBird	133
132	BlankityMcBlank	131
133	Tommhh	128
134	MinttyFressh	127
135	Hyp3rion_	126
136	_Razar	125
136	Ardennes	125
138	BlancoFlaco	123
139	Hoid_the_Roamer	121
139	__tomato	121
141	Voxin2K	119
142	Kkanot	115
143	teslawolf38	113
144	MAns_44	111
145	NomadicRobin_	110
146	toj__	107
147	dudcreeper	104
147	anbbang	104
149	Jackster03	103
149	UrbanPlanner1978	103
151	Notta	102
151	chipklip	102
151	Factoroni	102
151	_TCARREIRA_	102
155	gcaisawesome	100
156	UncreativeArtist	99
157	Zythose	97
158	pappaberg	96
159	Cryptacity	95
160	cedric72	93
161	VentiHilton	92
162	ewpunk	89
163	Dogcorn69420	88
164	T045RTY	87
164	Shiirazuku	87
166	NoChumpChange	86
167	Kubeusz2010	85
167	2blox	85
169	Tobinator_007	84
169	bloodbiter	84
171	awesomeoneme	83
171	John6970	83
171	Karetoko	83
171	Snowflowe	83
171	cichy096	83
176	Fuhrer_Teemo	82
176	_Karmaa	82
178	MovingFish7	80
178	Optiprimus	80
180	AlazelTheReal	77
181	fred870d	76
182	Quotary	75
183	ratglock	74
183	RefluxRatio	74
185	diggydog67	72
186	JESS_THE_RERE	71
187	avalan64	69
187	Western_1	69
189	eviltunix	68
189	DC_XII	68
191	CSG_Haru	67
192	stahouo	66
193	CalebDHawk	65
194	Hpdinosaur	64
194	H72l9w	64
194	SteveCraftBlocks	64
194	IdeallyGrey	64
198	Sleek_Storm_721	63
199	Cowison	62
200	PegLegPete93	60
200	SuperPooch06	60
200	Lowjinx	60
203	Doom_melon	59
203	lillips	59
203	the__Reaper4999	59
203	Spacewardharpy7	59
207	slkiey	57
207	Windo_licker	57
207	Typadopoulos	57
210	IWorkAtIkea	56
210	YungJakobo	56
212	Awyrlas	55
213	Alphanzt99	54
213	_3Stump_	54
215	Guillemet	53
215	Matek_	53
215	MightyWertu	53
218	Lutres_Torane	50
219	SlayerCrypto	49
219	Syropatathe	49
219	KlausVonStiglitz	49
222	Iagoku	48
222	Tolhart	48
222	Cortexia	48
222	Deathkob	48
226	purpolepickle	47
226	Deerfoot	47
228	Zlatovlas	46
228	Toriankel	46
228	JohnPrice	46
231	fluddd	44
232	orxngejuice	43
233	Ozixar	42
233	set67	42
233	ItsDeltaMC	42
236	AuroraValkyrie	41
236	redikul	41
236	DermeinUser	41
236	smogfrog	41
236	Powowowow	41
241	heysushii	40
241	Sparky_KT	40
241	SDMNAEK	40
241	Wowful	40
241	The_slideV3	40
241	sp00ky_ghost977	40
247	WYFYoyo	39
248	Paleshield	38
248	zorin123	38
248	Vorlice	38
251	rachcl	37
251	ShedJr_	37
251	egglapras	37
251	Sral7	37
255	KingFaenor	36
255	Blu3beast	36
255	Razzgriz	36
258	I_Am_Mushkin	35
258	Zedducius	35
258	RobotMinion101	35
258	CarryLine	35
258	Groundler	35
263	ChampPog_	34
263	LotusProject	34
263	TableTim	34
263	ADEXTV	34
263	Pootis11	34
263	claivin	34
269	_NieToksikpl_	33
269	Myszoaz	33
269	G1ldor	33
269	NameGenerat0r	33
269	_Tilariel_	33
269	HesDemonPants	33
275	Matemaks2137	32
275	bigstankyy	32
275	ATrojansLegend	32
275	BilboBaggins23	32
275	TheDankPlatypus	32
275	ChillenChiggen	32
275	ooga47	32
275	DarkS0L	32
283	dopplexd	31
283	AltnumberF4	31
285	fr0stss	30
285	Motsaro	30
285	SellyZ	30
285	seramalen	30
285	Jiminbub	30
285	Blaiku	30
291	ColeSnyder	29
291	Natty	29
291	Swexti	29
291	_Boipl_	29
291	brycepants	29
291	xX_Stalin69_Xx	29
291	xorompole	29
298	Khelvoryk	28
298	FishyBoy3811	28
298	Xovalt_	28
