rank	username	minecraft:used/minecraft:dark_oak_stairs
1	rarrq	11563
2	500am	11305
3	burbankbuilder28	10029
4	TheShyPig	4683
5	MyNameIsJobo	4121
6	Skippeh	3887
7	Frozil12	3865
8	beeperbeeper5	3653
9	Shogunite	3531
10	EcksDofficial	2879
11	Ezekson	2812
12	kekhon	2776
13	Merv__	2693
14	EveryonesUncle	2455
15	m_be9	2256
16	Zythose	2245
17	El_Jalapeno	2212
18	gcaisawesome	2141
19	Dusk_95	1842
20	Winklepicker279	1839
21	NomadicRobin_	1695
22	PortlyPete69	1617
23	CalebDHawk	1611
24	Eraxa	1592
25	pintsizedrogue	1569
26	Onennon	1505
27	Legendosh	1473
28	Groovy_MoonBird	1453
29	Inchef	1368
30	Russiancat1	1333
31	CharlieButt	1329
32	lcvezra	1271
33	Stiar	1248
34	Freak_Genius	1218
35	PlasticOtari	1187
36	WYFYoyo	1168
37	AngalexikCZ	1098
38	Di_infiri	1094
39	oxfordschool	1049
40	selectrix	1014
41	Blackberry1310	994
42	Natty	935
43	TheSecondLord	918
44	Motsaro	902
45	fkGrim	871
46	diamondgolem35	865
47	CheifJumbo	851
48	pixelviolin	830
49	stahouo	822
50	Meatlaugh	811
51	_NieToksikpl_	795
52	Euclidoris	763
53	RatatJuice	707
54	Sral7	705
55	Inbefour	693
56	TheOnlyRake	691
57	KarlKaek	686
58	__tomato	676
59	dopplexd	669
60	Barlycorn	649
61	ApophisNova	648
61	MyNamaSheff	648
63	ImpavidArcher	638
64	ProfessorBee	632
65	ROY4LE	622
66	XxCookiequeenxX	605
67	KlausVonStiglitz	597
68	Jiminie	596
69	M_Patata	579
70	Bandito_Roamer	558
71	Deathkob	543
72	Deguns123	528
73	AnnieBathory	527
74	MasterNueve	526
75	Historical_Sand	524
75	SvenskaHugo	524
77	Sleek_Storm_721	522
78	SammiWolfGirl	514
79	Smiguli_	512
80	Ssor69	508
80	sp00ky_ghost977	508
82	Chromary	477
82	jnp_gaming	477
84	NoxxxxiS	475
85	Fullut	463
86	sebastiensaborio	461
87	paranoid_plant	452
88	Enderslayerxz3	448
89	Blu3beast	445
90	6king6colt6	439
91	Soplight	426
92	Sky_light_KING	423
93	Leyna3	417
94	Smoke____	416
95	Kijiki	409
96	Lord_Jord	406
97	AlphaWolfPlaysMC	394
98	seramalen	391
99	Ardennes	386
99	thgrocks	386
101	Tobinator_007	384
102	xxPipperDipperxx	379
103	lordpipe	376
104	SuperPooch06	373
105	ThePoliteG	369
106	jacxhadow	368
107	LeeMcGee30	362
108	The_Fulgurator	361
109	thescout7	360
110	emrekn	347
110	Skylord_Luke	347
112	Incinere	329
112	_Karmaa	329
114	theofiel	328
115	MakeHistory157	317
116	EcksD	311
117	eitanzaki	303
117	r123moore	303
119	claivin	301
120	Hermanni__	292
121	yulgur1	290
122	Rumpletaezer	289
123	Dedalus36	286
124	Cowison	285
124	_Dean_123	285
126	Akoot_	284
127	Alphanzt99	282
128	mimbo1211	280
129	DC_XII	277
130	dudcreeper	274
131	_Razar	257
132	Cortexia	254
133	titanlax	250
134	Karetoko	248
134	Hail_the_wombat	248
136	Kkanot	240
137	Zlatovlas	233
138	ImDisconnected_	229
139	YungJakobo	226
140	teslawolf38	225
140	lillips	225
142	DarkS0L	222
143	wezzzi	214
144	NameGenerat0r	213
145	SaucyDark	210
146	cringenaynaybaby	209
147	MattieHD	205
148	Myszoaz	202
148	RobotMinion101	202
150	fluddd	197
150	Kowcio_	197
152	SellyZ	192
153	Megarboh	187
154	eviltunix	186
155	pappaberg	183
156	Nach0Bear	182
157	dezxalo	181
158	BlankityMcBlank	179
159	anbbang	178
160	ratglock	175
161	Mahoose	173
162	TechnoNinja64	172
163	MinttyFressh	170
164	ADEXTV	169
165	EMC_	163
166	LordSpeed37	162
167	dongli	160
168	Boogaloo242	153
169	Xclax101	151
170	Bumpy419	148
171	Optiprimus	145
172	Xovalt_	144
173	Lotheburgh	142
174	livingdaydreams	140
175	CoffeeNoir	139
176	Awyrlas	138
176	orxngejuice	138
178	Nycteus_	136
179	CrateOfBoxes	135
180	Notta	134
180	Nicky_H225	134
182	elleparo	132
182	gabriels543	132
184	Jovaphobic	131
185	CrazyPotater	129
186	Gamergirl420628	128
187	Wowful	124
188	HesDemonPants	121
189	MyNameIsDakar	119
189	Nekomin0	119
191	Ze_BaronKrigler	115
