rank	username	minecraft:used/minecraft:bee_nest
1	Manaateee	139
2	Rebytre	114
3	lordpipe	72
4	hanaryheatwave	62
5	Fullut	61
6	joethahobo	57
7	Eczbox	52
7	Eczbek	52
9	00000000-0000-0000-0009-01ff0c3e5e4f	51
10	PlasticOtari	40
11	TheSecondLord	39
11	MightyWertu	39
13	PortlyPete69	38
14	FreakGenius	36
15	EMC_	35
16	masskedman	34
17	Enderxz3	33
18	noam464	28
19	Steelynan	27
20	xxPipperDipperxx	23
20	oscminus	23
20	claivin	23
20	pixelviolin	23
20	Legendosh	23
25	Pofen	22
25	excelsionprime	22
27	Kakolbus	21
28	pintsizedrogue	20
28	Mahoose	20
30	eitanzaki	19
30	Prismyst	19
30	Awyrlas	19
30	Di_infiri	19
30	diggydog67	19
35	sp00ky_ghost977	18
35	SpacesickPrism	18
37	_stets	17
37	Avocadogerms	17
37	Nicserso	17
40	AdmiralSmoke	16
41	Jimb0nat0r	15
42	M_Patata	14
42	MasterNueve	14
42	jnp_gaming	14
45	prizm_	13
46	ECstardust	12
46	thewindmillman	12
48	Apollo_993	11
48	500am	11
48	zToasty69z	11
48	YungMaki	11
52	Vizzoid	10
52	Crowman1	10
52	kekhon	10
52	Xalithia	10
52	yheece	10
57	ITDV	9
57	Jackattack53	9
57	Onennon	9
60	Sleek_Storm_721	8
60	RebelAndroid	8
60	Blackberry1310	8
60	Nicky_H225	8
64	ImpavidArcher	7
64	MAns_44	7
66	hm947	6
66	jacxhadow	6
66	LeauVox4921	6
66	Spacewardharpy7	6
66	djancak	6
66	2blox_	6
72	Jovaphobic	5
72	Mr_Byzantine	5
72	Ryker	5
72	beeperbeeper5	5
72	mwrty	5
72	burbankbuilder28	5
72	groofles	5
72	NomadicRobin_	5
72	KingMatthew506	5
72	FishisTTV	5
82	Groovy_MoonBird	4
82	RatatJuice	4
82	Hyp3rion_	4
82	ApophisNova	4
82	Kouridragon	4
82	Luminad3	4
82	wezzzi	4
82	ReSynced	4
82	ReflexCode	4
82	Eraxa	4
82	07shiny	4
82	Sheldor097	4
82	Skippeh	4
82	EcksD	4
82	MyNamaSheff	4
82	WYFYoyo	4
98	chipklip	3
98	PhantomsGhost_	3
98	T045RTY	3
98	ItsHydroMC	3
98	bloodbiter	3
98	Scathra	3
98	lorpus	3
98	ROY4LE	3
98	r123moore	3
98	Akoot_	3
98	Lord_Jord	3
98	Wowful	3
98	XxCookiequeenxX	3
98	EveryonesUncle	3
98	Nycteus_	3
98	SvenskaHugo	3
98	Kowcio_	3
98	AssFullaCum	3
98	Segotep999	3
98	HesDemonPants	3
98	Zoeyfortnite	3
98	trexgb	3
120	k_ce	2
120	teslawolf38	2
120	6king6colt6	2
120	DinoDoctor_	2
120	CoffeeNoir	2
120	12Magner05	2
120	MrExplorer	2
120	orxngejuice	2
120	Covalents	2
120	andy_rex	2
120	Skylord_Luke	2
120	Huic_ostiarius	2
120	lizardfightclub	2
120	SaintJosie	2
120	KlausVonStiglitz	2
120	Blu3beast	2
120	monky_irl	2
120	Druid95	2
120	LeEricc	2
120	Luigipunch989	2
120	Dogcorn69420	2
120	jcool7	2
120	Quotary	2
120	CattSoup	2
120	FelixPSY375	2
145	SyntheticSurgeon	1
145	Alteriity	1
145	Lez_	1
145	jessewegottacook	1
145	rarrq	1
145	set67	1
145	Eraza	1
145	shadowthemonkey	1
145	mariominejedi	1
145	Windo_licker	1
145	Werbe	1
145	AlexxO_o	1
145	ougstur	1
145	Inbefour	1
145	luseis	1
145	Deathkob	1
145	lillips	1
145	Tyrannosplart	1
145	Blaiku	1
145	Ze_BaronKrigler	1
145	MineMaster0012	1
145	_i_ERROR_i_	1
145	Kubeusz2010	1
145	ConnorDanky_	1
145	skrongus	1
145	xolstoi	1
