rank	username	minecraft:used/minecraft:tripwire_hook
1	HellsSponge	240
2	noam464	225
3	m_be9	162
4	Jackattack53	158
5	thescout7	101
6	eitanzaki	66
7	500am	61
8	Frozil20	57
9	luseis	51
10	rarrq	47
11	Groundler	45
12	DanTheBuilderino	44
13	TheThomas69	42
13	benediktine1	42
15	Incinere	40
15	Soplight	40
17	Inchef	36
17	EveryonesUncle	36
19	_Dean_123	35
19	RoofTyler	35
21	Smoke____	30
22	pintsizedrogue	29
23	Merv__	28
24	MattieHD	26
25	beeperbeeper5	23
25	titanlax	23
27	Mr_Byzantine	21
27	xxPipperDipperxx	21
29	Lord_Jord	20
30	T045RTY	19
31	KarlKaek	18
31	kekhon	18
31	Mythic1130	18
34	Blackberry1310	17
34	TheSecondLord	17
34	MinttyFressh	17
37	LeauVox4921	16
37	thewindmillman	16
37	_Karmaa	16
40	DinoDoctor_	15
41	SuperPooch06	14
41	El_Jalapeno	14
43	Rich_Kat	13
43	sp00ky_ghost977	13
45	Mahoose	12
45	Fullut	12
47	Onennon	11
47	TheShyPig	11
49	RobotMinion101	10
49	Maenara	10
49	Optiprimus	10
52	DepressedCubic	9
52	jacxhadow	9
52	Eraxa	9
52	ConnorDanky_	9
56	teslawolf38	8
56	joethahobo	8
56	Cryptacity	8
56	MyNameIsJobo	8
56	Rumpletaezer	8
56	Arceus1975	8
56	MangoTheFish	8
56	PigDab	8
56	Akoot_	8
56	Soul_Atreus	8
56	Eczbek	8
67	EMC_	7
67	Lez_	7
67	audiocracked	7
67	laron58	7
67	Legendosh	7
72	dopplexd	6
72	PegLegPete93	6
72	Donutt	6
72	ese_wn_po	6
72	Deathkob	6
72	diggydog67	6
78	FazeObama69	5
78	SaintJosie	5
78	Meatlaugh	5
78	YungMaki	5
78	Powowowow	5
78	PlasticOtari	5
84	Prismyst	4
84	NanoShot	4
84	QuiCreans	4
84	ProfessorBee	4
84	Smashic	4
84	MindyDooWho	4
84	mwrty	4
84	gabriels543	4
84	domagawha	4
84	Fuhrer_Teemo	4
84	claivin	4
84	censorsheep	4
84	LordSpeed37	4
84	UCP_TheKingK	4
84	lcvezra	4
84	TechnoNinja64	4
100	jessewegottacook	3
100	slkiey	3
100	M_Patata	3
100	moist_jellyfish	3
100	fallingemma	3
100	Winklepicker279	3
100	Btabtab	3
100	Leyna3	3
100	_Bguette_	3
100	Spacewardharpy7	3
100	Dusk_95	3
100	MasterNueve	3
100	Luigipunch989	3
113	weezygator	2
113	_Huge_Male_	2
113	KingFaenor	2
113	Esme_1	2
113	Myszoaz	2
113	Ssor69	2
113	Scathra	2
113	prizm_	2
113	Marbz_	2
113	Di_infiri	2
113	_Boipl_	2
113	Rebytre	2
113	fxiryglitch	2
113	StinkyDiplomat	2
113	MustaLoordi	2
113	Blaiku	2
113	MovingFish7	2
113	bndo	2
113	djancak	2
113	_TCARREIRA_	2
113	obzii	2
113	CalebDHawk	2
113	Jimb0nat0r	2
136	Sleek_Storm_721	1
136	EkkoTraveler	1
136	ImpavidArcher	1
136	Wooptey	1
136	RebelAndroid	1
136	livingdaydreams	1
136	Da_Boss_Rani	1
136	Euclidoris	1
136	Stynxy	1
136	MrExplorer	1
136	Kkanot	1
136	Awyrlas	1
136	Lotvailer	1
136	Felenov	1
136	ApophisNova	1
136	Smussa	1
136	wrinkledpiglet	1
136	binman420	1
136	lillips	1
136	KermitTheKripple	1
136	DarlaMeow	1
136	Nycteus_	1
136	Xclax101	1
136	MakeHistory157	1
136	Jij0	1
136	brofrickcheaters	1
136	LeeMcGee30	1
136	MyNamaSheff	1
136	Tenoto	1
136	Sral7	1
136	Zoeyfortnite	1
