rank	username	minecraft:used/minecraft:loom
1	PlasticOtari	434
2	TheShyPig	173
3	EMC_	153
4	EveryonesUncle	115
5	Mahoose	100
6	PigDab	94
7	Inchef	92
8	beeperbeeper5	78
9	Merv__	72
10	HellsSponge	70
11	ImpavidArcher	61
12	pintsizedrogue	57
13	RatatJuice	54
13	Legendosh	54
15	Shogunite	45
15	Freak_Genius	45
17	ApophisNova	44
17	TheSeismicDuck	44
17	MyNamaSheff	44
20	Kakolbus	41
21	kekhon	38
22	oxfordschool	36
23	TheSecondLord	35
23	Jiminie	35
23	Steelynan	35
26	M_Patata	32
26	MasterNueve	32
28	500am	31
29	Historical_Sand	30
30	titanlax	29
30	Onennon	29
32	himak1	28
33	Zythose	27
34	ROY4LE	24
35	SvenskaHugo	20
35	YungMaki	20
37	pixelviolin	17
38	joethahobo	15
38	Luigipunch989	15
40	Louiis123	14
40	Smoke____	14
42	Incinere	13
42	MattieHD	13
42	Stiar	13
42	Hyp3rion_	13
42	stavgod	13
47	jacxhadow	12
48	thescout7	11
48	Chromary	11
50	Werbe	10
50	WyngGoy	10
50	Kubeusz2010	10
53	Drlzyy	9
53	rarrq	9
53	Fullut	9
53	Arceus1975	9
53	LexMakesHistory	9
53	_Karmaa	9
53	Xclax101	9
60	Bandito_Roamer	8
60	Blackberry1310	8
60	Megarboh	8
60	Hiryu27	8
60	Kim_Jong_eel	8
60	Akoot_	8
60	The_slideV3	8
60	starbits140	8
60	Soplight	8
60	Nicserso	8
70	6king6colt6	7
70	youhjjhhhjj	7
70	AdvertisingMerc	7
70	xxPipperDipperxx	7
70	Drewen24	7
70	Cocoamallows	7
70	lcvezra	7
70	Ezekson	7
78	Snowflowe	6
78	RobotMinion101	6
78	fluddd	6
78	BumbleBeever	6
78	MakeHistory157	6
78	__tomato	6
78	stahouo	6
78	CalebDHawk	6
78	Skippeh	6
87	teslawolf38	5
87	Dedalus36	5
87	H72l9w	5
87	12Magner05	5
87	gcaisawesome	5
87	Winklepicker279	5
87	RodSerlingCringe	5
87	Racengan	5
87	Ze_BaronKrigler	5
87	UCP_TheKingK	5
87	UltraZombie	5
87	Sral7	5
99	Jovaphobic	4
99	heysushii	4
99	RebelAndroid	4
99	eitanzaki	4
99	Smashic	4
99	pappaberg	4
99	regulator75	4
99	epiksk8erduck	4
99	ADEXTV	4
99	420BreadLizard	4
99	NameGenerat0r	4
99	claivin	4
99	marumochis	4
99	Blaiku	4
99	Spacewardharpy7	4
99	Factoroni	4
99	CheifJumbo	4
99	tsitrawhy	4
99	Eczbek	4
99	jnp_gaming	4
99	YoshikageBites	4
120	Groovy_MoonBird	3
120	Tobinator_007	3
120	Cowison	3
120	Tommhh	3
120	bigstankyy	3
120	SaucyDark	3
120	hm947	3
120	awesomeoneme	3
120	NinjaKnifeKill	3
120	ShedJr_	3
120	Lez_	3
120	Myszoaz	3
120	YungJakobo	3
120	Kamflame10	3
120	r123moore	3
120	noam464	3
120	benediktine1	3
120	loveseeker	3
120	SuperPooch06	3
120	thewindmillman	3
120	killmeiamtraitor	3
120	AnnieBathory	3
120	Rebytre	3
120	The11thDoctor	3
120	Kynigito	3
120	binman420	3
120	NomadicRobin_	3
120	MinuteMira	3
120	Groundler	3
120	Fildyr	3
120	SkateboardR6	3
120	MovingFish7	3
120	ItsDeltaMC	3
120	Eraxa	3
120	Kowcio_	3
120	SSytex_X	3
120	KingMatthew506	3
120	Vellu21	3
120	anbbang	3
120	xorompole	3
120	Enderslayerxz3	3
120	kinas45y5	3
162	Mr_Byzantine	2
162	PhantomsGhost_	2
162	Paint	2
162	I_Am_Mushkin	2
162	KarlKaek	2
162	DinoDoctor_	2
162	TooManyDuck	2
162	Tolhart	2
162	Ssor69	2
162	Euclidoris	2
162	shdesolt	2
162	Cryptacity	2
