rank	username	minecraft:used/minecraft:purple_concrete_powder
1	thewindmillman	14922
2	Spacewardharpy7	6914
3	Hyp3rion_	5186
4	doublemaki	3694
5	lordpipe	3472
6	MakeHistory157	3268
7	LordSpeed37	2757
8	beeperbeeper5	899
9	TheSecondLord	854
10	jnp_gaming	721
11	HellsSponge	640
12	Kowcio_	623
13	royal_2	582
14	ROY4LE	581
15	Spaghettatron	464
16	Pumpkin_P_Patch	451
17	Ezekson	440
18	TheShyPig	435
19	mwrty	408
20	PigDab	385
21	EMC_	331
22	Fullut	265
23	Hoid_the_Roamer	256
24	CacheOut	165
25	_Huge_Male_	160
26	WyngGoy	154
27	TechnoNinja64	139
28	pintsizedrogue	135
29	set67	130
30	Frozil20	128
30	CornOnTheCobalt	128
32	mobunni	122
33	cutelilreno	106
34	Yamdalorian	98
35	oscminus	91
35	claivin	91
37	Tongon	89
38	joethahobo	87
39	SvenskaHugo	86
40	PortlyPete69	85
41	noam464	66
42	Nicserso	65
43	Soap_Bender	64
43	starbits140	64
45	xzvu	56
46	mihimihimihi	55
47	AnnieBathory	47
48	Steelynan	43
49	Enderxz3	42
50	IamCL4SSY	35
51	Manaateee	22
52	burbankbuilder28	21
53	emreknugrlu	20
54	rarrq	17
55	Soplight	14
56	KingMatthew506	13
57	Napoleonpancake	12
57	jcool7	12
57	Jimb0nat0r	12
60	6king6colt6	11
61	ApophisNova	10
61	MyNamaSheff	10
63	Arceus1975	9
63	Cyntrical	9
65	Lorcout	8
65	500am	8
65	sp00ky_ghost977	8
68	luseis	7
69	lunkuku	6
70	MattieHD	5
71	TheEnderMan548	4
72	WWWWMWWWWWWWWWWW	2
72	Buuck_	2
72	pixelviolin	2
75	ItsColin11	1
75	bigstankyy	1
75	Mahoose	1
75	gcaisawesome	1
75	legal_tax_evader	1
75	Di_infiri	1
75	Jackattack53	1
75	RefluxRatio	1
75	MousePlays	1
75	thgrocks	1
75	Blaiku	1
75	Leithz6	1
75	EcksD	1
