rank	username	minecraft:used/minecraft:bamboo_pressure_plate
1	Yamdalorian	31
2	StarCookiees_	27
3	Werbe	10
4	Merv__	8
5	Steelynan	5
6	Mr_Sun15	4
7	Soplight	2
