rank	username	minecraft:used/minecraft:stripped_dark_oak_log
1	EveryonesUncle	3706
2	TheSecondLord	1987
3	H0UNDFRMH3LL	1487
4	Myntsys	1359
5	Mattesco	1281
6	500am	1271
7	ImpavidArcher	1257
8	Mahoose	1064
9	Mr_Byzantine	867
10	beeperbeeper5	778
11	pintsizedrogue	766
12	Nicserso	602
13	Manaateee	567
14	QuiCreans	482
15	kekhon	421
16	Huwulling	417
17	Merv__	387
18	EcksD	369
19	Caribouse	347
20	luseis	343
21	Steelynan	324
22	hanaryheatwave	297
23	SOA1RR	295
24	Jimb0nat0r	271
25	Skippeh	264
26	Blackberry1310	253
26	burbankbuilder28	253
28	doublemaki	249
29	Frozil20	238
30	PortlyPete69	229
31	censorsheep	205
32	pixelviolin	203
33	EMC_	201
34	SvenskaHugo	194
35	Soplight	185
36	Reneedium	181
37	M_Patata	173
38	PazinGaming	169
39	MasterNueve	167
40	Enderxz3	155
41	Spaghettatron	146
42	shrimp_flips	143
43	Deathkob	140
43	PlasticOtari	140
45	craaaash	135
46	Buuck_	127
47	MisfitsMike	124
48	Olib3ar	121
49	yheece	117
50	Ravenbie	116
50	Kowcio_	116
52	Secret_Canary	112
53	HUNTERmaun	108
54	_Huge_Male_	105
55	seramalen	103
56	Ozixar	100
57	BlancoFlaco	99
58	titanlax	98
58	CalebDHawk	98
60	LazySupport00	97
61	Rebytre	96
61	weabis	96
61	iSammael	96
64	xzvu	83
65	MattieHD	80
66	NotMyLucKMC	77
67	Cryptacity	76
67	Kubeusz2010	76
69	thescout7	75
70	NameGenerat0r	72
71	MyMawgDonaldsGon	71
71	SpacesickPrism	71
73	Pofen	68
73	TheKingK_	68
75	Hahaa_0	67
75	El_Jalapeno	67
77	MilleGrug	66
78	taengoos	63
79	Winklepicker279	62
80	NutellaPenguinz	59
81	SquadMonster	57
81	Awyrlas	57
83	milltesco	55
84	madderfall	54
85	Elastiq	52
85	Akoot_	52
87	NieToksikpl	51
88	Jakobo1337	50
88	_Cloverbelle_	50
88	IamCL4SSY	50
88	cutelilreno	50
92	ConnorDanky_	48
93	Kakolbus	47
94	knarian	45
94	Spenduh	45
96	theofiel	42
97	Bandito_Roamer	41
98	Ezekson	40
99	DarkS0L	38
100	emreknugrlu	37
101	m_be9	36
102	k_ce	35
102	FreakGenius	35
102	Eraxa	35
105	Archsam	34
105	Sorry_Arey07	34
107	eitanzaki	33
108	Hoid_the_Roamer	32
109	Chromary	31
109	Spacewardharpy7	31
111	lorywithay	30
111	rarrq	30
111	Marbz_	30
111	jnp_gaming	30
115	ZigzagLily43042	28
115	Twighst	28
115	lordpipe	28
118	set67	27
118	Zythose	27
118	TheShyPig	27
121	Dakar_	26
122	Lez_	25
122	noam464	25
124	livingdaydreams	24
124	Snowflowe	24
126	royal_2	23
126	ROY4LE	23
126	CacheOut	23
126	Quotary	23
130	Tongon	22
131	Gzrdy	21
131	Meatlaugh	21
131	_flud	21
134	SingedBread	20
135	GingerNeutron	19
136	remgrandt	18
136	skroobiez	18
136	emrekn	18
136	eiC_	18
136	fkGrim	18
141	MrExplorer	17
141	Hiryu27	17
143	joethahobo	16
144	teslawolf38	15
144	steppe_nomad	15
146	TinMaster	14
146	Yamdalorian	14
148	SexcMf	13
149	DinoDoctor_	12
149	Felenov	12
149	SolarKar	12
149	_Mythic____	12
149	Pumpkin_P_Patch	12
154	AspenLightVT	11
155	Historical_Sand	10
155	Fullut	10
155	TheDankPlatypus	10
155	MyNameIsJobo	10
155	Racengan	10
160	Hpdinosaur	9
160	ShedJr_	9
160	SuperPooch06	9
160	Deguns123	9
160	Biites	9
165	robertsnose	8
165	CoffeeNoir	8
165	nocturne78	8
165	Di_infiri	8
165	obzii	8
170	Werbe	7
170	Hail_the_wombat	7
170	NomadicRobin_	7
170	blackeemperor	7
174	RebelAndroid	6
174	lorpus	6
174	r123moore	6
174	okCrypto	6
174	thgrocks	6
179	Inchef	5
179	EdGalbraith	5
179	Shogunite	5
179	Druid95	5
179	hermmm_	5
179	smogfrogg	5
185	Ryan_GEMS	4
185	SteveCraftBlocks	4
185	Stiar	4
185	KingEgg1	4
185	prizm_	4
185	JETrotter	4
185	GooseWithin	4
185	Blaiku	4
185	MusicMe1005	4
185	TheWickedBird	4
195	Alteriity	3
195	SDMNAEK	3
195	Crizma_	3
195	paranoid_plant	3
195	Norrhede	3
195	AnnieBathory	3
195	RobotMinion101	3
195	XxCookiequeenxX	3
195	Lord_Doob	3
195	IAmTheWalrus910	3
195	FiguraDei	3
195	MakeHistory157	3
195	07shiny	3
195	miramyu	3
195	_3Stump_	3
195	Legendosh	3
211	dudcreeper	2
211	Myszoaz	2
211	Euclidoris	2
211	dopplexd	2
211	hydrothebot	2
211	Xalithia	2
211	2Stout	2
211	xxPipperDipperxx	2
211	SirSpace	2
211	CaptainSteve345	2
211	HyperCave	2
211	yb0e	2
211	KeruNatsema	2
211	HolyVenom	2
211	ReSynced	2
211	jake314810	2
211	HellsSponge	2
211	Avocadogerms	2
211	Yahir091	2
211	TheTommyGun63	2
211	Leithz6	2
211	kyouma777	2
211	Shin69	2
211	_TCARREIRA_	2
211	jcool7	2
211	LeeMcGee30	2
211	Corkchef	2
238	xyct	1
238	hollowww	1
238	6king6colt6	1
238	diamondgolem35	1
238	SaucyDark	1
238	hm947	1
238	T045RTY	1
238	SyntheticSurgeon	1
238	Lazy_geniusig	1
238	jjekyll	1
238	TipDuy3010	1
238	Ssor69	1
238	FirsTimeGamingTV	1
238	Saucepeh	1
238	mattybeewrapss	1
238	12Magner05	1
238	Studio4x32	1
238	AngalexikCZ	1
238	mrnosetackle	1
238	mwrty	1
238	Cubeses333	1
238	IamLettuce13	1
238	Ch4osDoom64	1
238	ImDisconnected_	1
238	KanyeBiggestFan	1
238	Arceus1975	1
238	Krowuss	1
238	GamerDuck123	1
238	oscminus	1
238	The11thDoctor	1
238	PigDab	1
238	Maenara	1
238	a_d_e_x	1
238	privatemeekly	1
238	Lekol	1
238	claivin	1
238	501g	1
238	cvpe	1
238	LAVA124	1
238	QuesoCrusaderIII	1
238	wwwwinnebagoooo	1
238	ConnorTG5	1
238	sp00ky_ghost977	1
238	IlkeCookes_	1
238	Zetsey	1
238	ReyTheLegend	1
238	BlankityMcBlank	1
238	Segotep999	1
238	starbits140	1
238	__GingerSnap	1
238	MC_Skribble	1
238	snizv1	1
238	mobunni	1
238	CattSoup	1
238	imaginek1d	1
238	TechnoNinja64	1
238	Kateesaur	1
238	h2p_emrld	1
