rank	username	minecraft:used/minecraft:oak_stairs
1	TheShyPig	3359
2	EveryonesUncle	3139
3	rarrq	2223
4	_Dean_123	2170
5	Mr_Byzantine	1821
6	_Karmaa	1795
7	MyNameIsJobo	1307
8	Shogunite	1289
9	Mahoose	1223
10	Freak_Genius	1147
10	Ezekson	1147
12	fkGrim	1114
13	youhjjhhhjj	1074
14	Skylord_Luke	1050
15	Blackberry1310	1026
16	Ozixar	937
17	CoffeeNoir	907
18	Paleshield	890
19	Soap_Bender	851
20	StinkyDiplomat	817
21	CharlieButt	797
22	Luigipunch989	767
23	beeperbeeper5	742
24	crying_wolf_13	740
25	500am	733
26	Ssor69	732
27	Megarboh	695
28	Onennon	683
29	HellsSponge	636
30	Winklepicker279	634
31	Steelynan	628
32	kekhon	622
33	xo_Marren_xo	598
34	Zaridey	563
35	DarkS0L	561
36	Frozil20	560
36	Incinere	560
38	CSG_Haru	551
39	Rumpletaezer	526
40	ProfessorBee	521
41	Lez_	512
42	Akoot_	490
43	El_Jalapeno	474
44	stickwhiskers	460
45	TableTim	459
46	Merv__	453
47	Racengan	442
48	EMC_	441
49	oxfordschool	440
50	TheDankPlatypus	431
51	Groovy_MoonBird	430
52	KingMatthew506	427
53	Arceus1975	420
54	m_be9	397
55	_KuruKuru	396
56	hcb238	383
56	Warlord324	383
58	Gingayy	360
59	tsitrawhy	354
60	Nekomin0	349
61	DepressedCubic	347
61	TheFlfthHorseman	347
61	XboxPanda	347
64	joethahobo	329
65	Smoke____	314
66	slkiey	313
67	SammiWolfGirl	304
68	jnp_gaming	297
69	Inbefour	296
69	Jiminie	296
71	Soplight	294
72	pintsizedrogue	291
73	xxPipperDipperxx	289
74	Skippeh	288
75	Lord_Jord	284
75	bloomkieren	284
77	KarlKaek	279
78	TheThomas69	277
78	Calbo_	277
80	Quotary	269
81	Stynxy	265
81	ROY4LE	265
83	Zoeyfortnite	257
84	CarryLine	255
85	MixerDixer	249
86	Meatlaugh	246
87	T045RTY	244
88	iSammael	241
89	Drewen24	240
90	toj__	236
91	Norrhede	235
91	DaviusMaximoose	235
91	00000000-0000-0000-0009-01f898304150	235
94	FroggoTheDoggo	234
95	CattSoup	231
96	ApophisNova	229
96	MyNamaSheff	229
98	epiksk8erduck	227
99	Kowcio_	222
100	titanlax	219
101	Malorn_Aetherius	207
102	Fildyr	201
103	JollyDroopy52	198
104	DAD_1996	196
104	OnlyOfficial	196
106	PhantomsGhost_	193
106	Kyrum2169	193
108	6king6colt6	191
109	Mowelan	189
110	livingdaydreams	186
110	PegLegPete93	186
112	UCP_TheKingK	185
113	dopplexd	183
113	PigDab	183
115	TechnoNinja64	181
116	Jovaphobic	176
117	TheSecondLord	175
118	_Crimson_Legate	173
119	LuceImaginary	170
120	Nicky_H225	168
120	EcksDofficial	168
122	Sebaschan__	166
123	picardred	161
124	mediumBev	160
125	CalebDHawk	159
126	jacxhadow	158
127	Legendosh	156
128	ori0le	155
128	SvenskaHugo	155
128	EcksD	155
131	Matemaks2137	154
132	07shiny	153
133	HypixelForums	152
133	PlasticOtari	152
135	seanitoo	150
136	LeauVox4921	147
137	Skyler_Diablo	146
138	MonitorLizards	144
138	BreadBacon	144
140	Ev0luti0nz	142
140	Smashic	142
142	little_dUki	140
143	RodSerlingCringe	137
144	FirsTimeGamingTV	135
144	NebulousBadger	135
146	xof_on_microwave	134
147	MakeHistory157	131
148	Kakolbus	130
149	littlesophiagirl	129
150	bloodbiter	127
151	ExtraDumb	124
152	ccormacs	122
153	StanceTB	121
154	anbbang	120
155	beeleg	119
155	Kijiki	119
155	__tomato	119
155	Smaldo	119
159	RealDelver	118
160	PlzNoBM	115
161	laron58	112
162	Xclax101	111
163	Stiar	110
164	AuroraSkies	109
164	CrazyPotater	109
166	prizm_	108
166	YungMaki	108
168	Eczbek	107
169	MinerDec	106
170	Yoaty	104
170	SpacesickPrism	104
172	AltnumberF4	103
173	WarHammer3	102
173	Fuad_R	102
175	Shin69	101
176	Deliriohm	100
177	tuckerdoodle	99
177	breadbowlgamer	99
177	wrinkledpiglet	99
180	Fuhrer_Teemo	97
181	Travasaur	96
182	Solar_Power	95
182	Rebytre	95
182	Th6masss	95
185	MinttyFressh	94
186	Louiis123	92
187	r123moore	90
188	ogoa	89
189	SaltineDream	86
189	Mimiir345	86
189	NoxxxxiS	86
189	Bumpy419	86
189	BumbleBeever	86
194	Cowison	85
194	Snowflowe	85
194	Haadrada	85
197	purpolepickle	84
197	Matorz	84
197	MissCeleste7	84
200	ShedJr_	83
200	chlorinex	83
200	Inchef	83
200	Syropatathe	83
204	Ravenbie	82
205	SteveCraftBlocks	81
205	Fullut	81
207	groofles	80
207	ProfessorDiaper	80
207	Enderslayerxz3	80
210	Ch4osDoom64	79
210	Jiminbub	79
210	__Auspicious	79
210	Jimb0nat0r	79
214	Jackattack53	78
214	burbankbuilder28	78
216	Myszoaz	76
216	Atroxes	76
216	Avrelion	76
216	AlphaWolfPlaysMC	76
220	parodypatient	75
220	IsabellasOF	75
222	Sharkbyte0	74
223	Crowman1	73
223	MrMonster61	73
225	fw3xywashere	72
225	LordSpeed37	72
227	Eraxa	71
228	Jalvajar	68
228	MrExplorer	68
228	LetsDoItLive	68
231	bigstankyy	67
231	Freeman666	67
231	kyouma777	67
234	ewsophie	66
234	Gmoney390	66
236	ReyTheLegend	65
237	HollieDaNugget	64
237	Z3braYTIL	64
239	Bolete	62
240	TinMaster	61
241	zMarciano	60
242	ImpavidArcher	58
242	Sleepy_Time_	58
242	Moetis	58
242	al626win52	58
242	Ernnous	58
247	set67	57
247	seramalen	57
247	Kryktal	57
247	mountaingirl311	57
251	TheDiamondCG	56
251	EfficientC52	56
251	Barlycorn	56
254	Kateesaur	55
255	wirelesstree	53
255	Cavetorch	53
255	Mistruth	53
255	TheEnderman548	53
259	teslawolf38	52
259	BleachMyEyes	52
259	TowenPL	52
259	ElderRifken	52
263	Wooptey	51
263	Di_infiri	51
263	brickman241	51
266	GingerNeutron	50
266	SkateboardR6	50
268	hm947	49
269	Karetoko	48
269	LexMakesHistory	48
271	SlayerCrypto	47
271	thewindmillman	47
271	JitteryJared2	47
271	BlankityMcBlank	47
271	a_smol_bean	47
276	_k2x	46
277	ToastedGamingYT	45
277	proxivitoid	45
279	Jokerman369	44
279	CyrusIsTired	44
279	Rainaldus	44
279	xorompole	44
283	Spaghettatron	43
283	jushykins	43
283	_naturell	43
283	FishisTTV	43
287	Yatitay	42
287	SuperPooch06	42
287	MightyWertu	42
287	sp00ky_ghost977	42
291	jpoxman	41
292	Prodiginus	40
292	UncreativeArtist	40
292	DrGrant	40
295	ratglock	39
295	MangoTheFish	39
295	DarkLawD	39
295	stellarjay	39
299	Sleek_Storm_721	38
300	Ao_Ken	37
