rank	username	minecraft:used/minecraft:cooked_salmon
1	MyNameIsJobo	1903
2	rarrq	962
3	himak1	812
4	LordSpeed37	781
5	__tomato	706
6	Mewar	679
7	Akoot_	675
8	Kyrum2169	669
9	Caribouse	540
10	ApophisNova	445
10	MyNamaSheff	445
12	Soplight	437
13	Covalents	423
14	Bumpy419	402
15	Tyrannosplart	400
16	xzvu	381
17	_TCARREIRA_	333
18	Comma__	324
19	audiocracked	313
20	Blackberry1310	304
21	TheSeismicDuck	294
22	censorsheep	289
23	Ryan_GEMS	269
24	mawileite	260
25	SuperPooch06	257
26	Bandito_Roamer	254
27	Steelynan	251
28	JayToe	227
29	kekhon	215
30	Rumpletaezer	206
31	Gregward_Smith	195
32	RobotMinion101	193
33	DJzombiehunter	189
34	vandmanden	187
35	Yamdalorian	181
36	jnp_gaming	174
37	Di_infiri	171
38	RebelAndroid	164
39	livingdaydreams	163
40	stuy9	160
41	_Dean_123	158
42	ayamefag	151
43	oscminus	140
43	claivin	140
45	Spenduh	138
46	Arceus1975	136
47	milltesco	130
48	xDraggin	128
48	WyngGoy	128
50	DrowsyOracle	127
51	Donutt	125
52	Snowflowe	123
53	Nyxiom_	120
54	jacxhadow	118
54	AstreaTSS	118
56	Kateesaur	112
57	legal_tax_evader	111
58	DarlaMeow	103
59	MyMawgDonaldsGon	97
60	NotP0tato	96
61	doublemaki	89
62	shuniji_	87
63	TechnoNinja64	86
64	Shortest_	85
65	Saucepeh	84
66	Matyyy15	81
67	miramyu	77
68	Tiberonus	75
69	Zippyzam	73
70	_Nuf	70
71	Leyna3	69
72	QuiCreans	68
72	Fullut	68
74	picardred	66
74	LetsDoItLive	66
76	redlightshift	64
77	_Minnty_	63
77	wezzzi	63
79	slkiey	61
79	Airem_Core	61
81	emrekn	59
81	_flud	59
83	ssleepless	58
83	bl1ss0	58
85	Franco093	57
85	shadowthemonkey	57
87	CacheOut	55
88	1442	52
88	lordpipe	52
88	RadarHz	52
91	fade_emerge78823	51
92	Jovaphobic	50
92	Saltymart	50
92	CoffeeNoir	50
92	asspharte	50
96	stellarjay	49
97	GingerNeutron	48
98	Pumpkin_P_Patch	47
99	Racengan	46
99	silverpopcorn	46
99	_AAZAR	46
102	geekbird	45
102	SammiWolfGirl	45
102	Njensen7	45
105	nocturne78	42
105	luseis	42
107	QueenShuvi	41
108	SteveCraftBlocks	40
109	ooga47	38
110	Lorcout	37
110	abdomera	37
110	Natty	37
110	Euclidoris	37
110	Paintz	37
115	j5ylim	36
115	jimintyy	36
117	teqilas	35
117	2Stout	35
117	ProbsNotNova	35
120	Merv__	34
121	pintsizedrogue	33
122	elicobnoah	32
122	Cyanide4Kitten	32
124	DemTechAlpha	31
125	eitanzaki	30
125	Reamdin	30
125	The_Fulgurator	30
128	Mattesco	29
128	Paul_Katan	29
130	aec9	28
130	es0th	28
132	m_be9	27
132	whoaluv	27
132	Felenov	27
132	Inconvenionce	27
132	Iamthejo	27
132	Ezekson	27
132	MelodyGaysharks	27
139	teslawolf38	26
140	Gemstuff	25
141	Wooptey	24
141	FreakGenius	24
141	El_Jalapeno	24
141	Leithz6	24
145	UncreativeArtist	23
145	Thunder_bird4337	23
145	Eraxa	23
148	Zaridey	22
149	joethahobo	21
149	MrKrabOnCoke	21
149	Maenara	21
152	AlphaWolfPlaysMC	20
152	Powowowow	20
152	MandenR1	20
155	Mr_Byzantine	19
155	Fuhrer_Teemo	19
155	LilcoinXX	19
158	Groovy_MoonBird	18
158	xxPipperDipperxx	18
158	andy_rex	18
158	F_Uhre	18
158	NomadicRobin_	18
158	ese_wn_po	18
164	LordlessAbyss	17
164	Druid95	17
166	Mahoose	16
166	ratglock	16
166	_Karmaa	16
166	Blaiku	16
166	taengoos	16
171	dabloons	15
171	FirsTimeGamingTV	15
171	Xclax101	15
174	Frozil20	14
174	Touched_Bread	14
174	Western_1	14
177	Firecracker320	13
177	beeperbeeper5	13
177	Hyp3rion_	13
177	StinkyDiplomat	13
177	marumochis	13
177	SquidZooka2	13
177	Deguns123	13
177	Skippeh	13
177	mountaingirl311	13
186	Myrosia	12
186	DinoDoctor_	12
186	thescout7	12
