rank	username	minecraft:used/minecraft:pink_petals
1	Krowuss	6928
2	Alteriity	6405
3	Hyp3rion_	4137
4	TheWickedBird	1336
5	Buuck_	955
6	SteveCraftBlocks	693
7	11Brewer	556
8	wwwwinnebagoooo	438
9	robonya_	315
10	theonlymagikarp	287
11	EveryonesUncle	279
12	Enderxz3	256
13	xxPipperDipperxx	253
14	Reneedium	155
15	LuvLuvLove	146
16	Gus2005	144
17	PazinGaming	142
18	Lazy_geniusig	122
19	HUNTERmaun	118
20	Lez_	105
21	lorywithay	89
22	milltesco	86
23	Merv__	83
24	Steelynan	80
25	Hoid_the_Roamer	75
26	lcn	72
27	k_ce	69
27	Fullut	69
29	_Huge_Male_	68
29	Synthoum	68
31	12Magner05	65
32	hydrothebot	64
33	XxCookiequeenxX	57
33	Kowcio_	57
35	pintsizedrogue	53
35	Hahaa_0	53
37	Pumpkin_P_Patch	52
38	Napoleonpancake	51
39	PaperCanvas	48
40	mymayowasgone	47
41	Moofyman	42
42	luseis	41
43	Apollo_993	37
43	Manaateee	37
45	Huwulling	33
46	royal_2	29
47	KarlKaek	23
47	Jackattack53	23
49	ECstardust	17
49	_witch_craft_	17
49	U_Mos_	17
52	SvenskaSara	16
53	Mr_Byzantine	15
54	Frigzy_	14
54	00000000-0000-0000-0009-01f26ea966c4	14
56	lordpipe	11
56	SpacesickPrism	11
58	gren_ben	10
59	shineh10	9
59	Nach0Bear	9
59	LovableFemboy	9
59	StarCookiees_	9
63	j5ylim	8
64	beeperbeeper5	7
64	TheSecondLord	7
66	Werbe	6
66	Mattesco	6
66	Yamdalorian	6
69	pixelviolin	5
70	Hashises	4
70	TheKingK_	4
70	Soplight	4
70	TheBananaKat	4
74	Hetti301	3
74	ParadoxProYT	3
74	Athenaeaen	3
74	00000000-0000-0000-0009-01fe065167f0	3
78	philandr	2
78	Taco_Cat898	2
78	Cache3	2
78	NATE_the_HALO	2
82	Roenfire	1
82	bl1ss0	1
82	MustardSquid	1
