rank	username	minecraft:used/minecraft:purpur_pillar
1	lordpipe	2924
2	beeperbeeper5	1642
3	m_be9	1634
4	YungMaki	792
5	masskedman	715
6	mwrty	591
7	Mewar	497
8	6king6colt6	385
9	Spacewardharpy7	293
10	PigDab	282
10	Smoke____	282
12	yulgur1	280
13	vandmanden	264
14	claivin	215
15	bigstankyy	194
16	fkGrim	181
17	NameGenerat0r	180
18	MightyWertu	153
19	Nicserso	138
20	Maenara	131
20	Racengan	131
22	Bandito_Roamer	129
22	Fullut	129
24	Shogunite	122
25	fred870d	114
26	Enderslayerxz3	109
27	33sudo	103
28	Frozil12	101
29	MakeHistory157	99
30	Inbefour	96
31	thescout7	91
32	noam464	89
33	TheSecondLord	87
34	Blu3beast	85
35	PhantomsGhost_	84
36	SuperPooch06	82
37	ProbsNotNova	81
37	RoboTramp7865	81
39	Winston_Ingram	73
40	Iagoku	67
40	eviltunix	67
42	crying_wolf_13	66
42	lizardfightclub	66
44	lcvezra	62
45	Werbe	57
46	Freak_Genius	55
47	surfinggiraffejp	52
47	chipklip	52
49	OG_Songsee	51
50	TheEnderman548	50
51	kekhon	49
52	Jackattack53	45
53	loveseeker	44
54	Dogcorn69420	39
55	shyshyannne	37
56	mariominejedi	35
56	tartanboy	35
58	Fizznut909	34
59	Zythose	33
60	fluddd	31
61	AuroraValkyrie	30
61	_TCARREIRA_	30
63	ROY4LE	29
64	gabriels543	27
64	Warlord324	27
64	Razzgriz	27
64	stahouo	27
68	Covalents	24
68	Groundler	24
68	Hermanni__	24
71	Hpdinosaur	22
72	Onennon	21
73	Rumpletaezer	18
73	Hisiste	18
75	T045RTY	17
75	500am	17
75	Awyrlas	17
75	laron58	17
79	EveryonesUncle	16
79	Sral7	16
81	BodaciousCake	15
81	rarrq	15
81	pr33tu	15
84	eitanzaki	14
84	oxfordschool	14
84	UrbanPlanner1978	14
87	ABUSNA1996	13
87	TheSeismicDuck	13
87	stellarjay	13
90	Donutt	12
90	HellsSponge	12
90	Blaiku	12
93	Ecplosive	11
93	Xclax101	11
93	Miko_Fullbuster	11
93	Ezekson	11
97	nataliecool	10
97	TooManyDuck	10
97	Nycteus_	10
97	_k2x	10
97	LazySupport00	10
102	Historical_Sand	9
102	MattieHD	9
102	Zaridey	9
102	DScatgirls	9
106	jushykins	8
106	MinttyFressh	8
106	M_Patata	8
106	MasterNueve	8
106	MissCeleste7	8
106	jnp_gaming	8
112	SoftSix	7
112	thewindmillman	7
112	MovingFish7	7
115	Rich_Kat	6
115	__TheNorseMan__	6
115	Akoot_	6
115	_Karmaa	6
115	Quaintster	6
115	SkateboardR6	6
115	Kowcio_	6
122	Houstonion	5
122	gcaisawesome	5
122	Hyp3rion_	5
122	Rasmanden	5
122	MustaLoordi	5
122	ItsJWolff	5
122	Segotep999	5
122	microcrisp	5
122	Quotary	5
122	PlasticOtari	5
122	kinas45y5	5
133	Mahoose	4
133	Comma__	4
133	Inchef	4
133	CruncyIsTaken	4
133	Jiminie	4
133	SingedBread	4
133	Nagasaki_Riku	4
133	FishisTTV	4
141	ssleepless	3
141	RebelAndroid	3
141	Myszoaz	3
141	zorin123	3
141	pappaberg	3
141	AlexxO_o	3
141	TheShyPig	3
141	TeenMomTom	3
141	Leyna3	3
141	KG1999	3
151	pintsizedrogue	2
151	soundad	2
151	Dedalus36	2
151	CoffeeNoir	2
151	awesomeoneme	2
151	JuuustYeet	2
151	set67	2
151	eiC_	2
151	MyNameIsJobo	2
151	Di_infiri	2
151	Bumpy419	2
151	RobotMinion101	2
151	TheTrueClipse	2
151	fw3xywashere	2
151	lillips	2
151	__tomato	2
151	CalebDHawk	2
151	Legendosh	2
169	Lepthymo	1
169	_Virify_	1
169	livingdaydreams	1
169	Batman922	1
169	12Magner05	1
169	CyrusIsTired	1
169	Z3braYTIL	1
169	Scathra	1
169	Kakolbus	1
169	MangoTheFish	1
169	groofles	1
169	binman420	1
169	DarkS0L	1
169	Cocoamallows	1
169	Eczbek	1
169	Skippeh	1
169	EcksD	1
169	2blox	1
169	EcksDofficial	1
