rank	username	minecraft:used/minecraft:light_blue_candle
1	xxPipperDipperxx	22
2	NomadicRobin_	18
3	PlasticOtari	11
4	Legendosh	6
5	EcksDofficial	4
6	Mahoose	3
6	Steven1282598	3
8	lillips	2
9	Ilaea	1
9	Nycteus_	1
9	SingedBread	1
9	Ezekson	1
9	EcksD	1
