rank	username	minecraft:used/minecraft:bucket
281	zorin123	427
281	SpookyDraggin	427
283	AlazelTheReal	426
284	Iagoku	424
285	MyNameIsDakar	421
286	Hiryu27	419
287	John6970	416
288	Voxin2K	414
289	seanitoo	413
290	loveseeker	412
291	Incinere	411
291	oreee	411
291	drumine	411
291	Xovalt_	411
295	ProfessorBee	409
295	Russiancat1	409
297	JESS_THE_RERE	403
298	hm947	402
298	FirsTimeGamingTV	402
300	_naturell	401
