rank	username	minecraft:used/minecraft:purpur_slab
1	AdmiralSmoke	6457
2	thewindmillman	5579
3	beeperbeeper5	2449
4	m_be9	587
5	mwrty	431
6	MineMaster0012	371
7	33sudo	318
8	lordpipe	306
9	Bandito_Roamer	282
10	PigDab	229
11	Skylord_Luke	156
12	masskedman	129
13	Fullut	108
14	ProfessorBee	103
15	Kowcio_	91
16	fkGrim	82
16	Manaateee	82
18	YungMaki	77
19	MightyWertu	74
20	iSammael	72
21	6king6colt6	70
22	wwwwinnebagoooo	67
23	lizardfightclub	59
24	xzvu	58
25	Blu3beast	54
26	AltnumberF4	50
27	FreakGenius	46
28	bigstankyy	35
28	mihimihimihi	35
30	Shogunite	29
31	Lez_	27
32	Werbe	21
33	Mr_Byzantine	20
33	noam464	20
35	Iagoku	17
36	yulgur1	16
36	luseis	16
36	fluddd	16
39	TheSecondLord	14
39	surfinggiraffejp	14
39	NameGenerat0r	14
42	Hyp3rion_	13
42	Maenara	13
44	pintsizedrogue	12
44	EMC_	12
44	TheSeismicDuck	12
44	Blaiku	12
48	Ezekson	11
48	Enderxz3	11
50	IronArshXS	10
50	MattieHD	10
50	lcvezra	10
53	AuroraValkyrie	9
54	legal_tax_evader	8
54	Nicserso	8
54	skrongus	8
57	Rich_Kat	7
57	excelsionprime	7
57	thescout7	7
57	Hisiste	7
57	TheEnderMan548	7
62	Historical_Sand	6
62	yheece	6
62	Nycteus_	6
62	Racengan	6
62	__tomato	6
67	Segotep999	5
67	Winston_Ingram	5
67	laron58	5
67	Sral7	5
71	MoistMicrowave	4
71	ROY4LE	4
71	Covalents	4
71	Zythose	4
71	RobotMinion101	4
71	Onennon	4
71	Spacewardharpy7	4
71	tartanboy	4
71	FelixPSY375	4
80	JuckFuan	3
80	_Razaria	3
80	12Magner05	3
80	poopybh	3
80	Di_infiri	3
80	Akoot_	3
80	EveryonesUncle	3
80	Karbl	3
80	Dakar_	3
80	SingedBread	3
80	Razzgriz	3
80	Dogcorn69420	3
80	Skippeh	3
80	ConnorDanky_	3
80	jnp_gaming	3
80	xolstoi	3
96	BPTY4618	2
96	TooManyDuck	2
96	eitanzaki	2
96	WarHammer3	2
96	SpaceGrenadier	2
96	rarrq	2
96	Mercadies	2
96	Blackberry1310	2
96	Comma__	2
96	kekhon	2
96	zorin123	2
96	500am	2
96	Smashic	2
96	Motsaro	2
96	himak1	2
96	Inchef	2
96	Tjhodskins19	2
96	gcaisawesome	2
96	r123moore	2
96	TheWildMateo	2
96	seramalen	2
96	Lutres_	2
96	YungWali	2
96	SkateboardR6	2
96	CalebDHawk	2
96	Kferno	2
96	EcksD	2
96	Powowowow	2
96	TechnoNinja64	2
96	Jimb0nat0r	2
96	PlasticOtari	2
127	SmashingPump	1
127	Hpdinosaur	1
127	T045RTY	1
127	Mahoose	1
127	Euclidoris	1
127	catandmoose	1
127	SteveCraftBlocks	1
127	__TheNorseMan__	1
127	theonlymagikarp	1
127	mariominejedi	1
127	Jackattack53	1
127	Rumpletaezer	1
127	Solar_Power	1
127	Donutt	1
127	oscminus	1
127	AlexxO_o	1
127	TheShyPig	1
127	Rasmanden	1
127	TheTrueClipse	1
127	fw3xy74	1
127	AuroraSkies	1
127	_Bguette_	1
127	1442	1
127	claivin	1
127	weabis	1
127	Groundler	1
127	_k2x	1
127	Warlord324	1
127	LazySupport00	1
127	ItsJWolff	1
127	Cocoamallows	1
127	Eraxa	1
127	FadedSpade82	1
127	Kijiki	1
127	SammiWolfGirl	1
127	MissCeleste7	1
127	2blox_	1
127	FishisTTV	1
