rank	username	minecraft:used/minecraft:fern
1	500am	470
2	Smoke____	368
3	beeperbeeper5	258
4	lordpipe	254
5	Fullut	198
6	luseis	191
7	Ssor69	164
8	FreakGenius	143
9	Hyp3rion_	138
10	himak1	65
11	PlasticOtari	64
12	cedric72	63
12	xolstoi	63
14	SSytex_X	62
15	Cryptacity	59
16	El_Jalapeno	56
17	Cowison	53
18	orxngejuice	52
19	thewindmillman	46
20	rarrq	43
21	TheSecondLord	39
21	TheShyPig	39
23	Arceus1975	38
24	__Fanda__	36
24	wezzzi	36
24	lcvezra	36
27	Blu3beast	32
28	pintsizedrogue	31
28	Merv__	31
28	rotten_mango	31
31	SuperPooch06	25
32	Hiryu27	24
33	Chromary	21
33	SaintJosie	21
33	wwwwinnebagoooo	21
36	KarlKaek	20
36	Zielo2017PL	20
38	Shogunite	18
39	Steelynan	17
39	coobert42	17
41	epiksk8erduck	16
42	Mahoose	15
42	Elastiq	15
42	Deerfoot	15
45	HellsSponge	14
46	SammiWolfGirl	13
47	Maenara	12
47	valkam13	12
47	Inbefour	12
47	claivin	12
51	CoffeeNoir	11
51	joethahobo	11
51	Eraxa	11
54	Blackberry1310	10
54	RoofTyler	10
54	Kowcio_	10
57	xxPipperDipperxx	9
57	Marbz_	9
59	burbankbuilder28	8
60	_stets	7
60	titanlax	7
60	ProfessorBee	7
60	sp00ky_ghost977	7
60	Legendosh	7
65	Prismyst	6
65	Flucxks	6
65	EveryonesUncle	6
68	kekhon	5
68	Zythose	5
68	Skylord_Luke	5
68	Fildyr	5
68	UCP_TheKingK	5
73	cheerytomato	4
73	Dusk_95	4
73	PortlyPete69	4
73	CalebDHawk	4
73	diggydog67	4
78	XxCookiequeenxX	3
78	YungMaki	3
78	obzii	3
78	Skippeh	3
82	eitanzaki	2
82	ShedJr_	2
82	Notta	2
82	Avrelion	2
82	Jackattack53	2
82	AnnieBathory	2
82	Mistruth	2
82	MineMaster0012	2
90	bigstankyy	1
90	chrolus	1
90	SaucyDark	1
90	H72l9w	1
90	Adlair	1
90	surfinggiraffejp	1
90	Kubelz	1
90	prizm_	1
90	legal_tax_evader	1
90	NameGenerat0r	1
90	NebulousBadger	1
90	pixelviolin	1
90	Kyrum2169	1
90	Enderxz3	1
90	jnp_gaming	1
90	TechnoNinja64	1
90	bladeefan2009	1
