rank	username	minecraft:used/minecraft:lime_stained_glass
1	Hyp3rion_	15427
2	Spacewardharpy7	13105
3	beeperbeeper5	10271
4	Jackattack53	7470
5	MyNameIsJobo	7066
6	_Virify_	5911
7	FishisTTV	4094
8	noam464	3342
9	eitanzaki	2786
10	Lez_	1653
11	Inbefour	1646
12	AdmiralSmoke	950
13	Swexti	892
14	Manaateee	795
15	thewindmillman	706
16	NameGenerat0r	653
17	Fuad_R	633
18	mwrty	516
19	ROY4LE	451
20	El_Jalapeno	434
21	oreee	300
22	underscore_2	297
23	lordpipe	281
24	MineMaster0012	245
25	Groovy_MoonBird	242
26	pintsizedrogue	214
27	PortlyPete69	177
28	Werbe	172
29	Kowcio_	160
30	luseis	157
31	_Mythic____	134
32	IamCL4SSY	132
33	Racengan	131
34	EveryonesUncle	114
35	Groundler	112
36	pixelviolin	110
37	Spenduh	90
38	Wooptey	77
39	Fullut	72
40	500am	71
41	joethahobo	67
42	gcaisawesome	64
43	Mattesco	63
44	RoskobiOne	61
45	Kakolbus	41
45	The_slideV3	41
47	abramgray	38
48	AlexxO_o	31
49	Inchef	22
50	Notta	19
50	Snowflowe	19
50	Jimb0nat0r	19
53	KingMatthew506	18
54	Druid95	17
55	EcksD	14
56	ConnorDanky_	13
57	AuroraValkyrie	12
57	Akoot_	12
59	stavgod	11
60	Blackberry1310	9
61	xxPipperDipperxx	8
61	Rumpletaezer	8
61	little_dUki	8
64	SaucyDark	7
64	titanlax	7
64	Onennon	7
64	jnp_gaming	7
68	Merv__	6
68	Maenara	6
68	fffMike	6
68	Quotary	6
72	SaintJosie	5
72	masskedman	5
72	iSammael	5
75	CliffEmAll	4
75	lillips	4
75	ProfessorDiaper	4
75	MilleGrug	4
79	Pofen	3
79	rarrq	3
79	Smashic	3
79	F_Uhre	3
83	kekhon	2
83	SlayerCrypto	2
83	Di_infiri	2
83	MightyWertu	2
87	Jovaphobic	1
87	SmashingPump	1
87	Mahoose	1
87	Z3braYTIL	1
87	Chromary	1
87	Bumpy419	1
87	oscminus	1
87	PigDab	1
87	HellsSponge	1
87	claivin	1
87	Blu3beast	1
87	fluddd	1
87	Dogcorn69420	1
