rank	username	minecraft:used/minecraft:iron_axe
1	Freak_Genius	15475
2	2Stout	14730
3	_Dean_123	12734
4	bloodbiter	10035
5	m_be9	9162
6	BlancoFlaco	7546
7	anbbang	6799
8	Kowcio_	6689
9	pintsizedrogue	6587
10	Arceus1975	6516
11	RatatJuice	6268
12	Jahara	6014
13	Bandito_Roamer	5765
14	cowgirlkasia	5627
15	El_Jalapeno	5259
16	CalebDHawk	5120
17	Ardennes	4956
18	ewpunk	4845
19	KarlKaek	4677
20	_Cloverbelle_	4666
21	rarrq	4299
22	PeteO1995	4205
23	dopplexd	4168
24	Russiancat1	4148
25	Meatlaugh	4107
26	DanTheBuilderino	3996
27	SammiWolfGirl	3806
28	ooga47	3803
29	Lord_Jord	3791
30	TheShyPig	3778
31	EcksDofficial	3731
32	_Razar	3670
33	Deguns123	3658
34	OnlyOfficial	3654
35	ShedJr_	3624
36	Kamflame10	3603
37	himak1	3591
38	Di_infiri	3574
39	seanitoo	3547
40	Lord_Zacler	3540
41	Smoke____	3385
42	Fildyr	3316
43	_Boipl_	3290
44	Ssor69	3223
45	GingerNeutron	3198
46	djancak	3190
47	Legendosh	3061
48	Xclax101	3052
49	TechnoNinja64	2976
50	Paintz	2971
51	noam464	2943
52	IWorkAtIkea	2938
52	M_Patata	2938
54	MasterNueve	2935
55	joethahobo	2900
56	q_wq	2881
57	livingdaydreams	2862
58	Natty	2855
59	PortlyPete69	2835
60	SvenskaHugo	2821
61	purpolepickle	2817
62	Swexti	2794
63	Felenov	2782
64	whoaluv	2769
65	TheDankPlatypus	2759
66	seramalen	2752
67	Ezekson	2703
68	wobn	2647
69	PuFY	2616
70	SaucyDark	2564
71	xorompole	2525
72	Ze_BaronKrigler	2508
73	SLASHZEERA	2435
74	Ozixar	2431
75	PegLegPete93	2425
76	IAmTheWalrus910	2390
77	CharlieButt	2387
78	RyuNeko932000	2385
79	Negriuke	2374
80	Merv__	2370
81	Wolverine4302	2357
82	bruh072	2349
83	lcvezra	2336
84	Rumpletaezer	2325
85	cytotoxaint	2317
86	Slapface522	2290
87	rotten_mango	2285
88	epiksk8erduck	2279
89	ThatMan_Dave	2235
90	fallingemma	2223
91	Inbefour	2178
92	Harotio	2163
93	Historical_Sand	2158
94	Foof13	2118
95	Gingayy	2093
96	BlueZabu	2084
97	AvaRosey	2065
98	Katsuragi0243218	2064
99	DTwenty	2045
100	stahouo	2042
101	Powowowow	2035
102	teslawolf38	2032
103	FlashMigma	2021
104	Unitas_isa	2007
105	kinas45y5	2002
106	Kiki_Majiki	1967
107	NormanFetus	1941
108	monolu	1928
109	TheOnlyRake	1917
110	Typadopoulos	1900
111	AlexStrange	1895
112	Ryker	1887
113	Lowjinx	1858
114	Drewen24	1830
115	DarkS0L	1805
116	avalan64	1797
117	G1ldor	1795
118	Nekomin0	1751
119	beeperbeeper5	1750
120	GravitySaint	1725
121	6king6colt6	1717
122	jnp_gaming	1697
123	CheifJumbo	1693
124	WYFYoyo	1685
125	JESS_THE_RERE	1677
126	_Karmaa	1672
127	_stets	1659
127	Bumpy419	1659
129	toj__	1658
130	Blackberry1310	1653
131	Mr_Byzantine	1651
132	Akoot_	1645
133	Tobinator_007	1640
134	wiqor	1628
135	Gamergirl420628	1621
135	__tomato	1621
137	Deerfoot	1616
138	XxCookiequeenxX	1612
139	CoffeeNoir	1599
140	KeruNatsema	1578
141	DermeinUser	1555
142	Optiprimus	1554
143	HELLO_I_AM_BEAR	1553
144	Ecplosive	1545
145	Bazongoman	1541
146	07shiny	1518
147	Steelynan	1511
148	CrookedKaptain	1506
149	Cowison	1499
149	OfficerAnvil	1499
151	TableTim	1484
152	ratglock	1477
153	Leyna3	1471
154	_KuruKuru	1469
155	MightyWertu	1460
156	Kferno	1456
157	orxngejuice	1453
158	301851	1435
159	intropass	1434
160	Kakolbus	1425
160	MyNameIsJobo	1425
162	The11thDoctor	1379
163	Travasaur	1367
163	SuperPooch06	1367
165	12Magner05	1362
166	jaimshae	1351
167	monky_irl	1330
168	SpicyMeatballs	1319
168	Vetral1	1319
170	thgrocks	1314
171	bloomkieren	1313
172	Deathkob	1309
173	Kateesaur	1308
174	Njensen7	1301
175	ChocolatePepsi	1297
176	Covalents	1291
177	LilLizardWizard	1283
178	Matek_	1278
179	ori0le	1267
179	Human_Resource	1267
181	FirsTimeGamingTV	1259
182	KlausVonStiglitz	1258
183	DepressedCubic	1256
184	KomputerDude	1247
185	NoChumpChange	1241
186	dudcreeper	1218
187	BronkerBrum	1208
188	DrGrant	1201
189	Onennon	1200
190	Frozil12	1196
191	ItzYaBoiPicard	1193
192	wrinkledpiglet	1186
193	Tolhart	1185
194	JoCoLi	1183
195	awesomeoneme	1182
195	Kim_Jong_eel	1182
197	Jiminie	1173
198	TheFlfthHorseman	1167
199	Soul_Atreus	1165
200	KliBeast21	1150
201	SaltineDream	1142
202	Jij0	1135
203	picardred	1129
204	set67	1127
205	ProfessorDiaper	1124
206	youhjjhhhjj	1113
206	Fast_Turtle	1113
208	Paleshield	1108
209	Guillemet	1107
210	Jokerman369	1103
211	ehunt54	1101
212	Skylord_Luke	1099
213	elleparo	1079
214	jambvds	1076
215	pappaberg	1062
216	halfbakedlasagna	1059
217	redikul	1051
218	Sabby65	1050
219	Awyrlas	1048
219	CollinMH06	1048
221	Drawgirll	1047
222	Toiton	1045
222	Calbo_	1045
224	_k2x	1042
224	MeetTheWollo	1042
226	annoyingenderman	1036
227	chipklip	1033
227	Warlord324	1033
229	Austinizzle	1031
229	fkGrim	1031
231	TinMaster	1030
232	Lord_Doob	1022
233	Fuhrer_Teemo	1007
234	stickwhiskers	1000
235	Th6masss	996
236	MineMaster0012	987
237	crying_wolf_13	983
238	Fullut	979
