rank	username	minecraft:used/minecraft:horn_coral
1	Di_infiri	44
2	Hyp3rion_	31
3	12Magner05	28
4	_Dean_123	19
5	ImpavidArcher	16
5	beeperbeeper5	16
7	TheShyPig	14
8	lordpipe	12
9	Merv__	11
9	Legendosh	11
11	MattieHD	10
11	Fullut	10
13	Ssor69	9
14	Blackberry1310	8
15	AuroraValkyrie	7
15	Mahoose	7
15	500am	7
15	noam464	7
19	titanlax	6
19	Xalithia	6
19	The_slideV3	6
22	Skylord_Luke	5
22	__tomato	5
22	sebastiensaborio	5
22	KingMatthew506	5
26	kekhon	4
26	TheDankPlatypus	4
26	Fizznut909	4
26	lcvezra	4
26	SammiWolfGirl	4
31	Rumpletaezer	3
31	Blaiku	3
31	Quotary	3
34	Bandito_Roamer	2
34	Marbz_	2
34	Bumpy419	2
34	_Karmaa	2
34	El_Jalapeno	2
34	Blu3beast	2
34	Spacewardharpy7	2
34	YungMaki	2
34	Soplight	2
34	GlitchyPlate810	2
44	pintsizedrogue	1
44	bigstankyy	1
44	SaucyDark	1
44	TheSecondLord	1
44	eclipseboi	1
44	Inchef	1
44	MyNameIsJobo	1
44	_Cloverbelle_	1
44	aec9	1
44	audiocracked	1
44	Inbefour	1
44	XxCookiequeenxX	1
44	Jiminbub	1
44	KlausVonStiglitz	1
44	HellsSponge	1
44	NameGenerat0r	1
44	Xclax101	1
44	Dusk_95	1
44	SexcMf	1
44	PlasticOtari	1
44	diggydog67	1
