rank	username	minecraft:used/minecraft:rabbit_stew
1	Werbe	15
2	Akoot_	14
3	starbits140	13
4	youhjjhhhjj	9
5	xxPipperDipperxx	7
5	JESS_THE_RERE	7
7	Soplight	6
7	Luigipunch989	6
7	CalebDHawk	6
7	AdmiralSmoke	6
11	Dogbound	5
12	Zythose	4
13	ROY4LE	3
13	NomadicRobin_	3
13	HellsSponge	3
13	Steelynan	3
17	naser_0_0_	2
17	Merv__	2
17	Mahoose	2
17	Lez_	2
17	rarrq	2
17	Blackberry1310	2
17	Vadanite	2
17	kekhon	2
17	Timfinity4	2
17	noam464	2
17	fr_ser	2
17	Rumpletaezer	2
17	thewindmillman	2
17	Kynigito	2
17	TheShyPig	2
17	ese_wn_po	2
17	luseis	2
17	lolpoottoot	2
17	Enderxz3	2
36	pintsizedrogue	1
36	k_ce	1
36	catiefsm	1
36	_Virify_	1
36	LoveFroppy	1
36	KarlKaek	1
36	RatatJuice	1
36	Hpdinosaur	1
36	eitanzaki	1
36	T045RTY	1
36	Feersee	1
36	beeperbeeper5	1
36	FirsTimeGamingTV	1
36	Shadoko_	1
36	TheSecondLord	1
36	corvidpartyfor6	1
36	500am	1
36	Fullut	1
36	excelsionprime	1
36	paranoid_plant	1
36	mwrty	1
36	MyNameIsJobo	1
36	Jackattack53	1
36	oscminus	1
36	Waffleman258	1
36	fw3xy74	1
36	Deathkob	1
36	Tyrannosplart	1
36	Manaateee	1
36	claivin	1
36	FreakGenius	1
36	Blu3beast	1
36	Spacewardharpy7	1
36	lordpipe	1
36	geekbird	1
36	Kura2218	1
36	Eraxa	1
36	pixelviolin	1
36	Kowcio_	1
36	cxtch	1
36	xzvu	1
36	lcvezra	1
36	obzii	1
36	bitsplease	1
36	alderban107	1
36	FelixPSY375	1
36	Powowowow	1
36	Jimb0nat0r	1
36	PlasticOtari	1
36	xolstoi	1
36	h2p_emrld	1
