rank	username	minecraft:used/minecraft:iron_hoe
1	alanbleachdemon	45935
2	Di_infiri	13677
3	Yamdalorian	10518
4	Flex_Tape_Phil	8205
5	Spaghettatron	7373
6	luseis	6345
7	FreakGenius	4854
8	Mr_Byzantine	4194
9	RyuNeko932000	3347
10	PaperCanvas	3206
11	Ryan_GEMS	3123
12	MixerDixer	3076
13	eitanzaki	2776
14	shineh10	2660
15	djancak	2639
16	StinkyDiplomat	2595
17	nut_e	2514
18	RadarHz	2281
19	jaimshae	2155
20	kkatsuragi	1993
21	ApophisNova	1933
21	MyNamaSheff	1933
23	12Magner05	1847
24	JungeSchnauzer	1750
25	lpinfinity	1612
26	Xalithia	1600
27	Chromary	1587
28	burbankbuilder28	1567
29	rarrq	1547
30	DanTheBuilderino	1538
31	MisfitsMike	1536
32	excelsionprime	1455
33	Merv__	1418
34	Froste131	1384
35	q_wq	1332
36	Njensen7	1321
37	pintsizedrogue	1245
38	Dakar_	1192
39	TheShyPig	1189
40	MightyWertu	1181
41	picardred	1117
42	bruh072	1115
43	set67	1113
44	tuckerdoodle	1084
45	Awyrlas	1069
46	Lord_Jord	1059
47	taengoos	1038
48	fffMike	997
49	LordZacler	987
49	Lord_Zacler	987
51	Caribouse	971
52	ReSynced	961
53	_stets	960
54	Lez_	956
55	Barlycorn	955
56	Mistruth	953
57	KliBeast21	939
58	ZaneABrain	934
58	TheSecondLord	934
60	LeeMcGee30	922
61	TheThomas69	919
62	Akoot_	918
63	_TCARREIRA_	912
64	CrookedKaptain	887
65	ZeaBaron	886
66	EMC_	870
67	eviltunix	868
68	Voxin2K	861
69	PortlyPete69	839
70	Legendosh	834
71	hcb238	794
72	Decaying_Lotus	765
73	VersionD	764
74	TheDankPlatypus	761
75	El_Jalapeno	754
76	hermmm_	743
77	PegLegPete93	736
78	diggydog67	708
79	The11thDoctor	701
80	Blackberry1310	697
81	Sophia_Irene	645
82	Lorcout	644
83	SpartanNamor	632
83	brofrickcheaters	632
85	livingdaydreams	631
