rank	username	minecraft:used/minecraft:lily_of_the_valley
1	Legendosh	523
2	Mahoose	197
3	lordpipe	195
4	TheShyPig	76
5	500am	69
6	claivin	68
7	kekhon	62
8	Di_infiri	57
9	orxngejuice	47
10	Fullut	38
11	Ezekson	36
12	AnnieBathory	34
12	KeruNatsema	34
14	SaucyDark	33
15	jnp_gaming	31
16	Hyp3rion_	28
17	Freak_Genius	27
18	Merv__	25
19	titanlax	23
19	EcksDofficial	23
21	XxCookiequeenxX	21
22	pintsizedrogue	20
22	Wooptey	20
22	jaimshae	20
25	xxPipperDipperxx	19
25	AlexStrange	19
27	Smoke____	16
28	beeperbeeper5	15
28	Eraxa	15
30	Blackberry1310	14
30	DarlaMeow	14
32	Mimiir345	13
32	Chromary	13
32	EveryonesUncle	13
35	MrExplorer	12
36	Kubelz	11
36	burbankbuilder28	11
36	mountaingirl311	11
39	6king6colt6	10
39	Dali1465	10
39	wezzzi	10
39	NameGenerat0r	10
39	MightyWertu	10
44	ImpavidArcher	9
44	Arceus1975	9
44	YungMaki	9
44	sebastiensaborio	9
48	Xalithia	8
48	masskedman	8
48	lcvezra	8
48	TechnoNinja64	8
52	__tomato	7
52	stahouo	7
54	CoffeeNoir	6
54	rarrq	6
54	finbob5	6
54	Windo_licker	6
54	TheSeismicDuck	6
54	halfbakedlasagna	6
54	SammiWolfGirl	6
54	JasmineGK	6
62	Bandito_Roamer	5
62	eitanzaki	5
62	crying_wolf_13	5
62	Rumpletaezer	5
62	Jiminie	5
62	The_slideV3	5
62	Blu3beast	5
62	IdeallyGrey	5
62	RadarHz	5
62	PlasticOtari	5
72	Cowison	4
72	joethahobo	4
72	Marbz_	4
72	Kouridragon	4
72	Akoot_	4
72	ProfessorDiaper	4
72	oxfordschool	4
72	adiccting01	4
72	Freedrik	4
81	T045RTY	3
81	PegLegPete93	3
81	CharlieButt	3
81	Winklepicker279	3
81	TakeThis2UrGrave	3
81	gabriels543	3
81	CruncyIsTaken	3
81	fred870d	3
81	Mr_Gulle	3
81	Enderslayerxz3	3
81	MeetTheWollo	3
81	diggydog67	3
93	_Razar	2
93	Incinere	2
93	livingdaydreams	2
93	TheSecondLord	2
93	bloodbiter	2
93	XboxPanda	2
93	M_Patata	2
93	thewindmillman	2
93	Rebytre	2
93	Onennon	2
93	Shiirazuku	2
93	Waffleman258	2
93	Leyna3	2
93	Shogunite	2
93	Racengan	2
93	MasterNueve	2
93	Lirael42	2
93	Kyrum2169	2
93	Soplight	2
93	PortlyPete69	2
113	doopiyo	1
113	Mowelan	1
113	AuroraValkyrie	1
113	KarlKaek	1
113	neurotic_a	1
113	Begformurrcy	1
113	Dedalus36	1
113	1dss	1
113	Myszoaz	1
113	heckface	1
113	Stynxy	1
113	gilesmcriles	1
113	Chickenchaser2	1
113	AdvertisingMerc	1
113	Enigma0251	1
113	egglapras	1
113	Awyrlas	1
113	LotusProject	1
113	intropass	1
113	ROY4LE	1
113	gcaisawesome	1
113	noam464	1
113	mads388a	1
113	Orcus113	1
113	CarltheCuck	1
113	Rocco_Lane	1
113	The11thDoctor	1
113	NomadicRobin_	1
113	NoChumpChange	1
113	ese_wn_po	1
113	Holden_17	1
113	_Karmaa	1
113	MangoSalad316	1
113	bluefragmentt	1
113	Spacewardharpy7	1
113	KG1999	1
113	Poppy235	1
113	h2p_emrld	1
