rank	username	minecraft:used/minecraft:purpur_block
1	beeperbeeper5	18155
2	MilleGrug	8853
3	Yamdalorian	8135
4	YungMaki	2386
5	TheEnderMan548	2222
6	Mewar	1626
7	lordpipe	1602
8	m_be9	1409
9	masskedman	1188
10	bigstankyy	1077
11	Tyrannosplart	999
12	Nicserso	834
13	mwrty	795
14	PigDab	780
15	Blu3beast	555
16	diamondgolem35	540
17	brofrickcheaters	513
18	thewindmillman	490
19	Spacewardharpy7	439
20	Fullut	419
21	ProfessorBee	416
22	vandmanden	414
23	MightyWertu	376
24	6king6colt6	337
25	SellyZ	301
26	yulgur1	283
27	El_Jalapeno	279
28	oscminus	277
28	claivin	277
30	Manaateee	264
31	Donutt	251
32	FreakGenius	238
33	sp00ky_ghost977	235
34	WET_WET_WET	234
35	SmashingPump	197
36	Shogunite	181
37	Werbe	176
38	NameGenerat0r	167
39	Dogcorn69420	166
40	yheece	165
41	33sudo	162
42	thescout7	159
43	noam464	157
44	RoboTramp7865	154
45	Frozil20	147
46	Maenara	138
47	500am	125
48	Bandito_Roamer	122
49	luseis	116
50	Racengan	115
51	miramyu	113
52	ProbsNotNova	109
53	blackeemperor	107
54	SingedBread	105
55	Enderxz3	103
56	Lepthymo	102
57	hermmm_	93
58	Jackattack53	91
59	iSammael	87
60	Dakar_	84
61	lizardfightclub	83
61	Winston_Ingram	83
63	Inbefour	79
64	xzvu	77
65	eitanzaki	76
66	TheSecondLord	74
67	MyNameIsJobo	73
68	eiC_	69
68	Rumpletaezer	69
70	ABUSNA1996	67
71	surfinggiraffejp	63
72	Onennon	58
72	F_Uhre	58
74	CLG_Kata	57
74	Hisiste	57
76	Buuck_	55
77	jnp_gaming	54
78	Groundler	52
79	pintsizedrogue	50
80	Awyrlas	49
80	MustaLoordi	49
82	Iagoku	47
83	ROY4LE	46
83	Zaridey	46
85	Covalents	43
86	PhantomsGhost_	42
86	Napoleonpancake	42
86	AuroraValkyrie	42
86	tartanboy	42
90	T045RTY	41
91	fluddd	40
92	crying_wolf_13	37
92	PlasticOtari	37
94	joethahobo	36
95	set67	34
95	Kowcio_	34
97	Pumpkin_P_Patch	32
98	ssleepless	31
98	Blaiku	31
98	MissCeleste7	31
101	LeEricc	30
102	goldyx	29
102	ConnorDanky_	29
104	ItsJWolff	28
105	Mr_Byzantine	27
105	jushykins	27
105	mariominejedi	27
105	PortlyPete69	27
109	Historical_Sand	26
109	Di_infiri	26
109	wezzzi	26
109	HellsSponge	26
109	Xclax101	26
114	ShedJr_	25
114	Comma__	25
114	Hyp3rion_	25
117	poopybh	24
117	_k2x	24
117	Ezekson	24
120	TheShyPig	23
120	Barlycorn	23
120	_TCARREIRA_	23
123	legal_tax_evader	22
123	_Mythic____	22
125	Apollo_993	21
125	lorywithay	21
125	_Karmaa	21
125	laron58	21
129	Blackberry1310	20
129	OreTheBear	20
129	TheSeismicDuck	20
132	excelsionprime	19
132	MovingFish7	19
132	Segotep999	19
135	ECstardust	18
135	Mahoose	18
135	Rich_Kat	18
135	Secret_Canary	18
135	UrbanPlanningEx	18
135	annebolyn	18
141	__TheNorseMan__	16
141	Touched_Bread	16
141	Eczbox	16
141	Eczbek	16
145	Myszoaz	15
145	Zythose	15
145	LazySupport00	15
145	SkateboardR6	15
145	MakeHistory157	15
145	MustardSquid	15
151	SuperPooch06	14
151	Sral7	14
153	RebelAndroid	13
153	Inchef	13
155	__tomato	12
155	EcksD	12
157	chipklip	11
157	EMC_	11
157	kekhon	11
157	zorin123	11
157	AuroraSkies	11
157	wwwwinnebagoooo	11
157	Jimb0nat0r	11
164	H0UNDFRMH3LL	10
164	ActualPatbaf	10
164	Akoot_	10
164	MrQuanQuan	10
164	TechnoNinja64	10
169	SoftSix	9
169	gcaisawesome	9
169	Ecplosive	9
169	EveryonesUncle	9
173	Ryan_GEMS	8
174	EKUG	7
174	Euclidoris	7
174	Kakolbus	7
174	FishisTTV	7
178	TooManyDuck	6
178	Huwulling	6
178	eviltunix	6
178	Snowflowe	6
178	p4pillio	6
178	Powowowow	6
184	tuckerdoodle	5
184	akap47	5
184	12Magner05	5
184	CornOnTheCobalt	5
184	SammiWolfGirl	5
189	Groovy_MoonBird	4
189	livingdaydreams	4
189	JuuustYeet	4
189	Nicky_H225	4
189	MinttyFressh	4
189	catandmoose	4
189	himak1	4
189	Bumpy419	4
189	Ender_Souls	4
189	True_Clipse	4
189	fkGrim	4
189	geekbird	4
189	Kura2218	4
189	pixelviolin	4
189	Juh1s	4
189	Skippeh	4
205	q_wq	3
205	SaucyDark	3
205	BodaciousCake	3
205	ZaneABrain	3
205	CoffeeNoir	3
205	MattieHD	3
205	pr33tu	3
205	r123moore	3
205	bl1ss0	3
205	CollinMH06	3
205	HAIRYCLOUD626	3
205	RobotMinion101	3
205	Deodorante	3
205	emreknugrlu	3
205	OG_Songsee	3
205	Fizznut909	3
205	FelixPSY375	3
222	NatalieTW	2
222	TachibanaAkira	2
222	Sabby65	2
222	Franco093	2
222	Alteriity	2
222	MoistMicrowave	2
222	peach0s	2
222	Lez_	2
222	Scathra	2
222	Fullbit_	2
222	Tjhodskins19	2
222	Cellcorgi649	2
222	theonlymagikarp	2
222	Noah_Bez	2
222	XboxPanda	2
222	Krowuss	2
222	AlexxO_o	2
222	DrProfAwesome	2
222	groofles	2
222	ADEXTV	2
222	Wowful	2
222	501g	2
222	BumbleBeever	2
222	Druid95	2
222	stellarjay	2
222	Kferno	2
222	Dreamdbr14	2
222	Steelynan	2
222	Quotary	2
222	2blox_	2
222	skitzxo	2
253	jirayatoad12	1
253	dabloons	1
253	Merv__	1
253	powercas_gamer	1
253	TonyS7ark	1
