rank	username	minecraft:used/minecraft:oak_slab
1	TheShyPig	5755
2	Groovy_MoonBird	5288
3	KingMatthew506	5270
4	Frozil12	4548
5	Spacewardharpy7	4523
6	Shogunite	4408
7	Mahoose	4336
8	CoffeeNoir	4139
9	El_Jalapeno	3844
10	jacxhadow	3274
11	Onennon	3253
12	MixerDixer	3204
13	rarrq	2766
14	PigDab	2711
15	Ssor69	2663
16	Freak_Genius	2327
17	MyNameIsJobo	2310
18	seanitoo	2299
19	Mr_Byzantine	2259
20	Matemaks2137	2081
21	MightyWertu	1855
22	thescout7	1846
23	Steelynan	1764
24	EMC_	1730
25	Megarboh	1697
26	_Dean_123	1696
27	HellsSponge	1585
28	Lord_Jord	1332
29	_Karmaa	1292
30	KingFaenor	1272
31	EveryonesUncle	1268
32	diggydog67	1237
33	AuroraSkies	1235
34	Jiminie	1191
35	MrExplorer	1176
36	Aangezet	1171
37	joethahobo	1151
38	ItzYaBoiPicard	1132
39	SammiWolfGirl	1127
40	FishyBoy3811	1115
41	Sqwishy	1030
42	Smoke____	994
43	Smashic	975
44	Merv__	954
45	Ezekson	944
46	youhjjhhhjj	936
47	Zaridey	912
48	anbbang	909
49	Bumpy419	903
50	PlasticOtari	868
51	DeeDeeThonk	862
52	CharlieButt	849
53	oxfordschool	848
54	fkGrim	771
55	Stiar	754
56	Fildyr	747
57	Ecplosive	741
58	Snowflowe	740
59	AlphaWolfPlaysMC	719
60	kekhon	713
61	SSytex_X	671
62	KGTV	665
63	The11thDoctor	659
64	Mimiir345	646
65	Choco_Spy	634
66	yaboo88	620
67	ImpavidArcher	618
68	BlancoFlaco	612
69	TheSecondLord	609
70	beeperbeeper5	607
71	NoChumpChange	603
72	Quotary	601
73	natajimi	596
74	fr0stss	591
75	Kukkelikuk	571
76	Segotep999	565
77	q_wq	562
78	m_be9	521
79	bruh072	495
80	Rumpletaezer	486
81	Paleshield	484
82	Jimi7hits	477
83	KarlKaek	466
84	Syropatathe	463
85	Hiryu27	461
86	stickwhiskers	460
86	YungMaki	460
88	ogoa	455
89	6king6colt6	448
90	Ev0luti0nz	442
91	kyouma777	440
92	laron58	435
93	SteveCraftBlocks	433
94	angeles1234	432
94	ProbsNotNova	432
96	Calbo_	428
97	Legendosh	422
98	The_slideV3	418
99	Blackberry1310	417
100	ItsDeltaMC	413
101	Di_infiri	410
102	ProfessorDiaper	409
103	TheThomas69	408
103	CalebDHawk	408
105	pintsizedrogue	400
105	Racengan	400
107	PortlyPete69	397
108	Chayula	393
109	MousePlays	386
110	07shiny	384
111	_Virify_	381
111	MangoSalad316	381
113	CSG_Haru	375
114	BodaciousCake	368
115	Winklepicker279	358
116	ProfessorBee	346
117	Akoot_	344
118	hcb238	335
119	Rebytre	333
120	Travasaur	332
121	mwrty	331
122	bndo	330
123	Aatronix1	324
124	SvenskaHugo	315
125	Gingayy	309
126	ReyTheLegend	305
127	500am	302
128	dopplexd	299
128	xxPipperDipperxx	299
130	0nly_sn1per	297
131	Donutt	296
131	MovingFish7	296
133	ClemenPine	294
134	BreadBacon	293
135	TheDiamondCG	284
136	Jackattack53	282
137	teslawolf38	279
138	CarryLine	278
139	GingerNeutron	272
140	slkiey	271
140	Xclax101	271
142	stellarjay	269
143	NebulousBadger	268
144	Barlycorn	267
145	TheMaster972	263
146	ToastedGamingYT	262
147	Incinere	260
147	Karetoko	260
147	AvaRosey	260
147	Soul_Atreus	260
151	ratglock	259
152	Mowelan	257
153	benediktine1	256
153	LordAurum	256
155	DaviusMaximoose	251
156	Fuhrer_Teemo	250
157	ergoalias	246
158	chlorinex	244
158	Prodiginus	244
160	Dan_Scha	233
161	livingdaydreams	232
162	Northernrabbit	230
163	TheRoboSock	229
164	Ozixar	224
165	DarkS0L	222
165	mediumBev	222
167	theofiel	221
168	Yatitay	218
169	Skippeh	216
170	Kateesaur	213
171	RobotMinion101	212
172	weezygator	208
173	xo_Marren_xo	206
174	Ravenbie	205
174	Shoutur1	205
176	BlankityMcBlank	204
177	TJawesome09	203
178	Z3braYTIL	201
178	epiksk8erduck	201
180	DepressedCubic	198
181	LilLizardWizard	197
182	Th6masss	195
183	mimbo1211	194
184	Blu3beast	193
184	EcksD	193
186	Nicky_H225	188
187	Freeman666	184
188	UCP_TheKingK	179
189	Luigipunch989	178
190	jaimshae	174
191	Diavri	173
191	bluefragmentt	173
193	JMK208	172
194	Vellu21	170
195	Steven1282598	168
195	Eraxa	168
197	LilcoinXX	165
198	funnyblitz123	163
198	phomic	163
200	sammidk	161
201	Arceus1975	159
201	blimpeey	159
201	Oxygen16	159
204	Ch4osDoom64	157
205	beeleg	153
206	SaucyDark	152
206	ShedJr_	152
208	Smaldo	151
209	Malorn_Aetherius	150
210	Hyugo	147
211	KartivGal	146
212	toj__	145
213	SkateboardR6	144
214	jjettii	141
215	DC_XII	140
216	PlzNoBM	139
216	Catharsist	139
218	knzil	133
219	ccormacs	132
219	Kowcio_	132
221	Drewen24	129
222	whoaluv	127
223	Iagoku	126
223	eitanzaki	126
225	ApophisNova	125
225	Kferno	125
225	MyNamaSheff	125
228	DrGrant	124
228	AltnumberF4	124
228	Deliriohm	124
231	00000000-0000-0000-0009-01f898304150	123
232	Norrhede	122
232	DemTechAlpha	122
232	lordpipe	122
235	SDMNAEK	121
235	magmaniacmc	121
235	Deathkob	121
238	TheDefiantDragon	120
239	TitanCrafting	117
240	sarahlynn00	114
240	Deerfoot	114
242	Fullut	113
242	Shin69	113
244	NomadicRobin_	112
245	SpaceGrenadier	108
245	Lord_Zacler	108
245	SquidZooka2	108
248	titanlax	107
248	JollyDroopy52	107
248	Freedrik	107
251	AnnieBathory	105
252	WET_WET_WET	103
