rank	username	minecraft:used/minecraft:mud
1	oscminus	4405
2	Mr_Byzantine	1816
3	Mattesco	1467
4	Enderxz3	1450
5	pintsizedrogue	868
6	PlasticOtari	629
7	k_ce	299
8	pixelviolin	224
9	luseis	170
10	Elastiq	165
11	Apollo_993	95
12	Mahoose	58
12	Nicserso	58
14	Huwulling	55
15	mihimihimihi	52
16	non089	50
17	SOA1RR	38
17	Manaateee	38
17	MadmanRaven	38
20	_i_ERROR_i_	35
21	ECstardust	34
22	jessewegottacook	32
23	AstreaTSS	30
24	Hyp3rion_	28
25	Soplight	26
26	T045RTY	22
27	Merv__	21
28	thewindmillman	20
29	j5ylim	19
30	corvidpartyfor6	18
31	EMC_	17
32	Di_infiri	14
33	Jackattack53	13
34	Jimb0nat0r	11
35	Steelynan	8
36	MineMaster0012	6
37	Kowcio_	4
38	SmashingPump	3
38	12Magner05	3
38	AdmiralSmoke	3
41	rarrq	2
41	excelsionprime	2
41	Marbz_	2
41	LeonelSalamanca	2
41	Druid95	2
46	Lez_	1
46	Da_Boss_Rani	1
46	TheDankPlatypus	1
46	Dakar_	1
46	Avocadogerms	1
46	ItsDeltaMC	1
46	StarCookiees_	1
