rank	username	minecraft:used/minecraft:light_gray_stained_glass
1	joethahobo	13485
2	Blaiku	13010
3	mwrty	6465
4	eitanzaki	4783
5	Inbefour	4602
6	Snowflowe	3551
7	ImpavidArcher	3029
8	MilleGrug	2401
9	Jackattack53	2248
10	TheSecondLord	2154
11	Winklepicker279	2097
12	Mattesco	2093
13	thewindmillman	2069
14	EngagedGrub41	2054
15	T045RTY	1740
16	Mahoose	1471
17	MixerDixer	1292
18	Enderxz3	1152
19	Kakolbus	1141
20	noam464	1119
21	Historical_Sand	726
22	EcksD	714
23	500am	695
24	Groundler	694
25	PlasticOtari	611
26	h2p_emrld	543
27	jacxhadow	535
28	Di_infiri	519
29	Merv__	498
30	Quotary	441
31	Smoke____	437
32	beeperbeeper5	426
33	Soplight	402
34	TheShyPig	378
35	ROY4LE	318
35	lordpipe	318
37	oreee	307
38	Arceus1975	298
39	Cowison	269
40	The_SlideV5	216
41	ProfessorBee	178
42	Rumpletaezer	164
43	Hermanni__	160
44	Fuad_R	159
45	M_Patata	156
46	MasterNueve	154
47	Optiprimus	151
48	ZoomieZoomie	150
49	The_slideV3	147
50	Tyrannosplart	146
51	Marbz_	138
52	thescout7	133
52	LeauVox4921	133
54	Bandito_Roamer	111
55	Spacewardharpy7	107
56	Incinere	98
57	Blackberry1310	96
58	XxCookiequeenxX	91
59	pintsizedrogue	90
59	Alteriity	90
61	BlancoFlaco	89
62	luseis	88
63	IamCL4SSY	71
64	MattieHD	70
65	Frozil20	67
66	Wowful	66
67	pappaberg	64
67	xolstoi	64
69	Notta	62
70	m_be9	59
71	Eraxa	56
72	Hyp3rion_	55
73	Da_Boss_Rani	54
73	MyNameIsJobo	54
75	OfficerAnvil	51
76	olliebollie48	50
76	Steelynan	50
78	wezzzi	48
78	iSammael	48
80	Sral7	44
81	ApophisNova	36
81	MakeHistory157	36
81	MyNamaSheff	36
84	NotMeanttoChange	31
84	Zoeyfortnite	31
86	Fullut	25
87	gusstationwerker	23
88	fffMike	20
89	The_Quack_Dealer	18
90	Mythic1130	17
91	Akoot_	15
92	Solar_Power	14
92	Rebytre	14
94	RobotMinion101	13
95	EMC_	11
96	YungMaki	10
97	xxPipperDipperxx	8
97	Maenara	8
97	Deathkob	8
100	titanlax	7
100	SammiWolfGirl	7
102	bbrothers_5	6
102	Lord_Jord	6
104	Skylord_Luke	5
104	lillips	5
106	CadenSteele	4
106	AuroraValkyrie	4
106	CliffEmAll	4
106	emrekn	4
106	fr_ser	4
106	gabriels543	4
106	sp00ky_ghost977	4
106	obzii	4
106	Skippeh	4
106	Legendosh	4
116	PhantomsGhost_	3
116	TechnoNinja64	3
118	_Virify_	2
118	rarrq	2
118	burbankbuilder28	2
118	FishyBoy3811	2
118	binman420	2
118	MAns_44	2
118	fluddd	2
118	Kowcio_	2
118	jnp_gaming	2
127	NatalieTW	1
127	hm947	1
127	MrExplorer	1
127	gcaisawesome	1
127	King_Pancake1	1
127	yulgur1	1
127	masskedman	1
127	claivin	1
127	FreakGenius	1
127	El_Jalapeno	1
127	Hisiste	1
127	__tomato	1
127	xzvu	1
127	MirielThePastor	1
