rank	username	minecraft:used/minecraft:redstone_block
1	noam464	10429
2	Di_infiri	6587
3	Jackattack53	6077
4	thewindmillman	5916
5	Zythose	4331
6	Enderxz3	3504
7	Spacewardharpy7	3156
8	eitanzaki	3111
9	Hyp3rion_	2829
10	Krowuss	2537
11	HellsSponge	2447
12	Blaiku	1901
13	joethahobo	1779
14	Huwulling	1620
15	YungMaki	1464
16	PigDab	1249
17	EcksD	1227
18	mwrty	1073
19	Lez_	1054
19	thescout7	1054
21	beeperbeeper5	795
22	lordpipe	754
23	Werbe	745
24	AdmiralSmoke	704
25	mihimihimihi	625
26	MightyWertu	547
27	Comma__	495
28	500am	442
29	xxPipperDipperxx	423
30	Snowflowe	420
31	m_be9	397
32	RoboTramp7865	375
33	G1ldor	365
33	EveryonesUncle	365
35	_Mythic____	352
36	CattSoup	339
37	Sral7	314
38	TechnoNinja64	310
39	TheShyPig	305
40	EMC_	288
41	Kakolbus	278
42	PortlyPete69	254
43	ediballbearings	251
44	SammiWolfGirl	235
45	hanaryheatwave	230
46	fffMike	229
47	Eczbek	228
48	Blu3beast	215
49	Manaateee	211
50	Kowcio_	207
51	FreakGenius	205
52	ApophisNova	204
52	MyNamaSheff	204
54	ConnorDanky_	201
55	Rebytre	200
55	Rasmanden	200
57	MoistMicrowave	197
58	PazinGaming	196
59	Soplight	191
60	Lord_Jord	189
61	IamCL4SSY	187
62	MilleGrug	170
63	FishyBoy3811	169
64	Hiryu27	168
65	T045RTY	166
65	Quincannon	166
67	Eczbox	161
68	Mahoose	160
69	Groundler	157
70	obzii	151
71	jnp_gaming	146
72	MrSSoaper	135
73	Akoot_	133
73	Inbefour	133
73	FishisTTV	133
76	RebelAndroid	132
77	PlasticOtari	130
78	oscminus	128
78	claivin	128
80	_Virify_	127
81	eviltunix	126
81	BumbleBeever	126
83	kekhon	125
84	El_Jalapeno	122
85	soundad	120
85	Solar_Power	120
87	pr33tu	117
88	vandmanden	109
89	Alteriity	107
90	DemTechAlpha	106
91	Xclax101	101
92	rarrq	100
93	Motsaro	97
93	groofles	97
93	WyngGoy	97
96	sp00ky_ghost977	96
96	Powowowow	96
98	Frozil20	95
98	xolstoi	95
100	Myszoaz	93
101	ImpavidArcher	91
102	Historical_Sand	86
102	Hisiste	86
104	emrekn	85
104	MakeHistory157	85
106	q_wq	81
106	pixelviolin	81
108	gcaisawesome	79
108	Smiguli_	79
110	jessewegottacook	78
111	lotarp	77
111	12Magner05	77
113	Njensen7	76
114	MattieHD	74
115	Ryan_GEMS	73
116	sufjanlover	70
117	Lunkuku	68
118	pintsizedrogue	66
118	IgnoredBee	66
120	Nycteus_	64
121	fr0stss	63
121	Winklepicker279	63
121	1442	63
124	Blackberry1310	62
125	Ezekson	61
126	Rumpletaezer	59
127	InfernalMound	57
127	_Karmaa	57
127	NameGenerat0r	57
130	Secret_Canary	55
130	Skylord_Luke	55
132	MyNameIsJobo	54
133	Touched_Bread	53
134	ClemenPine	51
134	07shiny	51
134	Kyrum2169	51
134	Quotary	51
138	diamondgolem35	50
138	Ozixar	50
140	eiC_	48
140	benediktine1	48
140	ayamefag	48
143	MirielThePastor	47
144	Zoeyfortnite	45
145	Prismyst	44
146	Jij0	43
147	RoskobiOne	42
148	Awyrlas	41
148	lillips	41
150	censorsheep	40
151	ssleepless	39
151	yulgur1	39
151	Dakar_	39
151	Teebone15	39
155	bigstankyy	38
156	NomadicRobin_	37
156	TheSeismicDuck	37
156	__tomato	37
156	KingMatthew506	37
160	Vizzoid	36
160	JESS_THE_RERE	36
162	zToasty69z	35
162	Fuad_R	35
162	Factoroni	35
165	TooManyDuck	34
165	H72l9w	34
165	lorpus	34
168	Kkanot	32
168	fkGrim	32
170	ProfessorBee	31
170	DarlaMeow	31
170	The_slideV3	31
173	teslawolf38	30
173	Malorn_Aetherius	30
173	AstreaTSS	30
176	XHectorSalamanca	29
176	audiocracked	29
176	Nicserso	29
176	HesDemonPants	29
180	bloodbiter	28
180	HolyVenom	28
180	MustaLoordi	28
180	SkateboardR6	28
184	MinttyFressh	27
184	_Dean_123	27
184	Deathkob	27
187	excelsionprime	26
187	CharlieButt	26
187	BlueZabu	26
187	Marbz_	26
187	StinkyDiplomat	26
187	Vorlice	26
187	Kijiki	26
187	Steelynan	26
187	UrbanPlanningEx	26
187	Jimb0nat0r	26
197	tsitrawhy	25
198	Jackster03	24
198	SteveCraftBlocks	24
198	Covalents	24
198	Kubelz	24
198	pappaberg	24
198	Leyna3	24
198	Elastiq	24
198	wwwwinnebagoooo	24
198	OfficerAnvil	24
207	ShedJr_	23
207	weabis	23
207	Spenduh	23
207	EngagedGrub41	23
211	Doom_melon	22
211	DTwenty	22
211	Quaintster	22
214	MAns_44	21
214	little_dUki	21
214	skrongus	21
217	TheThomas69	20
217	Wowful	20
217	Barlycorn	20
217	LeeMcGee30	20
221	PhantomsGhost_	19
221	the_russell1611	19
223	ROY4LE	18
223	Jordan_R	18
225	SaucyDark	17
225	Chromary	17
225	Arceus1975	17
225	Onennon	17
225	GoofyBread	17
225	OffWithTheirHead	17
225	PlzNoBM	17
225	h2p_emrld	17
233	r123moore	16
233	Luminad3	16
233	fw3xy74	16
233	Darkgon	16
233	Steve897	16
233	Racengan	16
233	non089	16
240	Ssor69	15
240	FirsTimeGamingTV	15
240	mariominejedi	15
240	yheece	15
240	Soap_Bender	15
240	SingedBread	15
240	Eraxa	15
247	SyK7	14
247	Smashic	14
247	luseis	14
247	Bloo2406	14
247	FadedSpade82	14
247	Dreamdbr14	14
247	00000000-0000-0000-0009-01f80c5e9346	14
254	Groovy_MoonBird	13
254	AuroraValkyrie	13
254	Houstonion	13
254	DAD_1996	13
254	LexMakesHistory	13
254	stavgod	13
254	starbits140	13
254	Sheldor097	13
254	Legendosh	13
263	Merv__	12
263	CoffeeNoir	12
263	Inchef	12
263	Mewar	12
263	M_Patata	12
263	domagawha	12
263	LilLizardWizard	12
263	MasterNueve	12
271	Jovaphobic	11
271	Crowman1	11
271	RIPB0ZO	11
271	thebaddruid	11
271	Bumpy419	11
271	masskedman	11
271	Warlord324	11
271	MineMaster0012	11
271	Dogcorn69420	11
271	jcool7	11
271	Tristankill	11
282	ECstardust	10
282	Reamdin	10
282	Euclidoris	10
282	carloselpapii	10
282	Voxin2K	10
282	RobotMinion101	10
282	Jimi7hits	10
282	Pickel_Lord	10
282	yatsuta	10
291	H0UNDFRMH3LL	9
291	PegLegPete93	9
291	SlayerCrypto	9
291	Donutt	9
291	Tyrannosplart	9
291	Fildyr	9
291	iSammael	9
298	ColeSnyder	8
298	noodlepack	8
298	ImDisconnected_	8
