rank	username	minecraft:used/minecraft:beetroot_seeds
1	SpacesickPrism	11139
2	FreakGenius	8106
3	bloodbiter	6333
4	Di_infiri	5966
5	TheShyPig	4043
6	TechnoNinja64	3752
7	Snowflowe	2901
8	Mahoose	2810
9	RadarHz	2106
10	Kim_Jong_eel	1879
11	thgrocks	1676
12	pintsizedrogue	1594
13	beeperbeeper5	1580
14	NormanFetus	1472
15	Skippeh	1441
16	kekhon	1417
17	Njensen7	1398
18	Rumpletaezer	1359
19	RebelAndroid	1254
20	MonitorLizards	1162
21	Comma__	1158
22	PegLegPete93	1147
23	ActualPatbaf	1032
24	Kakolbus	1018
25	ProfessorBee	1015
26	Mowelan	996
27	eitanzaki	954
28	Blackberry1310	928
29	AdmiralSmoke	916
30	Werbe	888
31	luseis	883
32	Merv__	859
33	noam464	812
34	m_be9	763
35	EMC_	734
36	Lord_Jord	658
37	UrbanPlanningEx	648
38	ApophisNova	646
38	MyNamaSheff	646
40	WYFYoyo	639
41	Darkgon	612
42	youhjjhhhjj	611
43	BobDeBouwer1337	602
44	Voxin2K	595
45	HellsSponge	562
46	MineMaster0012	517
47	KarlKaek	503
48	xolstoi	502
49	CoffeeNoir	490
50	El_Jalapeno	481
51	Fullut	422
52	LordAurum	415
53	Akoot_	409
54	lcvezra	395
55	TheSecondLord	365
56	Ezekson	361
57	ItsAki_	359
58	GingerNeutron	326
59	DanTheBuilderino	323
60	Windo_licker	319
61	Mr_Byzantine	305
62	MyNameIsJobo	284
63	UncreativeArtist	282
64	UltimuShadow	275
65	rachcl	271
66	Warlord324	267
67	Manaateee	262
68	Cortexia	259
69	thescout7	245
70	UMosDiesIrae	244
70	SammiWolfGirl	244
72	6king6colt6	232
72	Dogcorn69420	232
74	Xclax101	230
75	Joestra	228
76	SaucyDark	218
77	Kubelz	214
78	Killercatty78	212
79	KlausVonStiglitz	201
80	Malorn_Aetherius	198
81	Marbz_	196
82	Tobinator_007	179
83	Hpdinosaur	177
84	striker90333	176
85	_TCARREIRA_	173
86	shdesolt	170
87	MAns_44	167
88	thewindmillman	166
89	joethahobo	159
90	Ailmast	158
90	Typadopoulos	158
92	cedric72	157
93	Russiancat1	154
93	PlasticOtari	154
95	smogfrog	149
96	Deguns123	148
97	jewbacaman	145
98	Shadow4381	142
99	killmeiamtraitor	135
100	q_wq	128
100	StinkyDiplomat	128
102	Prismyst	127
103	platinumzero	124
104	AJplaysMC_	123
105	Skylord_Luke	117
106	peach0s	116
106	Ssor69	116
106	cytotoxaint	116
109	bloomkieren	110
110	FirsTimeGamingTV	107
111	xxPipperDipperxx	105
111	aldplaysmc	105
111	CalebDHawk	105
114	LeeMcGee30	104
115	Legendosh	103
116	Maenara	101
117	CaptainDeadBread	100
117	sufjanlover	100
119	Spacewardharpy7	99
119	Segotep999	99
121	Smashic	98
122	Blaiku	97
123	BumbleBeever	93
124	Studyhallsaver	92
125	Bad_At_Names_Guy	91
125	oscminus	91
127	HollieDaNugget	90
127	Prodiginus	90
129	TiborSterle	89
130	MS_Pryxx	87
131	LitoDelvito	86
132	Purplehere	85
133	SPUDonSTEROIDS	84
133	Jimb0nat0r	84
135	whoaluv	82
136	KingFaenor	80
136	Septemb3r	80
136	BreadBacon	80
139	SlavBylat	78
139	Dali1465	78
139	Bumpy419	78
142	FadedSpade82	77
143	Dakar_	76
144	_Nuf	74
144	Matek_	74
144	Barlycorn	74
144	MadmanRaven	74
148	TheALV	70
149	ReflexCode	68
149	Steelynan	68
151	ItsMrRamen	67
151	Shiirazu	67
151	_Cloverbelle_	67
151	ILoveCarrot	67
151	Ripzch	67
151	mobunni	67
157	wiqor	66
158	I_Am_Mushkin	65
159	jacxhadow	64
160	SpicyMeatballs	62
161	stuy9	61
162	Zythose	60
162	Fakiuss	60
164	ECstardust	59
164	KeruNatsema	59
164	wwwwinnebagoooo	59
167	TakeThis2UrGrave	58
167	TrollerYT	58
169	Drewen24	57
170	Otarichi	56
170	Toriankel	56
170	FormulaNewt3627	56
173	claivin	55
174	tobinwilliams	54
174	The_slideV3	54
176	Sharkbyte0	53
177	eiC_	52
178	MoistMicrowave	51
178	Zoeyfortnite	51
180	Tiberonus	50
180	Meatlaugh	50
182	marumochis	49
182	BuildTheGondola	49
184	Ze1ig	48
184	ewsophie	48
184	FGamerJ	48
187	Bandito_Roamer	47
187	virtual_acid	47
187	wfk7	47
190	heckface	46
191	bearlystraight	45
191	yulgur1	45
193	Lez_	44
