rank	username	minecraft:used/minecraft:magenta_dye
1	TheWickedBird	109
2	Hyp3rion_	54
3	PaperCanvas	19
4	TheSecondLord	17
5	Mattesco	6
5	PlasticOtari	6
7	MAns_44	4
8	Olib3ar	3
8	Avocadogerms	3
8	lordpipe	3
11	bl1ss0	2
11	Buuck_	2
11	Kowcio_	2
11	robonya_	2
15	beeperbeeper5	1
15	Sleepy_Evelyn	1
15	craaaash	1
15	U_Mos_	1
15	SvenskaSara	1
15	Mr_Sun15	1
15	KeruNatsema	1
15	parodypatient	1
15	XxCookiequeenxX	1
15	EveryonesUncle	1
15	luseis	1
15	emreknugrlu	1
15	Manaateee	1
15	thatsjustfrankie	1
15	SingedBread	1
15	CacheOut	1
15	Pumpkin_P_Patch	1
