rank	username	minecraft:used/minecraft:light_blue_concrete_powder
1	lordpipe	3935
2	TheSecondLord	2686
3	RoboTramp7865	1928
4	Groovy_MoonBird	1747
5	Frozil12	1453
6	ssleepless	1301
7	Merv__	1232
8	beeperbeeper5	1211
9	500am	1099
10	YungMaki	1040
11	Di_infiri	1025
12	lcvezra	632
13	Blackberry1310	524
14	noam464	522
15	Legendosh	518
16	Spacewardharpy7	513
17	Hoid_the_Roamer	512
17	Nicserso	512
19	Smoke____	455
20	Onennon	442
21	_Dean_123	390
22	Mahoose	368
23	ROY4LE	352
24	diamondgolem35	311
25	EMC_	300
26	pintsizedrogue	284
27	mwrty	273
28	_NieToksikpl_	256
29	Blaiku	240
30	TheShyPig	217
31	thewindmillman	216
32	joethahobo	213
33	oxfordschool	207
34	Winston_Ingram	192
35	SammiWolfGirl	175
36	Rumpletaezer	161
37	Akoot_	159
38	Eraxa	155
39	fluddd	144
40	LordSpeed37	141
41	ImpavidArcher	131
42	Iagoku	129
43	Notta	128
44	claivin	125
45	El_Jalapeno	124
46	MightyWertu	116
47	PlasticOtari	113
48	Dusk_95	104
49	Arceus1975	94
50	MakeHistory157	93
51	AuroraValkyrie	92
52	Steelynan	87
53	Bumpy419	65
54	Maenara	64
54	Kowcio_	64
54	TechnoNinja64	64
57	the_russell1611	61
58	SteveCraftBlocks	55
59	XLIFluid	45
60	TheBiggestFeller	41
61	HellsSponge	37
62	Miko_Fullbuster	36
63	Werbe	31
64	fr_ser	29
65	Enderslayerxz3	26
66	jnp_gaming	25
67	Ezekson	24
68	eitanzaki	22
68	Fullut	22
70	fkGrim	21
71	ShedJr_	18
71	bloodbiter	18
73	Deathkob	16
74	lillips	14
74	kinas45y5	14
76	6king6colt6	12
76	Sral7	12
78	Dreamdbr14	11
79	EcksD	9
80	Rebytre	8
80	Lord_Jord	8
80	Groundler	8
80	sp00ky_ghost977	8
84	kekhon	7
84	Hermanni__	7
86	Chromary	4
87	brofrickcheaters	2
88	youhjjhhhjj	1
88	gcaisawesome	1
88	Chrisdeadeye	1
88	MousePlays	1
88	h2p_emrld	1
