rank	username	minecraft:used/minecraft:end_stone_brick_stairs
1	mwrty	1762
2	Mewar	873
3	NomadicRobin_	645
4	joethahobo	636
5	fkGrim	387
6	Elastiq	382
7	PigDab	250
8	Steelynan	223
9	m_be9	219
10	diamondgolem35	155
11	mihimihimihi	127
12	burbankbuilder28	107
13	Mahoose	81
14	TheEnderMan548	79
15	Ezekson	76
16	YungMaki	70
17	SuperPooch06	60
17	jcool7	60
19	Smoke____	57
20	500am	52
21	12Magner05	47
22	eitanzaki	46
23	Racengan	44
24	Incinere	41
25	MinttyFressh	38
26	Blu3beast	36
27	Akoot_	34
28	KarlKaek	33
29	Merv__	31
29	6king6colt6	31
29	PlasticOtari	31
32	Kowcio_	27
33	claivin	23
34	Arceus1975	20
35	brofrickcheaters	17
36	MyNameIsJobo	12
37	Nicserso	10
38	beeperbeeper5	9
38	NameGenerat0r	9
40	elicobnoah	8
40	AuroraValkyrie	8
40	noam464	8
40	eiC_	8
44	TheShyPig	7
45	thewindmillman	6
46	pintsizedrogue	5
46	RoofTyler	5
48	Rich_Kat	4
48	EcksD	4
50	John6970	3
51	SmashingPump	2
51	catandmoose	2
51	Onennon	2
51	luseis	2
51	Tyrannosplart	2
51	DemTechAlpha	2
51	Shogunite	2
58	_stets	1
58	eclipseboi	1
58	Di_infiri	1
58	WET_WET_WET	1
58	_Karmaa	1
58	Quaintster	1
58	fluddd	1
58	Spacewardharpy7	1
58	Kubeusz2010	1
