rank	username	minecraft:used/minecraft:cut_copper
1	thewindmillman	851
2	beeperbeeper5	551
3	Mattesco	281
4	Steelynan	268
5	Jeteight	127
6	Moofyman	90
7	TheSecondLord	74
8	LeauVox4921	66
9	Kubelz	62
10	iHuntWeeaboos	49
11	Lord_Jord	34
12	pixelviolin	24
13	Jiminie	15
14	Soplight	14
15	PlasticOtari	10
16	500am	6
16	Winklepicker279	6
16	Nycteus_	6
16	Smoke____	6
20	12Magner05	4
20	calamariclam_I	4
22	Mookle96	3
23	StinkyDiplomat	2
24	_stets	1
24	Vegvisir	1
24	00000000-0000-0000-0009-01ff0c3e5e4f	1
