rank	username	minecraft:used/minecraft:air
1	Mr_Byzantine	1883
2	luseis	1070
3	Manaateee	844
4	Kowcio_	671
5	Mahoose	323
6	_i_ERROR_i_	306
7	skroobiez	283
8	Pumpkin_P_Patch	268
9	12Magner05	264
10	SpacesickPrism	250
11	FormulaNewt3627	234
12	PlasticOtari	215
13	Iamthejo	147
14	Dakar_	138
15	Yamdalorian	86
16	Krowuss	64
16	EveryonesUncle	64
18	MrShojo	51
19	pintsizedrogue	30
19	NATE_the_HALO	30
21	Jackattack53	29
22	EngagedGrub41	28
23	k_ce	26
23	QuiCreans	26
25	Boipl	21
26	NatalieTW	16
26	NomadicRobin_	16
26	AstreaTSS	16
29	StinkyDiplomat	12
30	Thunder_bird4337	11
31	Roenfire	10
31	Ezekson	10
33	SvenskaHugo	9
34	Reneedium	7
35	Da_Boss_Rani	6
35	thatbeanyboi	6
37	CLG_Kata	5
37	diamondgolem35	5
37	SOA1RR	5
37	oscminus	5
37	Avocadogerms	5
37	StarCookiees_	5
37	pixelviolin	5
37	Enderxz3	5
45	Luminad3	4
46	Crowman1	3
46	Fuad_R	3
46	fluddd	3
46	Spacewardharpy7	3
46	sp00ky_ghost977	3
46	TechnoNinja64	3
46	Jimb0nat0r	3
53	teslawolf38	2
53	ECstardust	2
53	lorywithay	2
53	rarrq	2
53	excelsionprime	2
53	noam464	2
53	shadowthemonkey	2
53	Hyp3rion_	2
53	WYFYoyo	2
62	Groovy_MoonBird	1
62	SmashingPump	1
62	Creativebuilder2	1
62	Hpdinosaur	1
62	RebelAndroid	1
62	eitanzaki	1
62	nattybears	1
62	Huwulling	1
62	joethahobo	1
62	Historical_Sand	1
62	SquadMonster	1
62	kekhon	1
62	Secret_Canary	1
62	Nach0Bear	1
62	Mjolnir145	1
62	Arceus1975	1
62	ooga47	1
62	Onennon	1
62	PigDab	1
62	Elastiq	1
62	parodypatient	1
62	Roikdean	1
62	Gryglu583	1
62	DarlaMeow	1
62	Buuck_	1
62	THEKINGLyric10	1
62	Eraxa	1
62	xzvu	1
62	_TCARREIRA_	1
62	Legendosh	1
62	Paguz01	1
62	Sral7	1
62	calamariclam_I	1
62	JayToe	1
