rank	username	minecraft:used/minecraft:red_stained_glass
1	Spacewardharpy7	8210
2	Hyp3rion_	5067
3	Jackattack53	3786
4	beeperbeeper5	3096
5	Onennon	2495
6	YungMaki	2291
7	emrekn	1541
8	Lez_	1323
9	MyNameIsJobo	951
10	thewindmillman	942
11	Xalithia	932
12	jnp_gaming	916
13	Soplight	879
14	lordpipe	808
15	Frozil20	713
16	walll	547
17	Nycteus_	515
18	IamCL4SSY	450
19	T045RTY	441
20	Elastiq	343
21	ROY4LE	338
22	_Virify_	334
23	Smoke____	315
24	Steelynan	302
25	EcksD	276
26	surfinggiraffejp	272
27	m_be9	253
28	Kamflame10	249
29	The_slideV3	192
30	Werbe	179
31	Skylord_Luke	178
32	PigDab	168
33	GlitchyPlate810	155
34	pintsizedrogue	153
35	diggydog67	137
36	Reamdin	135
37	ssleepless	133
38	Merv__	131
39	Groundler	125
40	ProfessorBee	123
41	561cool	113
42	rarrq	111
43	Bumpy419	99
43	gusstationwerker	99
45	Quincannon	93
46	VentiHilton	82
46	Nicserso	82
48	El_Jalapeno	77
49	Huwulling	75
50	noam464	73
50	TheDankPlatypus	73
52	DAD_1996	72
53	EveryonesUncle	69
54	Blu3beast	67
55	CoffeeNoir	65
56	Di_infiri	64
56	tobinwilliams	64
58	xxPipperDipperxx	60
59	Mahoose	59
59	Optiprimus	59
61	Factoroni	58
62	CadenSteele	52
63	TheSecondLord	49
64	Bandito_Roamer	48
65	Maenara	46
66	joethahobo	45
67	bloodbiter	42
68	titanlax	40
69	Cowison	39
69	500am	39
71	Blaiku	38
72	mihimihimihi	37
72	The_SlideV5	37
74	BobDeBouwer1337	36
74	_Dean_123	36
76	Notta	35
76	Lord_Jord	35
78	Yahrto	32
79	Iagoku	30
79	theonlymagikarp	30
81	Arceus1975	29
81	Snowflowe	29
81	Inbefour	29
84	ImpavidArcher	27
84	Da_Boss_Rani	27
86	MattieHD	25
86	Solar_Power	25
86	RoofTyler	25
86	Dooinfe	25
90	KingMatthew506	24
91	TheShyPig	22
92	_Boipl_	21
93	xXTheWolfmanXx	20
93	hcb238	20
93	Mattesco	20
96	eitanzaki	19
96	Eraxa	19
96	Kowcio_	19
99	nocturne78	18
99	mwrty	18
99	ConnorDanky_	18
102	Ezekson	17
103	SaucyDark	16
104	PlasticOtari	14
105	Inchef	13
106	TechnoNinja64	12
107	AuroraValkyrie	11
108	gaziter10	10
108	JESS_THE_RERE	10
110	Jokerman369	8
110	Rumpletaezer	8
110	THEKINGLyric10	8
110	ElectricDragon81	8
114	Wooptey	7
114	ZaneABrain	7
114	Fullut	7
114	Touched_Bread	7
114	SaintJosie	7
114	Nekomin0	7
120	Fuad_R	6
120	Luigipunch989	6
120	ZoomieZoomie	6
120	anbbang	6
120	Quotary	6
120	xolstoi	6
126	Blackberry1310	5
126	HellsSponge	5
126	Shogunite	5
126	Xclax101	5
126	lcvezra	5
126	MilleGrug	5
126	trexgb	5
133	Groovy_MoonBird	4
133	Z3braYTIL	4
133	Akoot_	4
133	TheSeismicDuck	4
133	claivin	4
133	the__Reaper4999	4
139	Arteriana	3
139	ITDV	3
139	Smashic	3
139	JitteryJared2	3
139	lillips	3
139	fluddd	3
139	fffMike	3
146	Jovaphobic	2
146	ThiccExotic	2
146	CliffEmAll	2
146	gabriels543	2
146	ApophisNova	2
146	ougstur	2
146	fkGrim	2
146	Tyrannosplart	2
146	FreakGenius	2
146	Racengan	2
146	ElKaySVK	2
146	Dogcorn69420	2
146	jcool7	2
146	MyNamaSheff	2
146	Legendosh	2
146	Sral7	2
162	6king6colt6	1
162	Euclidoris	1
162	Prodiginus	1
162	himak1	1
162	SuperPooch06	1
162	Zythose	1
162	F_Uhre	1
162	Kynigito	1
162	Gab4101	1
162	Soap_Bender	1
162	MAns_44	1
162	TheDumbHuman	1
162	starbits140	1
162	LeEricc	1
