rank	username	minecraft:used/minecraft:smooth_red_sandstone_stairs
1	Sral7	8002
2	Frozil20	891
3	FreakGenius	149
4	Legendosh	82
5	Lez_	80
6	Lord_Jord	64
7	Manaateee	63
8	Mahoose	53
9	LuvLuvLove	35
10	Mattesco	31
11	milltesco	28
12	beeperbeeper5	23
13	shineh10	19
14	M_Patata	16
14	MasterNueve	16
16	Groovy_MoonBird	15
17	MattieHD	14
18	Steelynan	12
19	craaaash	10
20	oreee	8
21	Mr_Byzantine	4
21	Pumpkin_P_Patch	4
23	Merv__	2
23	thewindmillman	2
23	Soplight	2
23	Yamdalorian	2
23	TheWickedBird	2
28	TheSecondLord	1
28	Fullut	1
28	Spacewardharpy7	1
