rank	username	minecraft:used/minecraft:netherite_pickaxe
1	joethahobo	6515422
2	EMC_	2780964
3	Spacewardharpy7	2185250
4	thewindmillman	1655021
5	PazinGaming	1561850
6	Yamdalorian	1442162
7	PigDab	1436486
8	beeperbeeper5	1334677
9	pintsizedrogue	1279950
10	Ezekson	1252411
11	noam464	1211915
12	YungMaki	1120160
13	Iamthejo	899453
14	Hyp3rion_	892570
15	Werbe	875428
16	TheSecondLord	786729
17	non089	765163
18	mihimihimihi	730756
19	Zythose	718316
20	500am	696272
21	RebelAndroid	680461
22	Kowcio_	636376
23	Enderxz3	618015
24	NatalieTW	610636
25	Manaateee	565541
26	EveryonesUncle	544933
27	Lez_	536553
28	Mattesco	521676
29	Ryan_GEMS	515846
30	luseis	488660
31	gcaisawesome	482433
32	Segotep999	472570
33	Jackattack53	470541
34	Kakolbus	467678
35	Marbz_	460483
36	MilleGrug	397777
37	12Magner05	382721
38	Mahoose	381250
39	Jimb0nat0r	376747
40	PlasticOtari	356728
41	NomadicRobin_	345152
42	oscminus	322458
43	TheSandwhich_	315351
44	Steelynan	297125
45	SvenskaHugo	290002
46	Jonafrog99	285359
47	Inchef	281341
48	Blaiku	275584
49	lordpipe	273807
50	Smashic	268914
51	CoffeeNoir	260637
52	hanaryheatwave	253732
53	Krowuss	251741
54	Winklepicker279	241152
55	Spenduh	238578
56	Mr_Byzantine	237087
57	ImpavidArcher	235116
58	pixelviolin	232967
59	Alteriity	232782
60	Cowison	231433
61	k_ce	220298
62	_i_ERROR_i_	217205
63	set67	216858
64	FishyBoy3811	214437
65	_Virify_	214163
66	HellsSponge	214097
67	diamondgolem35	211211
68	SingedBread	200431
69	obzii	194374
70	Apollo_993	185416
71	Galactic_Badger	175570
72	Blackberry1310	168717
73	Huwulling	166747
74	Historical_Sand	161969
75	skitzxo	156281
76	Lutres_	154789
77	_Mythic____	152476
78	SuperPooch06	151819
79	Pumpkin_P_Patch	150642
80	Frozil20	150528
81	tuckerdoodle	146458
82	Skylord_Luke	146026
83	crashomon	144919
84	Quotary	142306
85	Rocco_Lane	141178
86	Snowflowe	136072
87	Njensen7	134309
88	kekhon	133980
89	RebytreGT	128968
90	Soplight	122524
91	bigstankyy	122298
92	fragrantmonke444	122201
93	Racengan	121517
94	fw3xy74	119615
95	trexgb	119211
96	fffMike	118197
97	j5ylim	116262
98	Nicserso	115701
99	rarrq	110071
100	SkateboardR6	110004
101	M_Patata	107730
102	Fullut	105115
103	Lord_Jord	104957
104	fade_emerge78823	103673
105	MasterNueve	99920
106	teslawolf38	99869
107	Chromary	99692
108	BobDeBouwer1337	97501
109	fluddd	96595
110	T045RTY	93920
111	ECstardust	92953
112	q_wq	92801
113	corvidpartyfor6	92716
114	Di_infiri	92243
115	Touched_Bread	91969
116	Gus2005	91819
117	Fuad_R	91658
118	SpacesickPrism	91455
119	AstreaTSS	89861
120	soundad	88088
121	RoskobiOne	86702
122	CollinMH06	85918
123	MattieHD	83761
124	Merv__	82402
125	Secret_Canary	81233
126	Swexti	80969
127	blackeemperor	80625
128	Druid95	79280
129	emreknugrlu	78806
130	Crowman1	76487
131	BadenStayFly	76011
132	eitanzaki	75535
133	HolyVenom	74969
134	00000000-0000-0000-0009-01ff0c3e5e4f	73102
135	nstuartwilliams1	72212
